mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/8	6/8	1	1	G.I					G	I		I	I							M	0	0	1, 5, 2		1	1	0	2	0.0	0.0	0.25	0.0
1	0	1/8	1/4	6/8	1	1	V43					G	I		V43	V		43					Mm7	0	0	3, 0, 2, 6		2	3	0	2	0.0	0.0	0.25	0.0
1	0	1/4	3/8	6/8	1	1	I6					G	I		I6	I		6					M	0	0	5, 2, 1		1	5	0	2	0.0	0.0	0.25	0.0
1	0	3/8	1/2	6/8	1	1	I					G	I		I	I							M	0	0	1, 5, 2		1	1	0	2	0.0	0.0	0.25	0.0
1	0	1/2	5/8	6/8	1	1	IV					G	I		IV	IV							M	0	0	0, 4, 1		0	0	0	2	0.0	0.0	0.25	0.0
2	1	0	0	6/8	1	1	I6					G	I		I6	I		6					M	0	0	5, 2, 1		1	5	0	2	0.0	0.0	0.25	0.0
2	1	1/8	1/8	6/8	1	1	I					G	I		I	I							M	0	0	1, 5, 2		1	1	1	2	0.3333333333333333	0.0	0.25	0.0
2	1	1/4	1/4	6/8	1	1	IV					G	I		IV	IV							M	0	0	0, 4, 1		0	0	0	2	0.0	0.0	0.25	0.0
2	1	3/8	3/8	6/8	1	1	I6					G	I		I6	I		6					M	0	0	5, 2, 1		1	5	0	2	0.0	0.0	0.25	0.0
2	1	1/2	1/2	6/8	1	1	V43					G	I		V43	V		43					Mm7	0	0	3, 0, 2, 6		2	3	1	3	0.25	0.0	0.5	0.0
3	2	0	0	6/8	1	1	I\\					G	I		I	I						\\	M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	0.5	0.0
3	2	1/4	1/4	6/8	1	1	V43					G	I		V43	V		43					Mm7	0	0	3, 0, 2, 6		2	3	0	2	0.0	0.0	0.25	0.0
3	2	3/8	3/8	6/8	1	1	I6					G	I		I6	I		6					M	0	0	5, 2, 1		1	5	0	2	0.0	0.0	0.25	0.0
3	2	1/2	1/2	6/8	1	1	IV6					G	I		IV6	IV		6					M	0	0	4, 1, 0		0	4	0	2	0.0	0.0	0.25	0.0
3	2	5/8	5/8	6/8	1	1	V65					G	I		V65	V		65					Mm7	0	0	6, 3, 0, 2		2	6	0	2	0.0	0.0	0.25	0.0
4	3	0	0	6/8	1	1	I					G	I		I	I							M	0	0	1, 5, 2		1	1	0	2	0.0	0.0	0.25	0.0
4	3	1/8	1/8	6/8	1	1	ii65					G	I		ii65	ii		65					mm7	0	0	0, 4, 1, 3		3	0	0	2	0.0	0.0	0.25	0.0
4	3	1/4	1/4	6/8	1	1	V					G	I		V	V							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
4	3	3/8	3/8	6/8	1	1	ii43					G	I		ii43	ii		43					mm7	0	0	4, 1, 3, 0		3	4	0	2	0.0	0.0	0.25	0.0
4	3	1/2	1/2	6/8	1	1	ii65	-0.153018	-2.65302	/		G	I		ii65	ii		65					mm7	0	0	0, 4, 1, 3		3	0	0	4	0.0	0.0	0.5	0.0
5	4	0	0	6/8	1	1	V\\					G	I		V	V						\\	M	0	0	2, 6, 3		2	2	2	2	0.5	0.25	0.25	0.5
5	4	1/4	1/4	6/8	1	1	V65					G	I		V65	V		65					Mm7	0	0	6, 3, 0, 2		2	6	0	2	0.0	0.0	0.25	0.0
5	4	3/8	3/8	6/8	1	1	I					G	I		I	I							M	0	0	1, 5, 2		1	1	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
6	5	0	0	6/8	1	1	V.V					G	V		V	V							M	0	0	3, 7, 4		3	3	2	2	0.5	0.25	0.25	0.5
6	5	1/4	1/4	6/8	1	1	V65					G	V		V65	V		65					Mm7	0	0	7, 4, 1, 3		3	7	0	2	0.0	0.0	0.25	0.0
6	5	3/8	3/8	6/8	1	1	I					G	V		I	I							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
6	5	1/2	1/2	6/8	1	1	V65					G	V		V65	V		65					Mm7	0	0	7, 4, 1, 3		3	7	0	2	0.0	0.0	0.25	0.0
6	5	5/8	5/8	6/8	1	1	I					G	V		I	I							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
7	6	0	0	6/8	1	1	V					G	V		V	V							M	0	0	3, 7, 4		3	3	0	4	0.0	0.0	0.5	0.0
7	6	1/4	1/4	6/8	1	1	IV6					G	V		IV6	IV		6					M	0	0	5, 2, 1		1	5	0	2	0.0	0.0	0.25	0.0
7	6	3/8	3/8	6/8	1	1	V65					G	V		V65	V		65					Mm7	0	0	7, 4, 1, 3		3	7	1	3	0.25	0.125	0.375	0.25
7	6	5/8	5/8	6/8	1	1	V7					G	V		V7	V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	2	0.0	0.0	0.25	0.0
8	7	0	0	6/8	1	1	I					G	V		I	I							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
8	7	1/8	1/8	6/8	1	1	V65					G	V		V65	V		65					Mm7	0	0	7, 4, 1, 3		3	7	1	2	0.3333333333333333	0.0625	0.1875	0.25
8	7	1/4	1/4	6/8	1	1	V7					G	V		V7	V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	3	0.0	0.0	0.25	0.0
8	7	3/8	3/8	6/8	1	1	I					G	V		I	I							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
8	7	1/2	1/2	6/8	1	1	V65					G	V		V65	V		65					Mm7	0	0	7, 4, 1, 3		3	7	0	2	0.0	0.0	0.25	0.0
8	7	5/8	5/8	6/8	1	1	V7					G	V		V7	V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	2	0.0	0.0	0.25	0.0
9	8	0	0	6/8	1	1	I					G	V		I	I							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
9	8	1/8	1/8	6/8	1	1	V65					G	V		V65	V		65					Mm7	0	0	7, 4, 1, 3		3	7	1	2	0.3333333333333333	0.0625	0.1875	0.25
9	8	1/4	1/4	6/8	1	1	V7					G	V		V7	V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	3	0.0	0.0	0.25	0.0
9	8	3/8	3/8	6/8	1	1	I					G	V		I	I							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
9	8	1/2	1/2	6/8	1	1	V65					G	V		V65	V		65					Mm7	0	0	7, 4, 1, 3		3	7	1	2	0.3333333333333333	0.0625	0.1875	0.25
9	8	5/8	5/8	6/8	1	1	V7					G	V		V7	V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	3	0.0	0.0	0.25	0.0
10	9	0	0	6/8	1	1	I					G	V		I	I							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
10	9	1/8	1/8	6/8	1	1	V6					G	V		V6	V		6					M	0	0	7, 4, 3		3	7	0	2	0.0	0.0	0.25	0.0
10	9	1/4	1/4	6/8	1	1	vi					G	V		vi	vi							m	0	0	5, 2, 6		5	5	0	2	0.0	0.0	0.25	0.0
10	9	3/8	3/8	6/8	1	1	ii65					G	V		ii65	ii		65					mm7	0	0	1, 5, 2, 4		4	1	0	2	0.0	0.0	0.25	0.0
10	9	1/2	1/2	6/8	1	1	V					G	V		V	V							M	0	0	3, 7, 4		3	3	1	4	0.2	0.0	0.5	0.0
11	10	0	0	6/8	1	1	I\\				1	G	V		I	I						\\	M	0	0	2, 6, 3		2	2	0	4	0.0	0.0	0.5	0.0
12	10	0	0	6/8	1	1	I\\				2	G	V		I	I						\\	M	0	0	2, 6, 3		2	2	1	5	0.16666666666666666	0.125	1.375	0.08333333333333333
12	10	3/8	3/8	6/8	1	1	I.V65				2	G	I		V65	V		65					Mm7	0	0	6, 3, 0, 2		2	6	1	4	0.2	0.125	0.5	0.2
13	11	0	0	6/8	1	1	I					G	I		I	I							M	0	0	1, 5, 2		1	1	1	3	0.25	0.125	0.625	0.16666666666666666
13	11	3/8	3/8	6/8	1	1	vi					G	I		vi	vi							m	0	0	4, 1, 5		4	4	0	1	0.0	0.0	0.125	0.0
13	11	1/2	1/2	6/8	1	1	iii6					G	I		iii6	iii		6					m	0	0	2, 6, 5		5	2	0	2	0.0	0.0	0.25	0.0
13	11	5/8	5/8	6/8	1	1	ii6					G	I		ii6	ii		6					m	0	0	0, 4, 3		3	0	0	2	0.0	0.0	0.25	0.0
14	12	0	0	6/8	1	1	vi.V					G	vi		V	V							M	0	1	5, 9, 6		5	5	0	3	0.0	0.0	0.5	0.0
14	12	1/4	1/4	6/8	1	1	III6					G	vi		III6	III		6					M	0	1	5, 2, 1		1	5	0	2	0.0	0.0	0.25	0.0
14	12	3/8	3/8	6/8	1	1	IV6					G	vi		IV6	IV		6					M	0	1	7, 4, 3		3	7	0	2	0.0	0.0	0.25	0.0
14	12	1/2	1/2	6/8	1	1	V65					G	vi		V65	V		65					Mm7	0	1	9, 6, 3, 5		5	9	0	3	0.0	0.0	0.25	0.0
14	12	5/8	5/8	6/8	1	1	V					G	vi		V	V							M	0	1	5, 9, 6		5	5	1	2	0.3333333333333333	0.0625	0.1875	0.25
15	13	0	0	6/8	1	1	i					G	vi		i	i							m	0	1	4, 1, 5		4	4	0	2	0.0	0.0	0.25	0.0
15	13	1/8	1/8	6/8	1	1	V65					G	vi		V65	V		65					Mm7	0	1	9, 6, 3, 5		5	9	0	2	0.0	0.0	0.25	0.0
15	13	1/4	1/4	6/8	1	1	V7					G	vi		V7	V		7					Mm7	0	1	5, 9, 6, 3		5	5	0	2	0.0	0.0	0.25	0.0
15	13	3/8	3/8	6/8	1	1	i					G	vi		i	i							m	0	1	4, 1, 5		4	4	0	2	0.0	0.0	0.25	0.0
15	13	1/2	1/2	6/8	1	1	V65					G	vi		V65	V		65					Mm7	0	1	9, 6, 3, 5		5	9	0	2	0.0	0.0	0.25	0.0
15	13	5/8	5/8	6/8	1	1	V7					G	vi		V7	V		7					Mm7	0	1	5, 9, 6, 3		5	5	0	2	0.0	0.0	0.25	0.0
16	14	0	0	6/8	1	1	i					G	vi		i	i							m	0	1	4, 1, 5		4	4	2	2	0.5	0.1875	0.3125	0.375
16	14	1/4	1/4	6/8	1	1	VI					G	vi		VI	VI							M	0	1	0, 4, 1		0	0	0	2	0.0	0.0	0.3125	0.0
16	14	3/8	3/8	6/8	1	1	ii65					G	vi		ii65	ii		65					mm7	0	1	3, 7, 4, 6		6	3	0	2	0.0	0.0	0.1875	0.0
16	14	1/2	1/2	6/8	1	1	V					G	vi		V	V							M	0	1	5, 9, 6		5	5	1	3	0.25	0.0625	0.4375	0.125
17	15	0	0	6/8	1	1	i\\					G	vi		i	i						\\	m	0	1	4, 1, 5		4	4	1	5	0.16666666666666666	0.125	1.375	0.08333333333333333
17	15	3/8	3/8	6/8	1	1	V.V65					G	V		V65	V		65					Mm7	0	0	7, 4, 1, 3		3	7	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
17	15	5/8	5/8	6/8	1	1	V7					G	V		V7	V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	2	0.0	0.0	0.25	0.0
18	16	0	0	6/8	1	1	I					G	V		I	I							M	0	0	2, 6, 3		2	2	1	3	0.25	0.125	0.625	0.16666666666666666
18	16	3/8	3/8	6/8	1	1	IV.V65					G	IV		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
18	16	5/8	5/8	6/8	1	1	V7					G	IV		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	2	0.0	0.0	0.25	0.0
19	17	0	0	6/8	1	1	I					G	IV		I	I							M	0	0	0, 4, 1		0	0	1	3	0.25	0.125	0.625	0.16666666666666666
19	17	3/8	3/8	6/8	1	1	ii.VIM65					G	ii		VIM65	VI	M	65					MM7	0	1	3, 0, 4, -1		-1	3	1	4	0.2	0.125	0.375	0.25
19	17	5/8	5/8	6/8	1	1	VI7					G	ii		VI7	VI		7					Mm7	0	1	-1, 3, 0, -3		-1	-1	1	2	0.3333333333333333	0.0625	0.1875	0.25
