mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
3	2	1/8	1/8	2/4	1	1	d.V					d	i		V	V							M	1	1	3, 7, 4		3	3	2	4	0.3333333333333333	0.125	0.375	0.25
3	2	3/8	3/8	2/4	1	1	V43					d	i		V43	V		43					Mm7	1	1	4, 1, 3, 7		3	4	1	2	0.3333333333333333	0.0625	0.1875	0.25
4	3	0	0	2/4	1	1	i6					d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	1	2	0.3333333333333333	0.0625	0.1875	0.25
4	3	1/8	1/8	2/4	1	1	V					d	i		V	V							M	1	1	3, 7, 4		3	3	2	4	0.3333333333333333	0.125	0.375	0.25
4	3	3/8	3/8	2/4	1	1	V65					d	i		V65	V		65					Mm7	1	1	7, 4, 1, 3		3	7	1	2	0.3333333333333333	0.0625	0.1875	0.25
5	4	0	0	2/4	1	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	1	6	0.14285714285714285	0.0625	0.6875	0.08333333333333333
5	4	3/8	3/8	2/4	1	1	III.I6					d	III		I6	I		6					M	1	0	3, 0, -1		-1	3	0	2	0.0	0.0	0.25	0.0
6	5	0	0	2/4	1	1	IV					d	III		IV	IV							M	1	0	-2, 2, -1		-2	-2	2	8	0.2	0.125	0.875	0.125
7	6	0	0	2/4	1	1	I					d	III		I	I							M	1	0	-1, 3, 0		-1	-1	0	6	0.0	0.0	0.75	0.0
7	6	3/8	3/8	2/4	1	1	iii6					d	III		iii6	iii		6					m	1	0	0, 4, 3		3	0	0	2	0.0	0.0	0.25	0.0
8	7	0	0	2/4	1	1	vi					d	III		vi	vi							m	1	0	2, -1, 3		2	2	1	6	0.14285714285714285	0.0625	0.6875	0.08333333333333333
8	7	3/8	3/8	2/4	1	1	I6					d	III		I6	I		6					M	1	0	3, 0, -1		-1	3	0	2	0.0	0.0	0.25	0.0
9	8	0	0	2/4	1	1	IV					d	III		IV	IV							M	1	0	-2, 2, -1		-2	-2	6	8	0.42857142857142855	0.375	0.625	0.375
10	9	0	0	2/4	1	1	V65					d	III		V65	V		65					Mm7	1	0	4, 1, -2, 0		0	4	0	2	0.0	0.0	0.25	0.0
10	9	1/8	1/8	2/4	1	1	I					d	III		I	I							M	1	0	-1, 3, 0		-1	-1	0	2	0.0	0.0	0.25	0.0
10	9	1/4	1/4	2/4	1	1	V					d	III		V	V							M	1	0	0, 4, 1		0	0	0	3	0.0	0.0	0.4375	0.0
10	9	7/16	7/16	2/4	1	1	V7	-1.53018	-2.80604	/		d	III		V7	V		7					Mm7	1	0	0, 4, 1, -2		0	0	1	0	1.0	0.0625	0.0	1.0
11	10	0	0	2/4	1	1	I\\					d	III		I	I						\\	M	1	0	-1, 3, 0		-1	-1	1	8	0.1111111111111111	0.0625	0.9375	0.0625
11	10	3/8	3/8	2/4	1	1	iv.IV6	-0.153018	-2.34698	/		d	iv		IV6	IV		6					M	1	1	4, 1, 0		0	4	0	2	0.0	0.0	0.25	0.0
12	11	0	0	2/4	1	1	V7					d	iv		V7	V		7					Mm7	1	1	2, 6, 3, 0		2	2	1	4	0.2	0.125	0.375	0.25
12	11	1/4	1/4	2/4	1	1	V65					d	iv		V65	V		65					Mm7	1	1	6, 3, 0, 2		2	6	1	5	0.16666666666666666	0.0625	0.4375	0.125
13	12	0	0	2/4	1	1	i					d	iv		i	i							m	1	1	1, -2, 2		1	1	2	6	0.25	0.0625	0.6875	0.08333333333333333
13	12	3/8	3/8	2/4	1	1	v.iv6					d	v		iv6	iv		6					m	1	1	-1, 3, 2		2	-1	0	2	0.0	0.0	0.25	0.0
14	13	0	0	2/4	1	1	V7					d	v		V7	V		7					Mm7	1	1	4, 8, 5, 2		4	4	2	9	0.18181818181818182	0.1875	0.8125	0.1875
15	14	0	0	2/4	1	1	i					d	v		i	i							m	1	1	3, 0, 4		3	3	1	2	0.3333333333333333	0.0	0.25	0.0
15	14	1/8	1/8	2/4	1	1	iv					d	v		iv	iv							m	1	1	2, -1, 3		2	2	4	5	0.4444444444444444	0.3125	0.4375	0.4166666666666667
16	15	0	0	2/4	1	1	VII7					d	v		VII7	VII		7					Mm7	1	1	1, 5, 2, -1		1	1	0	2	0.0	0.0	0.25	0.0
16	15	1/8	1/8	2/4	1	1	III					d	v		III	III							M	1	1	0, 4, 1		0	0	4	5	0.4444444444444444	0.3125	0.4375	0.4166666666666667
17	16	0	0	2/4	1	1	VIM7					d	v		VIM7	VI	M	7					MM7	1	1	-1, 3, 0, 4		-1	-1	0	2	0.0	0.0	0.25	0.0
17	16	1/8	1/8	2/4	1	1	iio					d	v		iio	ii	o						o	1	1	5, 2, -1		5	5	4	5	0.4444444444444444	0.3125	0.4375	0.4166666666666667
18	17	0	0	2/4	1	1	V7					d	v		V7	V		7					Mm7	1	1	4, 8, 5, 2		4	4	2	2	0.5	0.25	0.25	0.5
18	17	1/4	1/4	2/4	1	1	V65					d	v		V65	V		65					Mm7	1	1	8, 5, 2, 4		4	8	2	2	0.5	0.125	0.3125	0.2857142857142857
18	17	7/16	7/16	2/4	1	1	i	-0.918108	-2.5	/		d	v		i	i							m	1	1	3, 0, 4		3	3	0	1	0.0	0.0	0.0625	0.0
19	18	0	0	2/4	1	1	V\\					d	v		V	V						\\	M	1	1	4, 8, 5		4	4	0	2	0.0	0.0	0.25	0.0
19	18	1/8	1/8	2/4	1	1	i					d	v		i	i							m	1	1	3, 0, 4		3	3	3	6	0.3333333333333333	0.1875	0.5625	0.25
