mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/8	4/4	1	1	D.I{					D	I		I	I						{	M	0	0	2, 6, 3		2	2	1	3	0.25	0.125	0.375	0.25
1	0	3/8	1/2	4/4	1	1	ii65					D	I		ii65	ii		65					mm7	0	0	1, 5, 2, 4		4	1	0	4	0.0	0.0	0.5	0.0
1	0	5/8	3/4	4/4	1	1	V6					D	I		V6	V		6					M	0	0	7, 4, 3		3	7	1	3	0.25	0.125	0.375	0.25
2	1	0	0	4/4	1	1	I					D	I		I	I							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
2	1	1/8	1/8	4/4	1	1	I64					D	I		I64	I		64					M	0	0	3, 2, 6		2	3	0	3	0.0	0.0	0.375	0.0
2	1	1/4	1/4	4/4	1	1	IV43					D	I		IV43	IV		43					Mm7	0	0	2, -1, 1, 5		1	2	0	3	0.0	0.0	0.75	0.0
2	1	3/8	3/8	4/4	1	1	I64					D	I		I64	I		64					M	0	0	3, 2, 6		2	3	0	2	0.0	0.0	0.25	0.0
2	1	1/2	1/2	4/4	1	1	ii65					D	I		ii65	ii		65					mm7	0	0	1, 5, 2, 4		4	1	0	3	0.0	0.0	0.5	0.0
2	1	3/4	3/4	4/4	1	1	V					D	I		V	V							M	0	0	3, 7, 4		3	3	1	3	0.25	0.125	0.625	0.16666666666666666
3	2	0	0	4/4	1	1	I6					D	I		I6	I		6					M	0	0	6, 3, 2		2	6	1	6	0.14285714285714285	0.125	1.125	0.1
3	2	1/2	1/2	4/4	1	1	V					D	I		V	V							M	0	0	3, 7, 4		3	3	0	3	0.0	0.0	0.5	0.0
3	2	3/4	3/4	4/4	1	1	I					D	I		I	I							M	0	0	2, 6, 3		2	2	1	2	0.3333333333333333	0.125	0.375	0.25
4	3	0	0	4/4	1	1	IV6					D	I		IV6	IV		6					M	0	0	5, 2, 1		1	5	1	2	0.3333333333333333	0.125	0.375	0.25
4	3	1/4	1/4	4/4	1	1	ii					D	I		ii	ii							m	0	0	4, 1, 5		4	4	3	3	0.5	0.3125	0.6875	0.3125
4	3	3/4	3/4	4/4	1	1	vi6					D	I		vi6	vi		6					m	0	0	2, 6, 5		5	2	1	2	0.3333333333333333	0.125	0.375	0.25
5	4	0	0	4/4	1	1	V.V7					D	V		V7	V		7					Mm7	0	0	4, 8, 5, 2		4	4	1	4	0.2	0.125	0.5	0.2
5	4	1/4	1/4	4/4	1	1	IV43					D	V		IV43	IV		43					Mm7	0	0	3, 0, 2, 6		2	3	0	3	0.0	0.0	0.75	0.0
5	4	3/8	3/8	4/4	1	1	I64					D	V		I64	I		64					M	0	0	4, 3, 7		3	4	0	2	0.0	0.0	0.25	0.0
5	4	1/2	1/2	4/4	1	1	ii65					D	V		ii65	ii		65					mm7	0	0	2, 6, 3, 5		5	2	0	3	0.0	0.0	0.5	0.0
5	4	3/4	3/4	4/4	1	1	V					D	V		V	V							M	0	0	4, 8, 5		4	4	1	3	0.25	0.125	0.625	0.16666666666666666
6	5	0	0	4/4	1	1	I6|EC}{					D	V		I6	I		6			EC	}{	M	0	0	7, 4, 3		3	7	0	4	0.0	0.0	0.5	0.0
6	5	1/4	1/4	4/4	1	1	I.iii6					D	I		iii6	iii		6					m	0	0	3, 7, 6		6	3	0	3	0.0	0.0	0.625	0.0
