mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	5/8	6/8	1	1	A.I				A	I		I	I							M	0	0	3, 7, 4		3	3	0	16	0.0	0.0	2.5	0.0
4	3	0	0	6/8	1	1	I6				A	I		I6	I		6					M	0	0	7, 4, 3		3	7	1	2	0.3333333333333333	0.125	0.375	0.25
4	3	1/4	1/4	6/8	1	1	I				A	I		I	I							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.25	0.0
4	3	3/8	3/8	6/8	1	1	V(4)				A	I		V(4)	V			4				M	0	0	4, 3, 5		4	4	1	2	0.3333333333333333	0.125	0.375	0.25
4	3	5/8	5/8	6/8	1	1	V				A	I		V	V							M	0	0	4, 8, 5		4	4	0	2	0.0	0.0	0.25	0.0
5	4	0	0	6/8	1	1	I\\				A	I		I	I						\\	M	0	0	3, 7, 4		3	3	1	5	0.16666666666666666	0.0	1.375	0.0
6	5	0	0	6/8	1	1	I				A	I		I	I							M	0	0	3, 7, 4		3	3	3	17	0.15	0.375	2.75	0.12
8	7	3/8	3/8	6/8	1	1	V.ii				A	V		ii	ii							m	0	0	6, 3, 7		6	6	1	3	0.25	0.125	0.375	0.25
9	8	0	0	6/8	1	1	V\\				A	V		V	V						\\	M	0	0	5, 9, 6		5	5	2	8	0.2	0.125	1.375	0.08333333333333333
10	9	0	0	6/8	1	1	I6				A	V		I6	I		6					M	0	0	8, 5, 4		4	8	2	10	0.16666666666666666	0.25	1.25	0.16666666666666666
11	10	0	0	6/8	1	1	ii65				A	V		ii65	ii		65					mm7	0	0	3, 7, 4, 6		6	3	2	10	0.16666666666666666	0.25	1.25	0.16666666666666666
12	11	0	0	6/8	1	1	V				A	V		V	V							M	0	0	5, 9, 6		5	5	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
12	11	3/8	3/8	6/8	1	1	iii6				A	V		iii6	iii		6					m	0	0	5, 9, 8		8	5	0	6	0.0	0.0	0.75	0.0
13	12	0	0	6/8	1	1	vi				A	V		vi	vi							m	0	0	7, 4, 8		7	7	1	2	0.3333333333333333	0.0	0.75	0.0
13	12	3/8	3/8	6/8	1	1	I6				A	V		I6	I		6					M	0	0	8, 5, 4		4	8	1	3	0.25	0.0625	0.6875	0.08333333333333333
14	13	0	0	6/8	1	1	IVM7(9)				A	V		IVM7(9)	IV	M	7	9				MM7	0	0	3, 7, 4, 8	5	3	3	0	4	0.0	0.0	0.75	0.0
14	13	3/8	3/8	6/8	1	1	I64				A	V		I64	I		64					M	0	0	5, 4, 8		4	5	0	4	0.0	0.0	0.75	0.0
15	14	0	0	6/8	1	1	vi	0	-4.9	/	A	V		vi	vi							m	0	0	7, 4, 8		7	7	0	2	0.0	0.0	0.75	0.0
15	14	3/8	3/8	6/8	1	1	I6				A	V		I6	I		6					M	0	0	8, 5, 4		4	8	1	3	0.25	0.0625	0.6875	0.08333333333333333
16	15	0	0	6/8	1	1	ii65				A	V		ii65	ii		65					mm7	0	0	3, 7, 4, 6		6	3	0	4	0.0	0.0	0.75	0.0
16	15	3/8	3/8	6/8	1	1	V(4)				A	V		V(4)	V			4				M	0	0	5, 4, 6		5	5	0	3	0.0	0.0	0.5	0.0
16	15	5/8	5/8	6/8	1	1	V				A	V		V	V							M	0	0	5, 9, 6		5	5	0	2	0.0	0.0	0.25	0.0
17	16	0	0	6/8	1	1	I\\				A	V		I	I						\\	M	0	0	4, 8, 5		4	4	1	7	0.125	0.0625	1.3125	0.045454545454545456
19	17	0	0	6/8	1	1	I.V				A	I		V	V							M	0	0	4, 8, 5		4	4	5	11	0.3125	0.625	1.75	0.2631578947368421
21	19	0	0	6/8	1	1	I				A	I		I	I							M	0	0	3, 7, 4		3	3	2	11	0.15384615384615385	0.25	2.0	0.1111111111111111
22	20	3/8	3/8	6/8	1	1	IV6				A	I		IV6	IV		6					M	0	0	6, 3, 2		2	6	1	5	0.16666666666666666	0.0	0.75	0.0
23	21	0	0	6/8	1	1	IV				A	I		IV	IV							M	0	0	2, 6, 3		2	2	2	6	0.25	0.25	1.0	0.2
24	22	0	0	6/8	1	1	IV.I				A	IV		I	I							M	0	0	2, 6, 3		2	2	0	4	0.0	0.0	0.75	0.0
24	22	3/8	3/8	6/8	1	1	V43				A	IV		V43	V		43					Mm7	0	0	4, 1, 3, 7		3	4	1	5	0.16666666666666666	0.0	0.75	0.0
25	23	0	0	6/8	1	1	I6				A	IV		I6	I		6					M	0	0	6, 3, 2		2	6	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
25	23	3/8	3/8	6/8	1	1	V(4)				A	IV		V(4)	V			4				M	0	0	3, 2, 4		3	3	0	2	0.0	0.0	0.5	0.0
25	23	5/8	5/8	6/8	1	1	V				A	IV		V	V							M	0	0	3, 7, 4		3	3	1	1	0.5	0.125	0.125	0.5
26	24	0	0	6/8	1	1	I\\				A	IV		I	I						\\	M	0	0	2, 6, 3		2	2	0	9	0.0	0.0	1.5	0.0
27	25	0	0	6/8	1	1	I.IV				A	I		IV	IV							M	0	0	2, 6, 3		2	2	0	8	0.0	0.0	1.25	0.0
28	26	0	0	6/8	1	1	I6				A	I		I6	I		6					M	0	0	7, 4, 3		3	7	1	9	0.1	0.0625	1.4375	0.041666666666666664
29	27	0	0	6/8	1	1	V43				A	I		V43	V		43					Mm7	0	0	5, 2, 4, 8		4	5	0	3	0.0	0.0	0.5	0.0
29	27	1/4	1/4	6/8	1	1	V65				A	I		V65	V		65					Mm7	0	0	8, 5, 2, 4		4	8	0	2	0.0	0.0	0.25	0.0
29	27	3/8	3/8	6/8	1	1	I				A	I		I	I							M	0	0	3, 7, 4		3	3	1	4	0.2	0.125	0.625	0.16666666666666666
30	28	0	0	6/8	1	1	V				A	I		V	V							M	0	0	4, 8, 5		4	4	2	11	0.15384615384615385	0.125	1.75	0.06666666666666667
31	29	3/8	3/8	6/8	1	1	V6				A	I		V6	V		6					M	0	0	8, 5, 4		4	8	4	9	0.3076923076923077	0.25	1.125	0.18181818181818182
32	30	3/8	3/8	6/8	1	1	V\\				A	I		V	V						\\	M	0	0	4, 8, 5		4	4	1	3	0.25	0.125	0.625	0.16666666666666666
33	31	0	0	6/8	1	1	V43				A	I		V43	V		43					Mm7	0	0	5, 2, 4, 8		4	5	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
33	31	3/8	3/8	6/8	1	1	I				A	I		I	I							M	0	0	3, 7, 4		3	3	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
34	32	0	0	6/8	1	1	V6				A	I		V6	V		6					M	0	0	8, 5, 4		4	8	1	7	0.125	0.0625	1.1875	0.05
34	32	5/8	5/8	6/8	1	1	I6				A	I		I6	I		6					M	0	0	7, 4, 3		3	7	0	2	0.0	0.0	0.25	0.0
35	33	0	0	6/8	1	1	V43				A	I		V43	V		43					Mm7	0	0	5, 2, 4, 8		4	5	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
35	33	3/8	3/8	6/8	1	1	I				A	I		I	I							M	0	0	3, 7, 4		3	3	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
36	34	0	0	6/8	1	1	V6				A	I		V6	V		6					M	0	0	8, 5, 4		4	8	3	4	0.42857142857142855	0.1875	0.5625	0.25
36	34	3/8	3/8	6/8	1	1	I6\\				A	I		I6	I		6				\\	M	0	0	7, 4, 3		3	7	0	4	0.0	0.0	0.75	0.0
37	35	0	0	6/8	1	1	ii65				A	I		ii65	ii		65					mm7	0	0	2, 6, 3, 5		5	2	0	4	0.0	0.0	0.75	0.0
37	35	3/8	3/8	6/8	1	1	I6				A	I		I6	I		6					M	0	0	7, 4, 3		3	7	0	4	0.0	0.0	0.75	0.0
38	36	0	0	6/8	1	1	ii65				A	I		ii65	ii		65					mm7	0	0	2, 6, 3, 5		5	2	0	4	0.0	0.0	0.75	0.0
38	36	3/8	3/8	6/8	1	1	I6				A	I		I6	I		6					M	0	0	7, 4, 3		3	7	1	4	0.2	0.0625	0.6875	0.08333333333333333
39	37	0	0	6/8	1	1	ii65				A	I		ii65	ii		65					mm7	0	0	2, 6, 3, 5		5	2	0	4	0.0	0.0	0.75	0.0
39	37	3/8	3/8	6/8	1	1	iii6				A	I		iii6	iii		6					m	0	0	4, 8, 7		7	4	0	3	0.0	0.0	0.625	0.0
39	37	5/8	5/8	6/8	1	1	V7				A	I		V7	V		7					Mm7	0	0	4, 8, 5, 2		4	4	1	0	1.0	0.125	0.0	1.0
40	38	0	0	6/8	1	1	vi	0	-3.9	/	A	I		vi	vi							m	0	0	6, 3, 7		6	6	2	2	0.5	0.25	0.5	0.3333333333333333
40	38	3/8	3/8	6/8	1	1	I6				A	I		I6	I		6					M	0	0	7, 4, 3		3	7	1	2	0.3333333333333333	0.125	0.375	0.25
40	38	5/8	5/8	6/8	1	1	ii65				A	I		ii65	ii		65					mm7	0	0	2, 6, 3, 5		5	2	0	2	0.0	0.0	0.25	0.0
41	39	0	0	6/8	1	1	I				A	I		I	I							M	0	0	3, 7, 4		3	3	2	4	0.3333333333333333	0.125	0.375	0.25
41	39	1/4	1/4	6/8	1	1	I6				A	I		I6	I		6					M	0	0	7, 4, 3		3	7	1	2	0.3333333333333333	0.0625	0.1875	0.25
41	39	3/8	3/8	6/8	1	1	V(64)				A	I		V(64)	V			64				M	0	0	4, 3, 7		4	4	0	2	0.0	0.0	0.4375	0.0
