mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	1	1	g.i{		g	i		i	i						{	m	1	1	1, -2, 2		1	1	1	2	0.3333333333333333	0.125	0.875	0.125
1	1	1/2	1/2	4/4	1	1	v6		g	i		v6	v		6					m	1	1	-1, 3, 2		2	-1	0	3	0.0	0.0	1.0	0.0
2	2	0	0	4/4	1	1	ii%43		g	i		ii%43	ii	%	43					%7	1	1	-3, 1, 3, 0		3	-3	1	3	0.25	0.25	0.75	0.25
2	2	1/2	1/2	4/4	1	1	ii%65		g	i		ii%65	ii	%	65					%7	1	1	0, -3, 1, 3		3	0	1	4	0.2	0.0625	0.9375	0.0625
3	3	0	0	4/4	1	1	V		g	i		V	V							M	1	1	2, 6, 3		2	2	1	3	0.25	0.125	0.875	0.125
3	3	1/2	1/2	4/4	1	1	i6		g	i		i6	i		6					m	1	1	-2, 2, 1		1	-2	1	3	0.25	0.125	0.75	0.14285714285714285
4	4	0	0	4/4	1	1	ii%7		g	i		ii%7	ii	%	7					%7	1	1	3, 0, -3, 1		3	3	1	2	0.3333333333333333	0.125	0.875	0.125
4	4	1/2	1/2	4/4	1	1	V7		g	i		V7	V		7					Mm7	1	1	2, 6, 3, 0		2	2	1	4	0.2	0.0	1.0	0.0
5	5	0	0	4/4	1	1	i|IAC}		g	i		i	i					IAC	}	m	1	1	1, -2, 2		1	1	2	5	0.2857142857142857	0.0	1.625	0.0
5	5	3/4	3/4	4/4	1	1	i2		g	i		i2	i		2					mm7	1	1	-1, 1, -2, 2		1	-1	0	2	0.0	0.0	0.375	0.0
6	6	0	0	4/4	1	1	VI		g	i		VI	VI							M	1	1	-3, 1, -2		-3	-3	2	3	0.4	0.25	0.75	0.25
6	6	1/2	1/2	4/4	1	1	iv		g	i		iv	iv							m	1	1	0, -3, 1		0	0	3	5	0.375	0.375	0.625	0.375
7	7	0	0	4/4	1	1	III.V		g	III		V	V							M	1	0	-1, 3, 0		-1	-1	1	4	0.2	0.125	0.875	0.125
7	7	1/2	1/2	4/4	1	1	I6		g	III		I6	I		6					M	1	0	2, -1, -2		-2	2	2	4	0.3333333333333333	0.25	0.75	0.25
8	8	0	0	4/4	1	1	vi7		g	III		vi7	vi		7					mm7	1	0	1, -2, 2, -1		1	1	1	5	0.16666666666666666	0.125	0.875	0.125
8	8	1/2	1/2	4/4	1	1	ii		g	III		ii	ii							m	1	0	0, -3, 1		0	0	2	4	0.3333333333333333	0.25	0.75	0.25
9	9	0	0	4/4	1	1	V7		g	III		V7	V		7					Mm7	1	0	-1, 3, 0, -3		-1	-1	1	1	0.5	0.5	0.5	0.5
9	9	1/2	1/2	4/4	1	1	I64		g	III		I64	I		64					M	1	0	-1, -2, 2		-2	-1	1	3	0.25	0.125	0.875	0.125
10	10	0	0	4/4	1	1	i.#vi%7		g	i		#vi%7	#vi	%	7					%7	1	1	4, 1, -2, 2		4	4	1	2	0.3333333333333333	0.125	0.875	0.125
10	10	1/2	1/2	4/4	1	1	iio64		g	i		iio64	ii	o	64					o	1	1	-3, 3, 0		3	-3	0	4	0.0	0.0	1.0	0.0
11	11	0	0	4/4	1	1	V7		g	i		V7	V		7					Mm7	1	1	2, 6, 3, 0		2	2	1	4	0.2	0.125	0.875	0.125
11	11	1/2	1/2	4/4	1	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	1	2	0.3333333333333333	0.125	0.875	0.125
12	12	0	0	4/4	1	1	V|HC.SIM}	1	g	i		V	V					HC.SIM	}	M	1	1	2, 6, 3		2	2	0	2	0.0	0.0	1.0	0.0
13	12	0	0	4/4	1	1	V|HC.SIM}	2	g	i		V	V					HC.SIM	}	M	1	1	2, 6, 3		2	2	3	12	0.2	0.3125	2.9375	0.09615384615384616
15	14	0	0	4/4	1	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	3	7	0.3	0.25	1.625	0.13333333333333333
16	15	0	0	4/4	1	1	IV		g	i		IV	IV							M	1	1	0, 4, 1		0	0	2	4	0.3333333333333333	0.125	0.875	0.125
16	15	1/2	1/2	4/4	1	1	III.V6		g	III		V6	V		6					M	1	0	3, 0, -1		-1	3	0	4	0.0	0.0	1.0	0.0
17	16	0	0	4/4	1	1	ii(4)		g	III		ii(4)	ii			4				m	1	0	0, -1, 1		0	0	1	3	0.25	0.0625	0.9375	0.0625
17	16	1/2	1/2	4/4	1	1	ii		g	III		ii	ii							m	1	0	0, -3, 1		0	0	2	4	0.3333333333333333	0.125	0.75	0.14285714285714285
