mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	1	1	f.i{					f	i		i	i						{	m	1	1	-1, -4, 0		-1	-1	0	2	0.0	0.0	0.75	0.0
1	1	1/4	1/4	3/4	1	1	ii%2					f	i		ii%2	ii	%	2					%7	1	1	-1, 1, -2, -5		1	-1	1	1	0.5	0.0	0.375	0.0
1	1	1/2	1/2	3/4	1	1	V65					f	i		V65	V		65					Mm7	1	1	4, 1, -2, 0		0	4	0	2	0.0	0.0	0.375	0.0
2	2	0	0	3/4	1	1	i					f	i		i	i							m	1	1	-1, -4, 0		-1	-1	2	3	0.4	0.25	0.75	0.25
2	2	1/2	1/2	3/4	1	1	VI					f	i		VI	VI							M	1	1	-5, -1, -4		-5	-5	2	2	0.5	0.125	0.375	0.25
3	3	0	0	3/4	1	1	iv					f	i		iv	iv							m	1	1	-2, -5, -1		-2	-2	2	2	0.5	0.25	0.25	0.5
3	3	1/4	1/4	3/4	1	1	V43					f	i		V43	V		43					Mm7	1	1	1, -2, 0, 4		0	1	0	2	0.0	0.0	0.625	0.0
3	3	1/2	1/2	3/4	1	1	i(4)					f	i		i(4)	i			4				m	1	1	-1, -2, 0		-1	-1	0	1	0.0	0.0	0.25	0.0
3	3	5/8	5/8	3/4	1	1	i					f	i		i	i							m	1	1	-1, -4, 0		-1	-1	0	1	0.0	0.0	0.125	0.0
4	4	0	0	3/4	1	1	V|HC.SIM}					f	i		V	V					HC.SIM	}	M	1	1	0, 4, 1		0	0	2	4	0.3333333333333333	0.25	1.25	0.16666666666666666
5	5	0	0	3/4	1	1	i6{					f	i		i6	i		6				{	m	1	1	-4, 0, -1		-1	-4	4	5	0.4444444444444444	0.5	1.0	0.3333333333333333
6	6	0	0	3/4	1	1	i					f	i		i	i							m	1	1	-1, -4, 0		-1	-1	2	2	0.5	0.125	0.375	0.25
6	6	1/4	1/4	3/4	1	1	v.iio					f	v		iio	ii	o						o	1	1	2, -1, -4		2	2	3	5	0.375	0.125	0.875	0.125
7	7	0	0	3/4	1	1	III+(9)					f	v		III+(9)	III	+		9				+	1	1	-3, 1, 5	-1	-3	-3	0	3	0.0	0.0	0.5	0.0
7	7	1/4	1/4	3/4	1	1	i6					f	v		i6	i		6					m	1	1	-3, 1, 0		0	-3	2	5	0.2857142857142857	0.125	0.875	0.125
8	8	0	0	3/4	1	1	V(4)	0.137707	-2.63771		/	f	v		V(4)	V			4				M	1	1	1, 0, 2		1	1	0	2	0.0	0.0	0.75	0.0
8	8	1/4	1/4	3/4	1	1	V	-0.28024	-3.78438		/	f	v		V	V							M	1	1	1, 5, 2		1	1	0	1	0.0	0.0	0.25	0.0
8	8	1/2	1/2	3/4	1	1	I|PAC}					f	v		I	I					PAC	}	M	1	1	0, 4, 1		0	0	0	2	0.0	0.0	0.5	0.0
9	9	0	0	3/4	1	1	III.I6{					f	III		I6	I		6				{	M	1	0	0, -3, -4		-4	0	0	2	0.0	0.0	0.5	0.0
9	9	1/4	1/4	3/4	1	1	V43					f	III		V43	V		43					Mm7	1	0	-2, -5, -3, 1		-3	-2	0	2	0.0	0.0	0.625	0.0
9	9	1/2	1/2	3/4	1	1	I(4)					f	III		I(4)	I			4				M	1	0	-4, -5, -3		-4	-4	0	1	0.0	0.0	0.25	0.0
9	9	5/8	5/8	3/4	1	1	I					f	III		I	I							M	1	0	-4, 0, -3		-4	-4	0	1	0.0	0.0	0.125	0.0
10	10	0	0	3/4	1	1	V					f	III		V	V							M	1	0	-3, 1, -2		-3	-3	2	3	0.4	0.125	0.875	0.125
10	10	1/2	1/2	3/4	1	1	I6					f	III		I6	I		6					M	1	0	0, -3, -4		-4	0	0	2	0.0	0.0	0.5	0.0
