mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/8	6/8	1	1	e.i{						e	i		i	i						{	m	1	1	4, 1, 5		4	4	10	9	0.5263157894736842	1.0	1.25	0.4444444444444444
4	3	0	0	6/8	1	1	V						e	i		V	V							M	1	1	5, 9, 6		5	5	2	4	0.3333333333333333	0.25	0.75	0.25
4	3	1/2	1/2	6/8	1	1	V43						e	i		V43	V		43					Mm7	1	1	6, 3, 5, 9		5	6	1	2	0.3333333333333333	0.125	0.375	0.25
5	4	0	0	6/8	1	1	i6						e	i		i6	i		6					m	1	1	1, 5, 4		4	1	3	3	0.5	0.5	0.5	0.5
5	4	1/2	1/2	6/8	1	1	i7						e	i		i7	i		7					mm7	1	1	4, 1, 5, 2		4	4	0	3	0.0	0.0	0.5	0.0
6	5	0	0	6/8	1	1	IV						e	i		IV	IV							M	1	1	3, 7, 4		3	3	1	2	0.3333333333333333	0.125	0.375	0.25
6	5	1/4	1/4	6/8	1	1	V43						e	i		V43	V		43					Mm7	1	1	6, 3, 5, 9		5	6	1	2	0.3333333333333333	0.0	0.5	0.0
6	5	1/2	1/2	6/8	1	1	i						e	i		i	i							m	1	1	4, 1, 5		4	4	0	2	0.0	0.0	0.375	0.0
7	6	0	0	6/8	1	1	V|HC.SIM}						e	i		V	V					HC.SIM	}	M	1	1	5, 9, 6		5	5	4	6	0.4	0.5	0.875	0.36363636363636365
8	7	0	0	6/8	1	1	i						e	i		i	i							m	1	1	4, 1, 5		4	4	4	5	0.4444444444444444	0.625	0.875	0.4166666666666667
9	8	0	0	6/8	1	1	iv						e	i		iv	iv							m	1	1	3, 0, 4		3	3	4	5	0.4444444444444444	0.625	0.875	0.4166666666666667
10	9	0	0	6/8	1	1	III.V	-0.912893	-4.47794		/		e	III		V	V							M	1	0	2, 6, 3		2	2	1	2	0.3333333333333333	0.125	0.375	0.25
10	9	1/4	1/4	6/8	1	1	V65						e	III		V65	V		65					Mm7	1	0	6, 3, 0, 2		2	6	1	2	0.3333333333333333	0.125	0.375	0.25
10	9	1/2	1/2	6/8	1	1	V7						e	III		V7	V		7					Mm7	1	0	2, 6, 3, 0		2	2	0	3	0.0	0.0	0.5	0.0
11	10	0	0	6/8	1	1	I	-0.608596	-4.63008		/		e	III		I	I							M	1	0	1, 5, 2		1	1	3	5	0.375	0.375	1.125	0.25
12	11	0	0	6/8	1	1	I6						e	III		I6	I		6					M	1	0	5, 2, 1		1	5	4	7	0.36363636363636365	0.3125	1.1875	0.20833333333333334
13	12	0	0	6/8	1	1	IV65						e	III		IV65	IV		65					Mm7	1	0	4, 1, -2, 0		0	4	4	6	0.4	0.4375	1.0625	0.2916666666666667
