mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	1	1	G.I		G	I		I	I							M	0	0	1, 5, 2		1	1	0	2	0.0	0.0	0.75	0.0
1	1	1/4	1/4	3/4	1	1	IV64		G	I		IV64	IV		64					M	0	0	1, 0, 4		0	1	0	1	0.0	0.0	0.25	0.0
1	1	1/2	1/2	3/4	1	1	V6		G	I		V6	V		6					M	0	0	6, 3, 2		2	6	0	2	0.0	0.0	0.5	0.0
2	2	0	0	3/4	1	1	vi		G	I		vi	vi							m	0	0	4, 1, 5		4	4	0	3	0.0	0.0	1.125	0.0
2	2	1/2	1/2	3/4	1	1	I6		G	I		I6	I		6					M	0	0	5, 2, 1		1	5	0	1	0.0	0.0	0.25	0.0
2	2	5/8	5/8	3/4	1	1	IM65		G	I		IM65	I	M	65					MM7	0	0	5, 2, 6, 1		1	5	0	1	0.0	0.0	0.125	0.0
3	3	0	0	3/4	1	1	ii65		G	I		ii65	ii		65					mm7	0	0	0, 4, 1, 3		3	0	0	2	0.0	0.0	0.5	0.0
3	3	1/4	1/4	3/4	1	1	V(4)		G	I		V(4)	V			4				M	0	0	2, 1, 3		2	2	0	2	0.0	0.0	0.625	0.0
3	3	1/2	1/2	3/4	1	1	V7		G	I		V7	V		7					Mm7	0	0	2, 6, 3, 0		2	2	0	2	0.0	0.0	0.375	0.0
4	4	0	0	3/4	1	1	I\\		G	I		I	I						\\	M	0	0	1, 5, 2		1	1	1	3	0.25	0.0	1.5	0.0
5	5	0	0	3/4	1	1	I		G	I		I	I							M	0	0	1, 5, 2		1	1	0	2	0.0	0.0	0.75	0.0
5	5	1/4	1/4	3/4	1	1	I64		G	I		I64	I		64					M	0	0	2, 1, 5		1	2	1	0	1.0	0.25	0.0	1.0
5	5	1/2	1/2	3/4	1	1	V6		G	I		V6	V		6					M	0	0	6, 3, 2		2	6	0	2	0.0	0.0	0.5	0.0
6	6	0	0	3/4	1	1	vi		G	I		vi	vi							m	0	0	4, 1, 5		4	4	1	2	0.3333333333333333	0.125	0.375	0.25
6	6	1/4	1/4	3/4	1	1	IV		G	I		IV	IV							M	0	0	0, 4, 1		0	0	0	2	0.0	0.0	0.625	0.0
6	6	1/2	1/2	3/4	1	1	v.ii%43		G	v		ii%43	ii	%	43					%7	0	1	-2, 2, 4, 1		4	-2	1	1	0.5	0.125	0.25	0.3333333333333333
7	7	0	0	3/4	1	1	V		G	v		V	V							M	0	1	3, 7, 4		3	3	0	2	0.0	0.0	0.25	0.0
7	7	1/8	1/8	3/4	1	1	IV7		G	v		IV7	IV		7					Mm7	0	1	1, 5, 2, -1		1	1	0	2	0.0	0.0	0.25	0.0
7	7	1/4	1/4	3/4	1	1	V(4)		G	v		V(4)	V			4				M	0	1	3, 2, 4		3	3	0	2	0.0	0.0	0.875	0.0
7	7	1/2	1/2	3/4	1	1	V		G	v		V	V							M	0	1	3, 7, 4		3	3	0	1	0.0	0.0	0.125	0.0
8	8	0	0	3/4	1	1	I\\	1	G	v		I	I						\\	M	0	1	2, 6, 3		2	2	2	5	0.2857142857142857	0.125	1.375	0.08333333333333333
9	8	0	0	3/4	1	1	I	2	G	v		I	I							M	0	1	2, 6, 3		2	2	2	3	0.4	0.25	1.25	0.16666666666666666
10	9	0	0	3/4	1	1	I.V		G	I		V	V							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.75	0.0
10	9	1/4	1/4	3/4	1	1	IV64		G	I		IV64	IV		64					M	0	0	1, 0, 4		0	1	0	1	0.0	0.0	0.25	0.0
10	9	1/2	1/2	3/4	1	1	V2		G	I		V2	V		2					Mm7	0	0	0, 2, 6, 3		2	0	0	2	0.0	0.0	0.5	0.0
11	10	0	0	3/4	1	1	I6		G	I		I6	I		6					M	0	0	5, 2, 1		1	5	0	3	0.0	0.0	1.125	0.0
11	10	1/2	1/2	3/4	1	1	IM7		G	I		IM7	I	M	7					MM7	0	0	1, 5, 2, 6		1	1	0	2	0.0	0.0	0.375	0.0
12	11	0	0	3/4	1	1	VI		G	I		VI	VI							M	0	0	4, 8, 5		4	4	3	1	0.75	0.3125	0.1875	0.625
12	11	1/4	1/4	3/4	1	1	vi.ii%65		G	vi		ii%65	ii	%	65					%7	0	1	3, 0, 4, 6		6	3	0	2	0.0	0.0	0.625	0.0
12	11	1/2	1/2	3/4	1	1	ii%7		G	vi		ii%7	ii	%	7					%7	0	1	6, 3, 0, 4		6	6	0	2	0.0	0.0	0.375	0.0
13	12	0	0	3/4	1	1	V\\		G	vi		V	V						\\	M	0	1	5, 9, 6		5	5	2	5	0.2857142857142857	0.125	1.375	0.08333333333333333
14	13	0	0	3/4	1	1	V6/iv		G	vi		V6/iv	V		6		iv			M	0	1	8, 5, 4		4	8	0	2	0.0	0.0	0.375	0.0
14	13	1/4	1/4	3/4	1	1	IV		G	vi		IV	IV							M	0	1	3, 7, 4		3	3	0	2	0.0	0.0	0.625	0.0
14	13	1/2	1/2	3/4	1	1	ii		G	vi		ii	ii							m	0	1	6, 3, 7		6	6	0	2	0.0	0.0	0.375	0.0
15	14	0	0	3/4	1	1	V		G	vi		V	V							M	0	1	5, 9, 6		5	5	0	2	0.0	0.0	0.625	0.0
15	14	1/4	1/4	3/4	1	1	i		G	vi		i	i							m	0	1	4, 1, 5		4	4	0	2	0.0	0.0	0.375	0.0
15	14	1/2	1/2	3/4	1	1	V65		G	vi		V65	V		65					Mm7	0	1	9, 6, 3, 5		5	9	0	2	0.0	0.0	0.5	0.0
16	15	0	0	3/4	1	1	i		G	vi		i	i							m	0	1	4, 1, 5		4	4	0	3	0.0	0.0	0.5	0.0
16	15	1/4	1/4	3/4	1	1	V(4)		G	vi		V(4)	V			4				M	0	1	5, 4, 6		5	5	0	3	0.0	0.0	0.875	0.0
16	15	5/8	5/8	3/4	1	1	V		G	vi		V	V							M	0	1	5, 9, 6		5	5	0	1	0.0	0.0	0.125	0.0
17	16	0	0	3/4	1	1	VI		G	vi		VI	VI							M	0	1	0, 4, 1		0	0	2	3	0.4	0.25	1.0	0.2
18	17	0	0	3/4	1	1	I.IV		G	I		IV	IV							M	0	0	0, 4, 1		0	0	0	2	0.0	0.0	0.75	0.0
18	17	1/4	1/4	3/4	1	1	V2		G	I		V2	V		2					Mm7	0	0	0, 2, 6, 3		2	0	0	1	0.0	0.0	0.25	0.0
18	17	1/2	1/2	3/4	1	1	I6		G	I		I6	I		6					M	0	0	5, 2, 1		1	5	0	2	0.0	0.0	0.5	0.0
19	18	0	0	3/4	1	1	ii7		G	I		ii7	ii		7					mm7	0	0	3, 0, 4, 1		3	3	0	2	0.0	0.0	0.75	0.0
19	18	1/4	1/4	3/4	1	1	V43		G	I		V43	V		43					Mm7	0	0	3, 0, 2, 6		2	3	0	1	0.0	0.0	0.25	0.0
19	18	1/2	1/2	3/4	1	1	IV65		G	I		IV65	IV		65					Mm7	0	0	4, 1, -2, 0		0	4	0	2	0.0	0.0	0.5	0.0
