mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	1	1	G.I{					G	I		I	I						{	M	0	0	1, 5, 2		1	1	4	8	0.3333333333333333	0.5	2.0	0.2
2	2	1/2	1/2	3/4	1	1	I6					G	I		I6	I		6					M	0	0	5, 2, 1		1	5	0	3	0.0	0.0	0.5	0.0
3	3	0	0	3/4	1	1	V					G	I		V	V							M	0	0	2, 6, 3		2	2	3	4	0.42857142857142855	0.3125	0.6875	0.3125
3	3	1/2	1/2	3/4	1	1	I6					G	I		I6	I		6					M	0	0	5, 2, 1		1	5	0	2	0.0	0.0	0.5	0.0
4	4	0	0	3/4	1	1	IV					G	I		IV	IV							M	0	0	0, 4, 1		0	0	0	2	0.0	0.0	0.5	0.0
4	4	1/4	1/4	3/4	1	1	I65					G	I		I65	I		65					Mm7	0	0	5, 2, -1, 1		1	5	1	2	0.3333333333333333	0.125	0.375	0.25
4	4	1/2	1/2	3/4	1	1	V43					G	I		V43	V		43					Mm7	0	0	3, 0, 2, 6		2	3	0	3	0.0	0.0	0.5	0.0
5	5	0	0	3/4	1	1	I|IAC}					G	I		I	I					IAC	}	M	0	0	1, 5, 2		1	1	5	8	0.38461538461538464	0.75	2.25	0.25
7	7	0	0	3/4	1	1	vi					G	I		vi	vi							m	0	0	4, 1, 5		4	4	2	5	0.2857142857142857	0.25	1.25	0.16666666666666666
8	8	0	0	3/4	1	1	V.V					G	V		V	V							M	0	0	3, 7, 4		3	3	4	4	0.5	0.625	0.875	0.4166666666666667
9	9	0	0	3/4	1	1	I6					G	V		I6	I		6					M	0	0	6, 3, 2		2	6	1	2	0.3333333333333333	0.125	0.5	0.2
9	9	1/4	1/4	3/4	1	1	I					G	V		I	I							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.375	0.0
9	9	1/2	1/2	3/4	1	1	IV					G	V		IV	IV							M	0	0	1, 5, 2		1	1	1	2	0.3333333333333333	0.125	0.375	0.25
10	10	0	0	3/4	1	1	ii7					G	V		ii7	ii		7					mm7	0	0	4, 1, 5, 2		4	4	1	2	0.3333333333333333	0.125	0.375	0.25
10	10	1/4	1/4	3/4	1	1	V					G	V		V	V							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.625	0.0
10	10	1/2	1/2	3/4	1	1	V7					G	V		V7	V		7					Mm7	0	0	3, 7, 4, 1		3	3	1	1	0.5	0.125	0.25	0.3333333333333333
11	11	0	0	3/4	1	1	I|PAC}				1	G	V		I	I					PAC	}	M	0	0	2, 6, 3		2	2	2	5	0.2857142857142857	0.25	1.25	0.16666666666666666
12	11	0	0	3/4	1	1	I|PAC				2	G	V		I	I					PAC		M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	1.5	0.0
13	12	0	0	3/4	1	1	I.V{	1.23652	-4.06754	/		G	I		V	V						{	M	0	0	2, 6, 3		2	2	6	7	0.46153846153846156	0.75	1.5	0.3333333333333333
15	14	0	0	3/4	1	1	I6					G	I		I6	I		6					M	0	0	5, 2, 1		1	5	2	3	0.4	0.25	0.75	0.25
15	14	1/2	1/2	3/4	1	1	V65					G	I		V65	V		65					Mm7	0	0	6, 3, 0, 2		2	6	1	2	0.3333333333333333	0.125	0.375	0.25
16	15	0	0	3/4	1	1	I					G	I		I	I							M	0	0	1, 5, 2		1	1	2	3	0.4	0.25	0.75	0.25
16	15	1/2	1/2	3/4	1	1	vi					G	I		vi	vi							m	0	0	4, 1, 5		4	4	0	2	0.0	0.0	0.5	0.0
17	16	0	0	3/4	1	1	IV					G	I		IV	IV							M	0	0	0, 4, 1		0	0	2	4	0.3333333333333333	0.25	0.75	0.25
17	16	1/2	1/2	3/4	1	1	vi.ii%65					G	vi		ii%65	ii	%	65					%7	0	1	3, 0, 4, 6		6	3	0	2	0.0	0.0	0.5	0.0
18	17	0	0	3/4	1	1	V					G	vi		V	V							M	0	1	5, 9, 6		5	5	0	3	0.0	0.0	1.0	0.0
18	17	1/2	1/2	3/4	1	1	i					G	vi		i	i							m	0	1	4, 1, 5		4	4	1	2	0.3333333333333333	0.125	0.875	0.125
18	17	1	1	3/4	1	1	V					G	vi		V	V							M	0	1	5, 9, 6		5	5	0	2	0.0	0.0	0.875	0.0
18	17	5/4	5/4	3/4	1	1	V7					G	vi		V7	V		7					Mm7	0	1	5, 9, 6, 3		5	5	1	0	1.0	0.125	0.0	1.0
