mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/16	3/8	1	1	e.i{					e	i		i	i						{	m	1	1	4, 1, 5		4	4	0	2	0.0	0.0	0.125	0.0
1	0	1/16	1/4	3/8	1	1	V43					e	i		V43	V		43					Mm7	1	1	6, 3, 5, 9		5	6	0	2	0.0	0.0	0.25	0.0
2	1	0	0	3/8	1	1	i6					e	i		i6	i		6					m	1	1	1, 5, 4		4	1	0	4	0.0	0.0	0.375	0.0
2	1	1/8	1/8	3/8	1	1	V43					e	i		V43	V		43					Mm7	1	1	6, 3, 5, 9		5	6	0	4	0.0	0.0	0.375	0.0
2	1	1/4	1/4	3/8	1	1	i					e	i		i	i							m	1	1	4, 1, 5		4	4	0	4	0.0	0.0	0.375	0.0
3	2	0	0	3/8	1	1	V65					e	i		V65	V		65					Mm7	1	1	9, 6, 3, 5		5	9	1	4	0.2	0.0625	0.6875	0.08333333333333333
3	2	1/4	1/4	3/8	1	1	V7					e	i		V7	V		7					Mm7	1	1	5, 9, 6, 3		5	5	0	4	0.0	0.0	0.375	0.0
4	3	0	0	3/8	1	1	i					e	i		i	i							m	1	1	4, 1, 5		4	4	2	2	0.5	0.125	0.125	0.5
4	3	1/8	1/8	3/8	1	1	V43	-0.232773	-5.9916	/		e	i		V43	V		43					Mm7	1	1	6, 3, 5, 9		5	6	2	4	0.3333333333333333	0.0625	0.4375	0.125
5	4	0	0	3/8	1	1	i6					e	i		i6	i		6					m	1	1	1, 5, 4		4	1	2	4	0.3333333333333333	0.125	0.375	0.25
5	4	1/4	1/4	3/8	1	1	V43					e	i		V43	V		43					Mm7	1	1	6, 3, 5, 9		5	6	1	2	0.3333333333333333	0.0625	0.1875	0.25
6	5	0	0	3/8	1	1	i					e	i		i	i							m	1	1	4, 1, 5		4	4	2	2	0.5	0.0625	0.1875	0.25
6	5	1/8	1/8	3/8	1	1	V65					e	i		V65	V		65					Mm7	1	1	9, 6, 3, 5		5	9	0	3	0.0	0.0	0.25	0.0
6	5	1/4	1/4	3/8	1	1	V7					e	i		V7	V		7					Mm7	1	1	5, 9, 6, 3		5	5	0	3	0.0	0.0	0.25	0.0
7	6	0	0	3/8	1	1	i					e	i		i	i							m	1	1	4, 1, 5		4	4	1	2	0.3333333333333333	0.0625	0.1875	0.25
7	6	1/8	1/8	3/8	1	1	V65					e	i		V65	V		65					Mm7	1	1	9, 6, 3, 5		5	9	0	3	0.0	0.0	0.25	0.0
7	6	1/4	1/4	3/8	1	1	V7					e	i		V7	V		7					Mm7	1	1	5, 9, 6, 3		5	5	0	3	0.0	0.0	0.25	0.0
8	7	0	0	3/8	1	1	i					e	i		i	i							m	1	1	4, 1, 5		4	4	2	3	0.4	0.1875	0.3125	0.375
8	7	1/4	1/4	3/8	1	1	ii%43	-1.84889	-4.88191	/		e	i		ii%43	ii	%	43					%7	1	1	0, 4, 6, 3		6	0	0	3	0.0	0.0	0.25	0.0
9	8	0	0	3/8	1	1	V|HC.PHR}					e	i		V	V					HC.PHR	}	M	1	1	5, 9, 6		5	5	3	5	0.375	0.25	0.6875	0.26666666666666666
10	9	1/8	1/8	3/8	1	1	III.V6					e	III		V6	V		6					M	1	0	6, 3, 2		2	6	1	2	0.3333333333333333	0.0625	0.1875	0.25
10	9	1/4	1/4	3/8	1	1	V65/ii					e	III		V65/ii	V		65		ii			Mm7	1	0	8, 5, 2, 4		4	8	1	2	0.3333333333333333	0.0625	0.1875	0.25
11	10	0	0	3/8	1	1	ii					e	III		ii	ii							m	1	0	3, 0, 4		3	3	1	2	0.3333333333333333	0.0	0.25	0.0
11	10	1/8	1/8	3/8	1	1	IV6					e	III		IV6	IV		6					M	1	0	4, 1, 0		0	4	1	2	0.3333333333333333	0.0625	0.1875	0.25
11	10	1/4	1/4	3/8	1	1	V65					e	III		V65	V		65					Mm7	1	0	6, 3, 0, 2		2	6	1	2	0.3333333333333333	0.0625	0.1875	0.25
12	11	0	0	3/8	1	1	I	0	-5.5	/		e	III		I	I							M	1	0	1, 5, 2		1	1	1	2	0.3333333333333333	0.0	0.25	0.0
12	11	1/8	1/8	3/8	1	1	viio	-0.112411	-5.35027	/		e	III		viio	vii	o						o	1	0	6, 3, 0		6	6	1	2	0.3333333333333333	0.0625	0.1875	0.25
