mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
2	1	0	0	3/4	1	1	D.I{				D	I		I	I						{	M	0	0	2, 6, 3		2.0	2.0	1	6	0.14285714285714285	0.125	2.125	0.05555555555555555
3	2	0	0	3/4	1	1	V6				D	I		V6	V		6					M	0	0	7, 4, 3		3.0	7.0	3	6	0.3333333333333333	0.0	2.25	0.0
4	3	0	0	3/4	1	1	vi				D	I		vi	vi							m	0	0	5, 2, 6		5.0	5.0	0	4	0.0	0.0	0.75	0.0
4	3	1/4	1/4	3/4	1	1	V65				D	I		V65	V		65					Mm7	0	0	7, 4, 1, 3		3.0	7.0	0	4	0.0	0.0	0.875	0.0
4	3	1/2	1/2	3/4	1	1	I(4)				D	I		I(4)	I			4				M	0	0	2, 1, 3		2.0	2.0	0	1	0.0	0.0	0.25	0.0
4	3	5/8	5/8	3/4	1	1	I				D	I		I	I							M	0	0	2, 6, 3		2.0	2.0	0	1	0.0	0.0	0.125	0.0
5	4	0	0	3/4	1	1	V|HC.SIM}				D	I		V	V					HC.SIM	}	M	0	0	3, 7, 4		3.0	3.0	1	5	0.16666666666666666	0.0	1.5	0.0
5	4	1/2	1/2	3/4	1	1	iii6{				D	I		iii6	iii		6				{	m	0	0	3, 7, 6		6.0	3.0	0	2	0.0	0.0	0.5	0.0
6	5	0	0	3/4	1	1	vi				D	I		vi	vi							m	0	0	5, 2, 6		5.0	5.0	3	3	0.5	0.125	0.875	0.125
6	5	1/2	1/2	3/4	1	1	ii65				D	I		ii65	ii		65					mm7	0	0	1, 5, 2, 4		4.0	1.0	0	2	0.0	0.0	0.375	0.0
6	5	5/8	5/8	3/4	1	1	ii43	0.624544	-12.8674	/	D	I		ii43	ii		43					mm7	0	0	5, 2, 4, 1		4.0	5.0	0	1	0.0	0.0	0.125	0.0
7	6	0	0	3/4	1	1	V				D	I		V	V							M	0	0	3, 7, 4		3.0	3.0	2	3	0.4	0.125	0.875	0.125
7	6	1/2	1/2	3/4	1	1	I6				D	I		I6	I		6					M	0	0	6, 3, 2		2.0	6.0	0	4	0.0	0.0	0.75	0.0
8	7	0	0	3/4	1	1	ii65				D	I		ii65	ii		65					mm7	0	0	1, 5, 2, 4		4.0	1.0	0	3	0.0	0.0	0.5	0.0
8	7	1/4	1/4	3/4	1	1	V(4)				D	I		V(4)	V			4				M	0	0	3, 2, 4		3.0	3.0	0	2	0.0	0.0	0.625	0.0
8	7	1/2	1/2	3/4	1	1	V				D	I		V	V							M	0	0	3, 7, 4		3.0	3.0	1	1	0.5	0.125	0.25	0.3333333333333333
9	8	0	0	3/4	1	1	I|PAC}				D	I		I	I					PAC	}	M	0	0	2, 6, 3		2.0	2.0	0	4	0.0	0.0	2.0	0.0
9	8	1/2	1/2	3/4	1	1	I{				D	I		I	I						{	M	0	0	2, 6, 3		2.0	2.0	0	3	0.0	0.0	0.75	0.0
10	9	0	0	3/4	1	1	IV				D	I		IV	IV							M	0	0	1, 5, 2		1.0	1.0	4	3	0.5714285714285714	0.25	1.0	0.2
10	9	1/2	1/2	3/4	1	1	ii6				D	I		ii6	ii		6					m	0	0	1, 5, 4		4.0	1.0	0	5	0.0	0.0	0.75	0.0
11	9	0	0	3/4	1	1	I				D	I		I	I							M	0	0	2, 6, 3		2.0	2.0	3	7	0.3	0.0	1.75	0.0
12	10	0	0	3/4	1	1	I6				D	I		I6	I		6					M	0	0	6, 3, 2		2.0	6.0	1	6	0.14285714285714285	0.125	1.375	0.08333333333333333
13	11	0	0	3/4	1	1	V7/V				D	I		V7/V	V		7		V			Mm7	0	0	4, 8, 5, 2		4.0	4.0	1	2	0.3333333333333333	0.0	0.5	0.0
13	11	1/4	1/4	3/4	1	1	V|HC}				D	I		V	V					HC	}	M	0	0	3, 7, 4		3.0	3.0	0	2	0.0	0.0	0.5	0.0
13	11	1/2	1/2	3/4	1	1	V.I{				D	V		I	I						{	M	0	0	3, 7, 4		3.0	3.0	0	2	0.0	0.0	0.5	0.0
14	12	0	0	3/4	1	1	V6				D	V		V6	V		6					M	0	0	8, 5, 4		4.0	8.0	0	4	0.0	0.0	0.75	0.0
14	12	1/2	1/2	3/4	1	1	iii%43				D	V		iii%43	iii	%	43					%7	0	0	1, 5, 7, 4		7.0	1.0	0	2	0.0	0.0	0.5	0.0
