mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	1	1	g.i					g	i		i	i							m	1	1	1, -2, 2		1	1	0	2	0.0	0.0	0.5	0.0
1	1	1/4	1/4	3/4	1	1	i6					g	i		i6	i		6					m	1	1	-2, 2, 1		1	-2	2	5	0.2857142857142857	0.25	1.5	0.14285714285714285
2	2	0	0	3/4	1	1	V65					g	i		V65	V		65					Mm7	1	1	6, 3, 0, 2		2	6	0	2	0.0	0.0	0.625	0.0
2	2	1/4	1/4	3/4	1	1	i(4)	0	-2.95905	/		g	i		i(4)	i			4				m	1	1	1, 0, 2		1	1	0	1	0.0	0.0	0.25	0.0
2	2	3/8	3/8	3/4	1	1	i					g	i		i	i							m	1	1	1, -2, 2		1	1	0	1	0.0	0.0	0.125	0.0
2	2	1/2	1/2	3/4	1	1	V43					g	i		V43	V		43					Mm7	1	1	3, 0, 2, 6		2	3	0	2	0.0	0.0	0.5	0.0
3	3	0	0	3/4	1	1	i6					g	i		i6	i		6					m	1	1	-2, 2, 1		1	-2	0	4	0.0	0.0	1.0	0.0
3	3	1/4	1/4	3/4	1	1	iv					g	i		iv	iv							m	1	1	0, -3, 1		0	0	0	4	0.0	0.0	1.0	0.0
4	4	0	0	3/4	1	1	i	0	-4.88732	/		g	i		i	i							m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	1.5	0.0
4	4	1/2	1/2	3/4	1	1	V\\					g	i		V	V						\\	M	1	1	2, 6, 3		2	2	1	4	0.2	0.0	0.75	0.0
5	5	0	0	3/4	1	1	i					g	i		i	i							m	1	1	1, -2, 2		1	1	2	2	0.5	0.125	0.375	0.25
5	5	1/4	1/4	3/4	1	1	III.V65					g	III		V65	V		65					Mm7	1	0	3, 0, -3, -1		-1	3	2	4	0.3333333333333333	0.125	0.875	0.125
6	6	0	0	3/4	1	1	I					g	III		I	I							M	1	0	-2, 2, -1		-2	-2	3	4	0.42857142857142855	0.375	0.625	0.375
6	6	1/2	1/2	3/4	1	1	I6					g	III		I6	I		6					M	1	0	2, -1, -2		-2	2	1	2	0.3333333333333333	0.125	0.375	0.25
7	7	0	0	3/4	1	1	V2					g	III		V2	V		2					Mm7	1	0	-3, -1, 3, 0		-1	-3	0	3	0.0	0.0	0.5	0.0
7	7	1/8	1/8	3/4	1	1	I					g	III		I	I							M	1	0	-2, 2, -1		-2	-2	0	2	0.0	0.0	0.25	0.0
7	7	1/4	1/4	3/4	1	1	V					g	III		V	V							M	1	0	-1, 3, 0		-1	-1	1	5	0.16666666666666666	0.125	1.75	0.06666666666666667
8	8	0	0	3/4	1	1	I\\				1	g	III		I	I						\\	M	1	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	1.75	0.0
8	8	1/4	1/4	3/4	1	1	i.III				1	g	i		III	III							M	1	1	-2, 2, -1		-2	-2	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
8	8	5/8	5/8	3/4	1	1	V65				1	g	i		V65	V		65					Mm7	1	1	6, 3, 0, 2		2	6	0	1	0.0	0.0	0.125	0.0
9	8	0	0	3/4	1	1	I\\				2	g	III		I	I						\\	M	1	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	1.0	0.0
9	8	1/4	1/4	3/4	1	1	VII.IV				2	g	VII		IV	IV							M	1	0	-2, 2, -1		-2	-2	0	2	0.0	0.0	0.875	0.0
9	8	1/2	1/2	3/4	1	1	V2				2	g	VII		V2	V		2					Mm7	1	0	-2, 0, 4, 1		0	-2	0	2	0.0	0.0	0.375	0.0
10	9	0	0	3/4	1	1	V65					g	VII		V65	V		65					Mm7	1	0	4, 1, -2, 0		0	4	3	3	0.5	0.5	0.25	0.6666666666666666
10	9	1/4	1/4	3/4	1	1	i.V2					g	i		V2	V		2					Mm7	1	1	0, 2, 6, 3		2	0	2	2	0.5	0.125	0.625	0.16666666666666666
10	9	5/8	5/8	3/4	1	1	V43					g	i		V43	V		43					Mm7	1	1	3, 0, 2, 6		2	3	0	2	0.0	0.0	0.25	0.0
11	10	0	0	3/4	1	1	i6					g	i		i6	i		6					m	1	1	-2, 2, 1		1	-2	2	3	0.4	0.125	0.625	0.16666666666666666
11	10	3/8	3/8	3/4	1	1	v.i64					g	v		i64	i		64					m	1	1	3, 2, -1		2	3	0	2	0.0	0.0	0.25	0.0
11	10	1/2	1/2	3/4	1	1	V2					g	v		V2	V		2					Mm7	1	1	1, 3, 7, 4		3	1	2	2	0.5	0.125	0.375	0.25
12	11	0	0	3/4	1	1	V43					g	v		V43	V		43					Mm7	1	1	4, 1, 3, 7		3	4	1	3	0.25	0.0	0.5	0.0
12	11	1/4	1/4	3/4	1	1	i6					g	v		i6	i		6					m	1	1	-1, 3, 2		2	-1	1	2	0.3333333333333333	0.0	0.625	0.0
12	11	1/2	1/2	3/4	1	1	ii%65	0	-2.65302	/		g	v		ii%65	ii	%	65					%7	1	1	1, -2, 2, 4		4	1	0	2	0.0	0.0	0.375	0.0
13	12	0	0	3/4	1	1	V\\					g	v		V	V						\\	M	1	1	3, 7, 4		3	3	1	6	0.14285714285714285	0.0	2.25	0.0
14	13	0	0	3/4	1	1	i6					g	v		i6	i		6					m	1	1	-1, 3, 2		2	-1	2	9	0.18181818181818182	0.25	1.75	0.125
15	14	0	0	3/4	1	1	V6					g	v		V6	V		6					M	1	1	7, 4, 3		3	7	0	4	0.0	0.0	1.375	0.0
15	14	1/4	1/4	3/4	1	1	v6	0.153018	-2.65302	/		g	v		v6	v		6					m	1	1	0, 4, 3		3	0	0	2	0.0	0.0	0.5	0.0
15	14	1/2	1/2	3/4	1	1	V2/iv					g	v		V2/iv	V		2		iv			Mm7	1	1	0, 2, 6, 3		2	0	0	3	0.0	0.0	0.375	0.0
16	15	0	0	3/4	1	1	iv6					g	v		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	2	3	0.4	0.0625	0.4375	0.125
16	15	1/4	1/4	3/4	1	1	i64					g	v		i64	i		64					m	1	1	3, 2, -1		2	3	0	2	0.0	0.0	0.625	0.0
16	15	1/2	1/2	3/4	1	1	ii%65					g	v		ii%65	ii	%	65					%7	1	1	1, -2, 2, 4		4	1	0	2	0.0	0.0	0.375	0.0
17	16	0	0	3/4	1	1	V					g	v		V	V							M	1	1	3, 7, 4		3	3	0	5	0.0	0.0	2.0	0.0
17	16	1/2	1/2	3/4	1	1	I\\					g	v		I	I						\\	M	1	1	2, 6, 3		2	2	2	3	0.4	0.125	0.375	0.25
18	17	0	0	3/4	1	1	III.V					g	III		V	V							M	1	0	-1, 3, 0		-1	-1	3	3	0.5	0.16666666666666666	0.3333333333333333	0.3333333333333333
18	17	1/4	1/4	3/4	1	1	I6					g	III		I6	I		6					M	1	0	2, -1, -2		-2	2	1	3	0.25	0.125	0.625	0.16666666666666666
18	17	5/8	5/8	3/4	1	1	IM7					g	III		IM7	I	M	7					MM7	1	0	-2, 2, -1, 3		-2	-2	0	2	0.0	0.0	0.25	0.0
19	18	0	0	3/4	1	1	IV					g	III		IV	IV							M	1	0	-3, 1, -2		-3	-3	4	3	0.5714285714285714	0.16666666666666666	0.3333333333333333	0.3333333333333333
19	18	1/4	1/4	3/4	1	1	i.ii%65					g	i		ii%65	ii	%	65					%7	1	1	0, -3, 1, 3		3	0	1	3	0.25	0.125	0.625	0.16666666666666666
19	18	5/8	5/8	3/4	1	1	ii%7					g	i		ii%7	ii	%	7					%7	1	1	3, 0, -3, 1		3	3	0	2	0.0	0.0	0.25	0.0
20	19	0	0	3/4	1	1	V7					g	i		V7	V		7					Mm7	1	1	2, 6, 3, 0		2	2	2	3	0.4	0.041666666666666664	0.4583333333333333	0.08333333333333333
20	19	1/4	1/4	3/4	1	1	i					g	i		i	i							m	1	1	1, -2, 2		1	1	1	5	0.16666666666666666	0.0625	1.9375	0.03125
21	20	0	0	3/4	1	1	V\\					g	i		V	V						\\	M	1	1	2, 6, 3		2	2	2	8	0.2	0.25	1.75	0.125
22	21	0	0	3/4	1	1	V65/iv					g	i		V65/iv	V		65		iv			Mm7	1	1	5, 2, -1, 1		1	5	2	7	0.2222222222222222	0.25	1.25	0.16666666666666666
23	22	0	0	3/4	1	1	iv(4)					g	i		iv(4)	iv			4				m	1	1	0, -1, 1		0	0	2	2	0.5	0.125	0.375	0.25
23	22	1/4	1/4	3/4	1	1	iv					g	i		iv	iv							m	1	1	0, -3, 1		0	0	2	5	0.2857142857142857	0.25	1.0	0.2
24	23	0	0	3/4	1	1	V65/III					g	i		V65/III	V		65		III			Mm7	1	1	3, 0, -3, -1		-1	3	2	7	0.2222222222222222	0.25	1.25	0.16666666666666666
25	24	0	0	3/4	1	1	III(4)					g	i		III(4)	III			4				M	1	1	-2, -3, -1		-2	-2	2	2	0.5	0.125	0.375	0.25
25	24	1/4	1/4	3/4	1	1	III					g	i		III	III							M	1	1	-2, 2, -1		-2	-2	1	4	0.2	0.125	0.875	0.125
25	24	1/2	1/2	3/4	1	1	i64					g	i		i64	i		64					m	1	1	2, 1, -2		1	2	0	2	0.0	0.0	0.25	0.0
26	25	0	0	3/4	1	1	ii%65					g	i		ii%65	ii	%	65					%7	1	1	0, -3, 1, 3		3	0	4	8	0.3333333333333333	0.5	1.0	0.3333333333333333
27	26	0	0	3/4	1	1	V					g	i		V	V							M	1	1	2, 6, 3		2	2	6	7	0.46153846153846156	0.75	1.5	0.3333333333333333
28	27	0	0	3/4	1	1	V2					g	i		V2	V		2					Mm7	1	1	0, 2, 6, 3		2	0	0	3	0.0	0.0	0.5625	0.0
28	27	3/16	3/16	3/4	1	1	i					g	i		i	i							m	1	1	1, -2, 2		1	1	0	2	0.0	0.0	0.125	0.0
28	27	1/4	1/4	3/4	1	1	V					g	i		V	V							M	1	1	2, 6, 3		2	2	1	5	0.16666666666666666	0.125	1.75	0.06666666666666667
29	28	0	0	3/4	1	1	i\\				1	g	i		i	i						\\	m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	1.0	0.0
29	28	1/4	1/4	3/4	1	1	VII.IV				1	g	VII		IV	IV							M	1	0	-2, 2, -1		-2	-2	0	2	0.0	0.0	0.875	0.0
29	28	1/2	1/2	3/4	1	1	V2				1	g	VII		V2	V		2					Mm7	1	0	-2, 0, 4, 1		0	-2	0	2	0.0	0.0	0.375	0.0
30	28	0	0	3/4	1	1	i\\				2	g	i		i	i						\\	m	1	1	1, -2, 2		1	1	0	7	0.0	0.0	3.5	0.0
