mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/4	6/8	1	1	E.I{				E	I		I	I						{	M	0	0	4, 8, 5		4	4	1	5	0.16666666666666666	0.125	0.875	0.125
2	1	0	0	6/8	1	1	V				E	I		V	V							M	0	0	5, 9, 6		5	5	1	4	0.2	0.125	0.875	0.125
2	1	3/8	3/8	6/8	1	1	ii	0	-4.17364	/	E	I		ii	ii							m	0	0	6, 3, 7		6	6	2	3	0.4	0.1875	0.5625	0.25
3	2	0	0	6/8	1	1	vi				E	I		vi	vi							m	0	0	7, 4, 8		7	7	1	4	0.2	0.125	0.875	0.125
3	2	3/8	3/8	6/8	1	1	I6				E	I		I6	I		6					M	0	0	8, 5, 4		4	8	3	5	0.375	0.3125	0.9375	0.25
4	3	1/4	1/4	6/8	1	1	I				E	I		I	I							M	0	0	4, 8, 5		4	4	0	2	0.0	0.0	0.25	0.0
4	3	3/8	3/8	6/8	1	1	V(4)				E	I		V(4)	V			4				M	0	0	5, 4, 6		5	5	2	2	0.5	0.125	0.375	0.25
4	3	5/8	5/8	6/8	1	1	V				E	I		V	V							M	0	0	5, 9, 6		5	5	0	2	0.0	0.0	0.25	0.0
5	4	0	0	6/8	1	1	I|IAC}				E	I		I	I					IAC	}	M	0	0	4, 8, 5		4	4	1	8	0.1111111111111111	0.125	1.375	0.08333333333333333
6	5	0	0	6/8	1	1	V				E	I		V	V							M	0	0	5, 9, 6		5	5	1	4	0.2	0.125	0.875	0.125
6	5	3/8	3/8	6/8	1	1	ii	0.0760745	-4.47794	/	E	I		ii	ii							m	0	0	6, 3, 7		6	6	2	3	0.4	0.1875	0.5625	0.25
7	6	0	0	6/8	1	1	vi				E	I		vi	vi							m	0	0	7, 4, 8		7	7	1	4	0.2	0.125	0.875	0.125
7	6	3/8	3/8	6/8	1	1	I6				E	I		I6	I		6					M	0	0	8, 5, 4		4	8	3	5	0.375	0.3125	0.9375	0.25
8	7	1/4	1/4	6/8	1	1	I				E	I		I	I							M	0	0	4, 8, 5		4	4	0	2	0.0	0.0	0.25	0.0
8	7	3/8	3/8	6/8	1	1	V(64)	-0.0760745	-4.40186	/	E	I		V(64)	V			64				M	0	0	5, 4, 8		5	5	2	4	0.3333333333333333	0.125	0.625	0.16666666666666666
9	8	0	0	6/8	1	1	I|PAC}				E	I		I	I					PAC	}	M	0	0	4, 8, 5		4	4	2	8	0.2	0.25	1.75	0.125
11	8	0	0	6/8	1	1	IVM7				E	I		IVM7	IV	M	7					MM7	0	0	3, 7, 4, 8		3	3	1	3	0.25	0.125	0.625	0.16666666666666666
11	8	3/8	3/8	6/8	1	1	ii6				E	I		ii6	ii		6					m	0	0	3, 7, 6		6	3	2	4	0.3333333333333333	0.125	0.625	0.16666666666666666
12	9	0	0	6/8	1	1	I6(7)				E	I		I6(7)	I		6	7				M	0	0	8, 5, 9		4	8	1	3	0.25	0.125	0.625	0.16666666666666666
12	9	3/8	3/8	6/8	1	1	I6				E	I		I6	I		6					M	0	0	8, 5, 4		4	8	1	3	0.25	0.0625	0.6875	0.08333333333333333
13	10	0	0	6/8	1	1	V(4)				E	I		V(4)	V			4				M	0	0	5, 4, 6		5	5	2	3	0.4	0.1875	0.5625	0.25
13	10	3/8	3/8	6/8	1	1	V				E	I		V	V							M	0	0	5, 9, 6		5	5	2	4	0.3333333333333333	0.125	0.625	0.16666666666666666
14	11	0	0	6/8	1	1	I|IAC}	0	-5.84728	/	E	I		I	I					IAC	}	M	0	0	4, 8, 5		4	4	2	7	0.2222222222222222	0.25	1.25	0.16666666666666666
15	12	0	0	6/8	1	1	IVM7				E	I		IVM7	IV	M	7					MM7	0	0	3, 7, 4, 8		3	3	1	3	0.25	0.125	0.625	0.16666666666666666
15	12	3/8	3/8	6/8	1	1	ii6				E	I		ii6	ii		6					m	0	0	3, 7, 6		6	3	2	4	0.3333333333333333	0.125	0.625	0.16666666666666666
16	13	0	0	6/8	1	1	I6(7)				E	I		I6(7)	I		6	7				M	0	0	8, 5, 9		4	8	1	3	0.25	0.125	0.625	0.16666666666666666
16	13	3/8	3/8	6/8	1	1	I6				E	I		I6	I		6					M	0	0	8, 5, 4		4	8	1	3	0.25	0.0625	0.6875	0.08333333333333333
17	14	0	0	6/8	1	1	V(4)				E	I		V(4)	V			4				M	0	0	5, 4, 6		5	5	2	3	0.4	0.1875	0.5625	0.25
17	14	3/8	3/8	6/8	1	1	V				E	I		V	V							M	0	0	5, 9, 6		5	5	2	4	0.3333333333333333	0.125	0.625	0.16666666666666666
18	15	0	0	6/8	1	1	I|IAC}				E	I		I	I					IAC	}	M	0	0	4, 8, 5		4	4	0	4	0.0	0.0	0.625	0.0
19	15	1/8	3/8	6/8	1	1	vi.i	-0.836819	-4.78223	/	E	vi		i	i							m	0	1	7, 4, 8		7	7	0	1	0.0	0.0	0.25	0.0
19	15	3/8	5/8	6/8	1	1	V				E	vi		V	V							M	0	1	8, 12, 9		8	8	0	2	0.0	0.0	0.25	0.0
20	16	0	0	6/8	1	1	i				E	vi		i	i							m	0	1	7, 4, 8		7	7	2	4	0.3333333333333333	0.0625	0.6875	0.08333333333333333
20	16	3/8	3/8	6/8	1	1	V				E	vi		V	V							M	0	1	8, 12, 9		8	8	1	4	0.2	0.0625	0.6875	0.08333333333333333
