mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/8	2/4	1	1	E.V	-1	-3.5	/	E	I		V	V							M	0	0	5, 9, 6		5	5	0	1	0.0	0.0	0.125	0.0
2	1	0	0	2/4	1	1	I				E	I		I	I							M	0	0	4, 8, 5		4	4	0	5	0.0	0.0	1.125	0.0
4	3	0	0	2/4	1	1	V				E	I		V	V							M	0	0	5, 9, 6		5	5	2	4	0.3333333333333333	0.25	0.75	0.25
5	4	0	0	2/4	1	1	V\\				E	I		V	V						\\	M	0	0	5, 9, 6		5	5	2	7	0.2222222222222222	0.125	1.25	0.09090909090909091
6	5	3/8	3/8	2/4	1	1	V/V				E	I		V/V	V				V			M	0	0	6, 10, 7		6	6	1	1	0.5	0.0625	0.0625	0.5
7	6	0	0	2/4	1	1	V6/V				E	I		V6/V	V		6		V			M	0	0	10, 7, 6		6	10	1	3	0.25	0.125	0.875	0.125
8	7	0	0	2/4	1	1	V43/V				E	I		V43/V	V		43		V			Mm7	0	0	7, 4, 6, 10		6	7	1	3	0.25	0.125	0.5	0.2
8	7	3/8	3/8	2/4	1	1	V/V				E	I		V/V	V				V			M	0	0	6, 10, 7		6	6	1	2	0.3333333333333333	0.0625	0.1875	0.25
9	8	0	0	2/4	1	1	V43				E	I		V43	V		43					Mm7	0	0	6, 3, 5, 9		5	6	2	6	0.25	0.125	0.875	0.125
10	9	0	0	2/4	1	1	I6				E	I		I6	I		6					M	0	0	8, 5, 4		4	8	3	7	0.3	0.3125	1.3125	0.19230769230769232
11	9	1/4	1/4	2/4	1	1	I				E	I		I	I							M	0	0	4, 8, 5		4	4	0	1	0.0	0.0	0.125	0.0
11	9	3/8	3/8	2/4	1	1	I6				E	I		I6	I		6					M	0	0	8, 5, 4		4	8	1	2	0.3333333333333333	0.0625	0.1875	0.25
12	10	0	0	2/4	1	1	V				E	I		V	V							M	0	0	5, 9, 6		5	5	1	3	0.25	0.125	0.5	0.2
12	10	3/8	3/8	2/4	1	1	V7				E	I		V7	V		7					Mm7	0	0	5, 9, 6, 3		5	5	0	2	0.0	0.0	0.25	0.0
13	11	0	0	2/4	1	1	I				E	I		I	I							M	0	0	4, 8, 5		4	4	2	6	0.25	0.125	0.875	0.125
