mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	1	1	A.I[I{					A	I	I	I	I						{	M	0	0	3, 7, 4		3	3	20	40	0.3333333333333333	1.25	9.25	0.11904761904761904
5	5	1/4	1/4	4/4	1	1	viio6					A	I	I	viio6	vii	o	6					o	0	0	5, 2, 8		8	5	1	3	0.25	0.0625	0.4375	0.125
5	5	1/2	1/2	4/4	1	1	I					A	I	I	I	I							M	0	0	3, 7, 4		3	3	5	8	0.38461538461538464	0.3125	1.6875	0.15625
6	6	1/4	1/4	4/4	1	1	viio6					A	I	I	viio6	vii	o	6					o	0	0	5, 2, 8		8	5	1	3	0.25	0.0625	0.4375	0.125
6	6	1/2	1/2	4/4	1	1	I					A	I	I	I	I							M	0	0	3, 7, 4		3	3	4	4	0.5	0.25	0.75	0.25
7	7	0	0	4/4	1	1	I]					A	I	I	I	I							M	0	0	3, 7, 4		3	3	4	5	0.4444444444444444	0.25	1.25	0.16666666666666666
7	7	1/2	1/2	4/4	1	1	vi7					A	I		vi7	vi		7					mm7	0	0	6, 3, 7, 4		6	6	0	3	0.0	0.0	0.75	0.0
7	7	3/4	3/4	4/4	1	1	ii6					A	I		ii6	ii		6					m	0	0	2, 6, 5		5	2	2	3	0.4	0.125	0.625	0.16666666666666666
8	8	0	0	4/4	1	1	V|HC}	0	-2.9	/	1	A	I		V	V					HC	}	M	0	0	4, 8, 5		4	4	1	3	0.25	0.0625	0.6875	0.08333333333333333
8	8	1/4	1/4	4/4	1	1	I6{				1	A	I		I6	I		6				{	M	0	0	7, 4, 3		3	7	3	3	0.5	0.1875	0.5625	0.25
8	8	1/2	1/2	4/4	1	1	I				1	A	I		I	I							M	0	0	3, 7, 4		3	3	2	6	0.25	0.125	1.375	0.08333333333333333
9	8	0	0	4/4	1	1	V|HC}	0	-3.7183	/	2	A	I		V	V					HC	}	M	0	0	4, 8, 5		4	4	2	4	0.3333333333333333	0.125	0.875	0.125
9	8	1/2	1/2	4/4	1	1	V7				2	A	I		V7	V		7					Mm7	0	0	4, 8, 5, 2		4	4	4	4	0.5	0.125	0.875	0.125
10	9	0	0	4/4	1	1	V[V					A	I	V	V	V							M	0	0	4, 8, 5		4	4	0	3	0.0	0.0	1.0	0.0
10	9	1/4	1/4	4/4	1	1	I					A	I	V	I	I							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.5	0.0
10	9	1/2	1/2	4/4	1	1	V7					A	I	V	V7	V		7					Mm7	0	0	4, 8, 5, 2		4	4	0	2	0.0	0.0	0.5	0.0
10	9	3/4	3/4	4/4	1	1	I					A	I	V	I	I							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.5	0.0
11	10	0	0	4/4	1	1	V7					A	I	V	V7	V		7					Mm7	0	0	4, 8, 5, 2		4	4	0	3	0.0	0.0	1.0	0.0
11	10	1/4	1/4	4/4	1	1	I					A	I	V	I	I							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.5	0.0
11	10	1/2	1/2	4/4	1	1	V7					A	I	V	V7	V		7					Mm7	0	0	4, 8, 5, 2		4	4	0	2	0.0	0.0	0.5	0.0
11	10	3/4	3/4	4/4	1	1	I					A	I	V	I	I							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.5	0.0
12	11	0	0	4/4	1	1	V					A	I	V	V	V							M	0	0	4, 8, 5		4	4	8	12	0.4	0.5	3.0	0.14285714285714285
13	12	1/4	1/4	4/4	1	1	I					A	I	V	I	I							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.5	0.0
13	12	1/2	1/2	4/4	1	1	V					A	I	V	V	V							M	0	0	4, 8, 5		4	4	0	2	0.0	0.0	0.5	0.0
13	12	3/4	3/4	4/4	1	1	I					A	I	V	I	I							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.5	0.0
14	13	0	0	4/4	1	1	V					A	I	V	V	V							M	0	0	4, 8, 5		4	4	5	4	0.5555555555555556	0.5625	0.9375	0.375
14	13	1/2	1/2	4/4	1	1	I(4)					A	I	V	I(4)	I			4				M	0	0	3, 2, 4		3	3	1	2	0.3333333333333333	0.0625	0.4375	0.125
14	13	3/4	3/4	4/4	1	1	I					A	I	V	I	I							M	0	0	3, 7, 4		3	3	2	2	0.5	0.125	0.375	0.25
15	14	0	0	4/4	1	1	V|HC.SIM}	0	-3.5	/		A	I	V	V	V					HC.SIM	}	M	0	0	4, 8, 5		4	4	4	5	0.4444444444444444	0.5	1.0	0.3333333333333333
15	14	1/2	1/2	4/4	1	1	I]					A	I	V	I	I							M	0	0	3, 7, 4		3	3	3	4	0.42857142857142855	0.1875	0.8125	0.1875
16	15	0	0	4/4	1	1	I[I{					A	I	I	I	I						{	M	0	0	3, 7, 4		3	3	8	13	0.38095238095238093	0.625	2.875	0.17857142857142858
17	16	1/4	1/4	4/4	1	1	viio6					A	I	I	viio6	vii	o	6					o	0	0	5, 2, 8		8	5	1	3	0.25	0.1875	0.3125	0.375
17	16	1/2	1/2	4/4	1	1	I					A	I	I	I	I							M	0	0	3, 7, 4		3	3	1	2	0.3333333333333333	0.0625	0.4375	0.125
17	16	3/4	3/4	4/4	1	1	viio6	0	-3.5	/		A	I	I	viio6	vii	o	6					o	0	0	5, 2, 8		8	5	1	3	0.25	0.0625	0.4375	0.125
18	17	0	0	4/4	1	1	I					A	I	I	I	I							M	0	0	3, 7, 4		3	3	1	3	0.25	0.0625	1.4375	0.041666666666666664
18	17	1/4	1/4	4/4	1	1	V7/IV					A	I	I	V7/IV	V		7		IV			Mm7	0	0	3, 7, 4, 1		3	3	0	3	0.0	0.0	0.5	0.0
18	17	1/2	1/2	4/4	1	1	IV					A	I	I	IV	IV							M	0	0	2, 6, 3		2	2	4	7	0.36363636363636365	0.375	1.625	0.1875
19	18	1/4	1/4	4/4	1	1	I					A	I	I	I	I							M	0	0	3, 7, 4		3	3	3	5	0.375	0.1875	1.3125	0.125
19	18	3/4	3/4	4/4	1	1	viio6					A	I	I	viio6	vii	o	6					o	0	0	5, 2, 8		8	5	1	3	0.25	0.0625	0.4375	0.125
20	19	0	0	4/4	1	1	I]					A	I	I	I	I							M	0	0	3, 7, 4		3	3	0	3	0.0	0.0	0.75	0.0
20	19	1/4	1/4	4/4	1	1	ii6					A	I		ii6	ii		6					m	0	0	2, 6, 5		5	2	2	3	0.4	0.125	0.625	0.16666666666666666
20	19	1/2	1/2	4/4	1	1	V(64)					A	I		V(64)	V			64				M	0	0	4, 3, 7		4	4	0	3	0.0	0.0	1.0	0.0
20	19	3/4	3/4	4/4	1	1	V	0	-4.7	/		A	I		V	V							M	0	0	4, 8, 5		4	4	2	2	0.5	0.125	0.375	0.25
21	20	0	0	4/4	1	1	I|PAC}				1	A	I		I	I					PAC	}	M	0	0	3, 7, 4		3	3	6	9	0.4	1.25	1.25	0.5
22	20	0	0	4/4	1	1	I|PAC}				2	A	I		I	I					PAC	}	M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.5	0.0
23	20	0	1/8	4/4	1	1	i.i{	0	-4.1	/		A	i		i	i						{	m	0	1	3, 0, 4		3	3	4	3	0.5714285714285714	0.5	0.375	0.5714285714285714
24	21	0	0	4/4	1	1	i[i					A	i	i	i	i							m	0	1	3, 0, 4		3	3	3	6	0.3333333333333333	0.375	1.5	0.2
24	21	3/4	3/4	4/4	1	1	V					A	i	i	V	V							M	0	1	4, 8, 5		4	4	1	2	0.3333333333333333	0.125	0.375	0.25
25	22	0	0	4/4	1	1	i]					A	i	i	i	i							m	0	1	3, 0, 4		3	3	8	10	0.4444444444444444	0.875	2.0	0.30434782608695654
26	23	1/4	1/4	4/4	1	1	IV					A	i		IV	IV							M	0	1	2, 6, 3		2	2	2	3	0.4	0.125	0.625	0.16666666666666666
26	23	1/2	1/2	4/4	1	1	#viio6					A	i		#viio6	#vii	o	6					o	0	1	5, 2, 8		8	5	1	3	0.25	0.0	1.0	0.0
