mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	-1	2/4	3/8	1/8			1			firstMeasure	2
2	1	-1	2/4	1/2	0							3
3	2	-1	2/4	1/2	0							4
4	3	-1	2/4	1/2	0							5
5	4	-1	2/4	1/2	0					line		6
6	5	-1	2/4	1/2	0							7
7	6	-1	2/4	1/2	0							8
8	7	-1	2/4	1/2	0							9
9	8	-1	2/4	1/2	0							10
10	9	-1	2/4	1/2	0					line		11
11	10	-1	2/4	1/2	0							12
12	11	-1	2/4	1/2	0							13
13	12	-1	2/4	1/2	0							14
14	13	-1	2/4	1/2	0							15
15	14	-1	2/4	1/2	0					line		16
16	15	-1	2/4	1/2	0							17
17	16	-1	2/4	1/2	0							18
18	17	-1	2/4	1/2	0							19
19	18	-1	2/4	1/2	0							20
20	19	-1	2/4	1/2	0					line		21
21	20	-1	2/4	1/2	0							22
22	21	-1	2/4	1/2	0							23
23	22	-1	2/4	1/2	0							24
24	23	-1	2/4	1/2	0							25
25	24	-1	2/4	1/8	0						end	1, 26
26	24	-1	2/4	3/8	1/8			1	start-repeat		start	27
27	25	-1	2/4	1/2	0							28
28	26	-1	2/4	1/2	0							29
29	27	-1	2/4	1/2	0							30
30	28	-1	2/4	1/2	0					line		31
31	29	-1	2/4	1/2	0							32
32	30	-1	2/4	1/2	0							33
33	31	-1	2/4	1/2	0							34
34	32	-1	2/4	1/2	0							35
35	33	-1	2/4	1/2	0					line		36
36	34	-1	2/4	1/2	0							37
37	35	-1	2/4	1/2	0							38
38	36	-1	2/4	1/2	0							39
39	37	-1	2/4	1/2	0							40
40	38	-1	2/4	1/2	0					line		41
41	39	-1	2/4	1/2	0							42
42	40	-1	2/4	1/2	0							43
43	41	-1	2/4	1/2	0							44
44	42	-1	2/4	1/2	0							45
45	43	-1	2/4	1/2	0							46
46	44	-1	2/4	1/2	0					line		47
47	45	-1	2/4	1/2	0							48
48	46	-1	2/4	1/2	0							49
49	47	-1	2/4	1/2	0							50
50	48	-1	2/4	1/2	0							51
51	49	-1	2/4	1/2	0							52
52	50	-1	2/4	1/2	0					line		53
53	51	-1	2/4	1/2	0							54
54	52	-1	2/4	1/2	0							55
55	53	-1	2/4	1/2	0							56
56	54	-1	2/4	1/2	0							57
57	55	-1	2/4	1/2	0							58
58	56	-1	2/4	1/2	0					line		59
59	57	-1	2/4	1/2	0							60
60	58	-1	2/4	1/2	0							61
61	59	-1	2/4	1/2	0							62
62	60	-1	2/4	1/2	0							63
63	61	-1	2/4	1/2	0							64, 65
64	62	-1	2/4	1/8	0	1					end	26
65	62	-1	2/4	1/2	0	2		1	end		lastMeasure	-1
