mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0	2.5	1	6/8	5/8	1/8			1			firstMeasure	2
2	1	5/2	5/2	3.0	1	6/8	3/4	0							3
3	2	11/2	11/2	3.0	1	6/8	3/4	0							4
4	3	17/2	17/2	3.0	1	6/8	3/4	0					line		5
5	4	23/2	23/2	3.0	1	6/8	3/4	0							6
6	5	29/2	29/2	3.0	1	6/8	3/4	0							7
7	6	35/2	35/2	3.0	1	6/8	3/4	0							8
8	7	41/2	41/2	3.0	1	6/8	3/4	0					line		9
9	8	47/2	47/2	3.0	1	6/8	3/4	0							10
10	9	53/2	53/2	3.0	1	6/8	3/4	0							11, 12
11	10		59/2	0.5	1	6/8	1/8	0	1					end	1
12	10	59/2	30	3.0	1	6/8	3/4	0	2		1	double	line		13
13	11	65/2	33	3.0	1	6/8	3/4	0				start-repeat		start	14
14	12	71/2	36	3.0	1	6/8	3/4	0							15
15	13	77/2	39	3.0	1	6/8	3/4	0							16
16	14	83/2	42	3.0	1	6/8	3/4	0							17
17	15	89/2	45	3.0	1	6/8	3/4	0							18
18	16	95/2	48	3.0	1	6/8	3/4	0							19
19	17	101/2	51	3.0	1	6/8	3/4	0							20
20	18	107/2	54	3.0	1	6/8	3/4	0					line		21
21	19	113/2	57	3.0	1	6/8	3/4	0							22
22	20	119/2	60	3.0	1	6/8	3/4	0							23
23	21	125/2	63	3.0	1	6/8	3/4	0							24
24	22	131/2	66	3.0	1	6/8	3/4	0					line		25
25	23	137/2	69	3.0	1	6/8	3/4	0							26
26	24	143/2	72	3.0	1	6/8	3/4	0							27
27	25	149/2	75	3.0	1	6/8	3/4	0							28
28	26	155/2	78	3.0	1	6/8	3/4	0							29
29	27	161/2	81	3.0	1	6/8	3/4	0							30
30	28	167/2	84	3.0	1	6/8	3/4	0							31
31	29	173/2	87	3.0	1	6/8	3/4	0							32, 33
32	30		90	3.0	1	6/8	3/4	0	1					end	13
33	30	179/2	93	0.5	1	6/8	1/8	0	2		1	end		lastMeasure	-1
