mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	0	0.5	-2	3/8	1/8	1/4		1			firstMeasure					2
2	1	1/2	1.5	-2	3/8	3/8	0										3
3	2	2	1.5	-2	3/8	3/8	0										4
4	3	7/2	1.5	-2	3/8	3/8	0										5
5	4	5	1.5	-2	3/8	3/8	0										6
6	5	13/2	1.5	-2	3/8	3/8	0										7
7	6	8	1.5	-2	3/8	3/8	0										8
8	7	19/2	1.5	-2	3/8	3/8	0										9
9	8	11	1.0	-2	3/8	1/4	0				line	end	segno				1, 10, 19, 28
10	8	12	0.5	-2	3/8	1/8	1/4		1			start	1e				11
11	9	25/2	1.5	-2	3/8	3/8	0										12
12	10	14	1.5	-2	3/8	3/8	0										13
13	11	31/2	1.5	-2	3/8	3/8	0										14
14	12	17	1.5	-2	3/8	3/8	0										15
15	13	37/2	1.5	-2	3/8	3/8	0										16
16	14	20	1.5	-2	3/8	3/8	0										17
17	15	43/2	1.5	-2	3/8	3/8	0										18
18	16	23	1.0	-2	3/8	1/4	0					end		start	2e	segno	10, 1
19	16	24	0.5	-2	3/8	1/8	1/4		1			start	2e				20
20	17	49/2	1.5	-2	3/8	3/8	0										21
21	18	26	1.5	-2	3/8	3/8	0										22
22	19	55/2	1.5	-2	3/8	3/8	0										23
23	20	29	1.5	-2	3/8	3/8	0										24
24	21	61/2	1.5	-2	3/8	3/8	0										25
25	22	32	1.5	-2	3/8	3/8	0										26
26	23	67/2	1.5	-2	3/8	3/8	0										27
27	24	35	1.0	-2	3/8	1/4	0					end		start	3e	segno	19, 1
28	24	36	0.75	-2	3/8	3/16	3/16		1			start	3e				29
29	25	147/4	1.5	-2	3/8	3/8	0										30
30	26	153/4	1.5	-2	3/8	3/8	0										31
31	27	159/4	1.5	-2	3/8	3/8	0										32
32	28	165/4	1.5	-2	3/8	3/8	0										33
33	29	171/4	1.5	-2	3/8	3/8	0										34
34	30	177/4	1.5	-2	3/8	3/8	0										35
35	31	183/4	1.5	-2	3/8	3/8	0										36
36	32	189/4	1.5	-2	3/8	3/8	0										37
37	33	195/4	1.5	-2	3/8	3/8	0										38
38	34	201/4	1.5	-2	3/8	3/8	0										39
39	35	207/4	1.5	-2	3/8	3/8	0										40
40	36	213/4	1.5	-2	3/8	3/8	0										41
41	37	219/4	1.5	-2	3/8	3/8	0										42
42	38	225/4	1.5	-2	3/8	3/8	0										43
43	39	231/4	1.5	-2	3/8	3/8	0										44
44	40	237/4	1.5	-2	3/8	3/8	0										45
45	41	243/4	1.5	-2	3/8	3/8	0										46
46	42	249/4	1.5	-2	3/8	3/8	0										47
47	43	255/4	1.5	-2	3/8	3/8	0										48
48	44	261/4	1.5	-2	3/8	3/8	0										49
49	45	267/4	1.5	-2	3/8	3/8	0										50
50	46	273/4	1.5	-2	3/8	3/8	0										51
51	47	279/4	1.5	-2	3/8	3/8	0										52
52	48	285/4	1.5	-2	3/8	3/8	0										53
53	49	291/4	1.5	-2	3/8	3/8	0										54
54	50	297/4	1.5	-2	3/8	3/8	0										55
55	51	303/4	1.5	-2	3/8	3/8	0										56
56	52	309/4	1.5	-2	3/8	3/8	0										57
57	53	315/4	1.5	-2	3/8	3/8	0										58
58	54	321/4	1.5	-2	3/8	3/8	0										59
59	55	327/4	1.5	-2	3/8	3/8	0										60
60	56	333/4	1.0	-2	3/8	1/4	0					end					28, -1
