mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0	0.75	1	3/8	3/16	3/16			1			firstMeasure	2
2	1	3/4	3/4	1.5	1	3/8	3/8	0							3
3	2	9/4	9/4	1.5	1	3/8	3/8	0							4
4	3	15/4	15/4	1.5	1	3/8	3/8	0							5
5	4	21/4	21/4	1.5	1	3/8	3/8	0							6
6	5	27/4	27/4	1.5	1	3/8	3/8	0							7
7	6	33/4	33/4	1.5	1	3/8	3/8	0							8
8	7	39/4	39/4	1.5	1	3/8	3/8	0					line		9
9	8	45/4	45/4	1.5	1	3/8	3/8	0							10
10	9	51/4	51/4	1.5	1	3/8	3/8	0							11
11	10	57/4	57/4	1.5	1	3/8	3/8	0							12
12	11	63/4	63/4	1.5	1	3/8	3/8	0							13
13	12	69/4	69/4	1.5	1	3/8	3/8	0							14
14	13	75/4	75/4	1.5	1	3/8	3/8	0							15
15	14	81/4	81/4	1.5	1	3/8	3/8	0							16
16	15	87/4	87/4	1.5	1	3/8	3/8	0							17, 18
17	16		93/4	0.75	1	3/8	3/16	0	1					end	1
18	16	93/4	24	1.5	1	3/8	3/8	0	2		1		line	start	19
19	17	99/4	51/2	1.5	1	3/8	3/8	0							20
20	18	105/4	27	1.5	1	3/8	3/8	0							21
21	19	111/4	57/2	1.5	1	3/8	3/8	0							22
22	20	117/4	30	1.5	1	3/8	3/8	0							23
23	21	123/4	63/2	1.5	1	3/8	3/8	0							24
24	22	129/4	33	1.5	1	3/8	3/8	0							25
25	23	135/4	69/2	1.5	1	3/8	3/8	0							26
26	24	141/4	36	1.5	1	3/8	3/8	0							27
27	25	147/4	75/2	1.5	1	3/8	3/8	0					line		28
28	26	153/4	39	1.5	1	3/8	3/8	0							29
29	27	159/4	81/2	1.5	1	3/8	3/8	0							30
30	28	165/4	42	1.5	1	3/8	3/8	0							31
31	29	171/4	87/2	1.5	1	3/8	3/8	0							32
32	30	177/4	45	1.5	1	3/8	3/8	0							33
33	31	183/4	93/2	1.5	1	3/8	3/8	0							34
34	32	189/4	48	1.5	1	3/8	3/8	0							35
35	33	195/4	99/2	1.5	1	3/8	3/8	0							36
36	34	201/4	51	1.5	1	3/8	3/8	0					line		37
37	35	207/4	105/2	1.5	1	3/8	3/8	0							38
38	36	213/4	54	1.5	1	3/8	3/8	0							39
39	37	219/4	111/2	1.5	1	3/8	3/8	0							40
40	38	225/4	57	1.5	1	3/8	3/8	0							41
41	39	231/4	117/2	1.5	1	3/8	3/8	0							42
42	40	237/4	60	1.5	1	3/8	3/8	0							43
43	41	243/4	123/2	1.5	1	3/8	3/8	0							44, 45
44	42		63	0.75	1	3/8	3/16	0	1					end	18
45	42	249/4	255/4	0.75	1	3/8	3/16	0	2		1	end		start	46
46	43	63	129/2	1.5	1	3/8	3/8	0				end		lastMeasure	45, -1
