mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	0	1.5	-1	6/8	3/8	3/8		1			firstMeasure					2
2	1	3/2	3.0	-1	6/8	3/4	0										3
3	2	9/2	3.0	-1	6/8	3/4	0										4
4	3	15/2	3.0	-1	6/8	3/4	0										5
5	4	21/2	3.0	-1	6/8	3/4	0						segno				6
6	5	27/2	3.0	-1	6/8	3/4	0										7
7	6	33/2	3.0	-1	6/8	3/4	0										8
8	7	39/2	3.0	-1	6/8	3/4	0				line						9
9	8	45/2	3.0	-1	6/8	3/4	0										10
10	9	51/2	3.0	-1	6/8	3/4	0										11
11	10	57/2	3.0	-1	6/8	3/4	0										12
12	11	63/2	3.0	-1	6/8	3/4	0										13
13	12	69/2	3.0	-1	6/8	3/4	0										14
14	13	75/2	3.0	-1	6/8	3/4	0										15
15	14	81/2	1.5	-1	6/8	3/8	0					end	fine				1, 16, -1
16	14	42	1.5	-1	6/8	3/8	3/8		1			start					17
17	15	87/2	3.0	-1	6/8	3/4	0										18
18	16	93/2	3.0	-1	6/8	3/4	0				line						19
19	17	99/2	3.0	-1	6/8	3/4	0										20
20	18	105/2	3.0	-1	6/8	3/4	0										21
21	19	111/2	3.0	-1	6/8	3/4	0										22
22	20	117/2	3.0	-1	6/8	3/4	0										23
23	21	123/2	3.0	-1	6/8	3/4	0										24
24	22	129/2	3.0	-1	6/8	3/4	0										25
25	23	135/2	3.0	-1	6/8	3/4	0										26
26	24	141/2	3.0	-1	6/8	3/4	0										27
27	25	147/2	3.0	-1	6/8	3/4	0				line						28
28	26	153/2	3.0	-1	6/8	3/4	0										29
29	27	159/2	3.0	-1	6/8	3/4	0										30
30	28	165/2	1.5	-1	6/8	3/8	0					end					16, 31
31	28	84	1.5	-1	6/8	3/8	3/8		1			start					32
32	29	171/2	3.0	-1	6/8	3/4	0										33
33	30	177/2	3.0	-1	6/8	3/4	0										34
34	31	183/2	3.0	-1	6/8	3/4	0										35
35	32	189/2	3.0	-1	6/8	3/4	0										36
36	33	195/2	3.0	-1	6/8	3/4	0				line						37
37	34	201/2	3.0	-1	6/8	3/4	0										38
38	35	207/2	3.0	-1	6/8	3/4	0										39
39	36	213/2	3.0	-1	6/8	3/4	0										40
40	37	219/2	3.0	-1	6/8	3/4	0										41
41	38	225/2	3.0	-1	6/8	3/4	0										42
42	39	231/2	3.0	-1	6/8	3/4	0										43
43	40	237/2	3.0	-1	6/8	3/4	0										44
44	41	243/2	3.0	-1	6/8	3/4	0										45
45	42	249/2	3.0	-1	6/8	3/4	0										46
46	43	255/2	3.0	-1	6/8	3/4	0				line						47
47	44	261/2	3.0	-1	6/8	3/4	0										48
48	45	267/2	3.0	-1	6/8	3/4	0										49
49	46	273/2	3.0	-1	6/8	3/4	0										50
50	47	279/2	3.0	-1	6/8	3/4	0										51
51	48	285/2	3.0	-1	6/8	3/4	0										52
52	49	291/2	3.0	-1	6/8	3/4	0										53
53	50	297/2	3.0	-1	6/8	3/4	0										54
54	51	303/2	3.0	-1	6/8	3/4	0										55
55	52	309/2	3.0	-1	6/8	3/4	0										56
56	53	315/2	3.0	-1	6/8	3/4	0										57
57	54	321/2	1.5	-1	6/8	3/8	0					end					31
