mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	-2	6/4	1/8	11/8			1			firstMeasure					2
2	1	-2	6/4	3/2	0											3
3	2	-2	6/4	3/2	0											4
4	3	-2	6/4	3/2	0											5
5	4	-2	6/4	3/2	0											6
6	5	-2	6/4	3/2	0											7
7	6	-2	6/4	3/2	0											8
8	7	-2	6/4	11/8	0						end					1, 9
9	7	-2	6/4	1/8	11/8			1			start					10
10	8	-2	6/4	3/2	0											11
11	9	-2	6/4	3/2	0											12
12	10	-2	6/4	3/2	0											13
13	11	-2	6/4	3/2	0											14
14	12	-2	6/4	3/2	0											15
15	13	-2	6/4	3/2	0											16
16	14	-2	6/4	3/2	0							segno				17
17	15	-2	6/4	3/2	0											18, 19
18	16	-2	6/4	11/8	0	1					end	fine				9
19	16	-2	6/4	3/4	0	2		1			end		segno		fine	16
