mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	0	3.5	-1	12/8	7/8	5/8		1			firstMeasure					2
2	1	7/2	6.0	-1	12/8	3/2	0										3
3	2	19/2	6.0	-1	12/8	3/2	0				line						4
4	3	31/2	6.0	-1	12/8	3/2	0										5
5	4	43/2	6.0	-1	12/8	3/2	0										6
6	5	55/2	6.0	-1	12/8	3/2	0										7
7	6	67/2	6.0	-1	12/8	3/2	0				line						8
8	7	79/2	6.0	-1	12/8	3/2	0										9
9	8	91/2	2.5	-1	12/8	5/8	0					end					1, 10
10	8	48	3.5	-1	12/8	7/8	5/8		1			start					11
11	9	103/2	6.0	-1	12/8	3/2	0										12
12	10	115/2	6.0	-1	12/8	3/2	0				line						13
13	11	127/2	6.0	-1	12/8	3/2	0										14
14	12	139/2	6.0	-1	12/8	3/2	0										15
15	13	151/2	6.0	-1	12/8	3/2	0										16
16	14	163/2	6.0	-1	12/8	3/2	0				line						17
17	15	175/2	6.0	-1	12/8	3/2	0										18
18	16	187/2	6.0	-1	12/8	3/2	0										19
19	17	199/2	6.0	-1	12/8	3/2	0										20
20	18	211/2	2.5	-1	12/8	5/8	0					end	fine				10, -1
