mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	0	4.0	1	6/4	1	1/2		1			firstMeasure					2
2	1	4	6.0	1	6/4	3/2	0										3
3	2	10	6.0	1	6/4	3/2	0										4
4	3	16	6.0	1	6/4	3/2	0										5
5	4	22	6.0	1	6/4	3/2	0										6
6	5	28	6.0	1	6/4	3/2	0				line						7
7	6	34	6.0	1	6/4	3/2	0										8
8	7	40	6.0	1	6/4	3/2	0										9
9	8	46	2.0	1	6/4	1/2	0					end					1, 10
10	8	48	4.0	1	6/4	1	1/2		1			start					11
11	9	52	6.0	1	6/4	3/2	0										12
12	10	58	6.0	1	6/4	3/2	0										13
13	11	64	6.0	1	6/4	3/2	0				line						14
14	12	70	6.0	1	6/4	3/2	0										15
15	13	76	6.0	1	6/4	3/2	0										16
16	14	82	6.0	1	6/4	3/2	0										17
17	15	88	6.0	1	6/4	3/2	0										18
18	16	94	6.0	1	6/4	3/2	0										19
19	17	100	6.0	1	6/4	3/2	0										20
20	18	106	3.0	1	6/4	3/4	0					end	fine				10, -1
