mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	0	1.5	1	6/8	3/8	3/8		1			firstMeasure					2
2	1	3/2	3.0	1	6/8	3/4	0										3
3	2	9/2	3.0	1	6/8	3/4	0										4
4	3	15/2	3.0	1	6/8	3/4	0				line						5
5	4	21/2	1.5	1	6/8	3/8	0					end					1, 6
6	4	12	1.5	1	6/8	3/8	3/8		1			start					7
7	5	27/2	3.0	1	6/8	3/4	0										8
8	6	33/2	3.0	1	6/8	3/4	0										9
9	7	39/2	3.0	1	6/8	3/4	0				line						10
10	8	45/2	3.0	1	6/8	3/4	0										11
11	9	51/2	3.0	1	6/8	3/4	0										12
12	10	57/2	3.0	1	6/8	3/4	0										13
13	11	63/2	3.0	1	6/8	3/4	0										14
14	12	69/2	1.5	1	6/8	3/8	0			double	line						15
15	12	36	1.5	4	6/8	3/8	3/8		1								16
16	13	75/2	3.0	4	6/8	3/4	0										17
17	14	81/2	3.0	4	6/8	3/4	0										18
18	15	87/2	3.0	4	6/8	3/4	0				line						19
19	16	93/2	1.5	4	6/8	3/8	0										6, 20
20	16	48	1.5	4	6/8	3/8	3/8		1			start					21
21	17	99/2	3.0	4	6/8	3/4	0										22
22	18	105/2	3.0	4	6/8	3/4	0										23
23	19	111/2	3.0	4	6/8	3/4	0										24
24	20	117/2	3.0	4	6/8	3/4	0				line						25
25	21	123/2	3.0	4	6/8	3/4	0										26
26	22	129/2	3.0	4	6/8	3/4	0										27
27	23	135/2	1.5	4	6/8	3/8	0					end	fine				20, -1
