mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	3/8	1/4	1/8			1			firstMeasure	2
2	1	0	3/8	3/8	0							3
3	2	0	3/8	3/8	0							4
4	3	0	3/8	3/8	0							5
5	4	0	3/8	3/8	0							6
6	5	0	3/8	3/8	0							7
7	6	0	3/8	3/8	0					line		8
8	7	0	3/8	3/8	0							9
9	8	0	3/8	1/8	0						end	1, 10
10	8	0	3/8	1/4	1/8			1				11
11	8	0	3/8	3/8	0			1				12
12	9	0	3/8	3/8	0							13
13	10	0	3/8	3/8	0							14
14	11	0	3/8	3/8	0							15
15	12	0	3/8	3/8	0							16
16	13	0	3/8	3/8	0							17
17	14	0	3/8	3/8	0							18
18	15	0	3/8	3/8	0							19
19	16	0	3/8	3/8	0							20
20	17	0	3/8	3/8	0							21
21	18	0	3/8	3/8	0							22
22	19	0	3/8	3/8	0							23
23	20	0	3/8	3/8	0							24
24	21	0	3/8	3/8	0							25
25	22	0	3/8	3/8	0							26
26	23	0	3/8	3/8	0							27
27	24	0	3/8	3/8	0							28
28	25	0	3/8	3/8	0							29
29	26	0	3/8	3/8	0							30
30	27	0	3/8	3/8	0							31
31	28	0	3/8	3/8	0							32
32	29	0	3/8	3/8	0							33
33	30	0	3/8	3/8	0							34
34	31	0	3/8	3/8	0							35
35	32	0	3/8	3/8	0							36
36	33	0	3/8	3/8	0							37
37	34	0	3/8	3/8	0							38
38	35	0	3/8	3/8	0							39
39	36	0	3/8	3/8	0							40
40	37	0	3/8	3/8	0							41
41	38	0	3/8	3/8	0							42
42	39	0	3/8	3/8	0							43
43	40	0	3/8	3/8	0							44
44	41	0	3/8	3/8	0							45
45	42	0	3/8	3/8	0							46
46	43	0	3/8	3/8	0							47
47	44	0	3/8	3/8	0							48
48	45	0	3/8	3/8	0							49
49	46	0	3/8	3/8	0							50
50	47	0	3/8	3/8	0							51
51	48	0	3/8	3/8	0							52
52	49	0	3/8	3/8	0							53
53	50	0	3/8	3/8	0							54
54	51	0	3/8	3/8	0					line		55
55	52	0	3/8	3/8	0							56
56	53	0	3/8	3/8	0							57
57	54	0	3/8	3/8	0							58
58	55	0	3/8	3/8	0							59
59	56	0	3/8	3/8	0							60
60	57	0	3/8	3/8	0							61
61	58	0	3/8	3/8	0							62
62	59	0	3/8	3/8	0							63
63	60	0	3/8	3/8	0							64
64	61	0	3/8	3/8	0							65
65	62	0	3/8	3/8	0							66
66	63	0	3/8	3/8	0							67
67	64	0	3/8	3/8	0							68
68	65	0	3/8	3/8	0							69
69	66	0	3/8	3/8	0							70
70	67	0	3/8	1/8	0				double			71
71	67	3	3/8	1/4	1/8			1				72
72	67	3	3/8	3/8	0			1				73
73	67	3	3/8	3/8	0			1				74
74	67	3	3/8	3/8	0			1				75
75	67	3	3/8	3/8	0			1				76
76	67	3	3/8	3/8	0			1				77
77	67	3	3/8	3/8	0			1				78
78	67	3	3/8	3/8	0			1				79
79	67	3	3/8	3/8	0			1				80
80	67	3	3/8	3/8	0			1				81
81	67	3	3/8	3/8	0			1				82
82	67	3	3/8	3/8	0			1				83
83	67	3	3/8	3/8	0			1				84
84	67	3	3/8	3/8	0			1				85
85	67	3	3/8	3/8	0			1				86
86	67	3	3/8	3/8	0			1				87
87	67	3	3/8	3/8	0			1				88
88	67	3	3/8	3/8	0			1				89
89	67	3	3/8	3/8	0			1				90
90	67	3	3/8	3/8	0			1				91
91	67	3	3/8	3/8	0			1				92
92	67	3	3/8	3/8	0			1				93
93	67	3	3/8	3/8	0			1				94
94	67	3	3/8	3/8	0			1				95
95	67	3	3/8	3/8	0			1				96
96	67	3	3/8	3/8	0			1				97
97	67	3	3/8	3/8	0			1				98
98	67	3	3/8	3/8	0			1				99
99	67	3	3/8	3/8	0			1				100
100	67	3	3/8	3/8	0			1				101
101	67	3	3/8	3/8	0			1				102
102	67	3	3/8	3/8	0			1				103
103	67	3	3/8	3/8	0			1				104
104	67	3	3/8	3/8	0			1				105
105	67	3	3/8	3/8	0			1		line		106
106	67	3	3/8	3/8	0			1				107
107	67	3	3/8	3/8	0			1				108
108	67	3	3/8	3/8	0			1				109
109	67	3	3/8	3/8	0			1				110
110	67	3	3/8	3/8	0			1				111
111	67	3	3/8	1/8	0			1	double			112
112	67	0	3/8	1/4	1/8			1				113
113	68	0	3/8	3/8	0							114
114	69	0	3/8	3/8	0							115
115	70	0	3/8	3/8	0							116
116	71	0	3/8	3/8	0							117
117	72	0	3/8	3/8	0							118
118	73	0	3/8	3/8	0					line		119
119	74	0	3/8	3/8	0							120
120	75	0	3/8	3/8	0							121
121	76	0	3/8	3/8	0							122
122	77	0	3/8	3/8	0							123
123	78	0	3/8	3/8	0							124
124	79	0	3/8	3/8	0							125
125	80	0	3/8	3/8	0					line		126
126	81	0	3/8	3/8	0							127
127	82	0	3/8	3/8	0							128
128	83	0	3/8	3/8	0							129
129	84	0	3/8	3/8	0							130
130	85	0	3/8	3/8	0							131
131	86	0	3/8	3/8	0							132
132	87	0	3/8	3/8	0				end		lastMeasure	-1
