mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	1	0	0	4.0	3	4/4	1	0						firstMeasure					2
2	2	4	4	4.0	3	4/4	1	0							segno				3
3	3	8	8	4.0	3	4/4	1	0											4
4	4	12	12	4.0	3	4/4	1	0											5
5	5	16	16	4.0	3	4/4	1	0											6
6	6	20	20	4.0	3	4/4	1	0											7
7	7	24	24	4.0	3	4/4	1	0											8, 9
8	8		28	4.0	3	4/4	1	0	1					end	segno				1
9	9	28	32	4.0	3	4/4	1	0	2					start					10
10	10	32	36	4.0	3	4/4	1	0							segno				11
11	11	36	40	4.0	3	4/4	1	0											12
12	12	40	44	4.0	3	4/4	1	0											13
13	13	44	48	4.0	3	4/4	1	0											14
14	14	48	52	4.0	3	4/4	1	0											15
15	15	52	56	4.0	3	4/4	1	0											16
16	16	56	60	4.0	3	4/4	1	0											17
17	17	60	64	4.0	3	4/4	1	0											18
18	18	64	68	4.0	3	4/4	1	0											19
19	19	68	72	4.0	3	4/4	1	0											20
20	20	72	76	4.0	3	4/4	1	0											21, 22
21	21		80	4.0	3	4/4	1	0	1					end	segno				9
22	21	76	84	1.0	3	4/4	1/4	0	2		1								23
23	21	77	85	3.5	0	4/4	7/8	1/8			1			start					24
24	22	161/2	177/2	4.0	0	4/4	1	0											25
25	23	169/2	185/2	4.0	0	4/4	1	0											26
26	24	177/2	193/2	4.0	0	4/4	1	0											27
27	25	185/2	201/2	0.5	0	4/4	1/8	0						end					23, 28
28	25	93	101	3.5	0	4/4	7/8	1/8			1			start					29
29	26	193/2	209/2	4.0	0	4/4	1	0											30
30	27	201/2	217/2	4.0	0	4/4	1	0											31
31	28	209/2	225/2	4.0	0	4/4	1	0											32
32	29	217/2	233/2	4.0	0	4/4	1	0											33
33	30	225/2	241/2	4.0	0	4/4	1	0											34
34	31	233/2	249/2	4.0	0	4/4	1	0											35
35	32	241/2	257/2	4.0	0	4/4	1	0											36
36	33	249/2	265/2	4.0	0	4/4	1	0					line						37
37	34	257/2	273/2	4.0	0	4/4	1	0											38
38	35	265/2	281/2	4.0	0	4/4	1	0											39
39	36	273/2	289/2	4.0	0	4/4	1	0											40, 41
40	37		297/2	0.5	0	4/4	1/8	0	1					end					28
41	37	281/2	149	4.0	0	4/4	1	0	2		1	end		lastMeasure					-1
