mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0	0.5	0	3/2	1/8	11/8			1			firstMeasure	2
2	1	1/2	1/2	6.0	0	3/2	3/2	0						start	3
3	2	13/2	13/2	6.0	0	3/2	3/2	0							4
4	3	25/2	25/2	6.0	0	3/2	3/2	0							5
5	4	37/2	37/2	6.0	0	3/2	3/2	0							6
6	5	49/2	49/2	6.0	0	3/2	3/2	0							7
7	6	61/2	61/2	6.0	0	3/2	3/2	0							8
8	7	73/2	73/2	6.0	0	3/2	3/2	0							9
9	8	85/2	85/2	6.0	0	3/2	3/2	0							10
10	9	97/2	97/2	6.0	0	3/2	3/2	0							11, 12
11	10		109/2	6.0	0	3/2	3/2	0	1					end	2
12	10	109/2	121/2	6.0	0	3/2	3/2	0	2		1				13
13	11	121/2	133/2	6.0	0	3/2	3/2	0						start	14
14	12	133/2	145/2	6.0	0	3/2	3/2	0							15
15	13	145/2	157/2	6.0	0	3/2	3/2	0							16
16	14	157/2	169/2	6.0	0	3/2	3/2	0							17
17	15	169/2	181/2	6.0	0	3/2	3/2	0							18
18	16	181/2	193/2	6.0	0	3/2	3/2	0					line		19
19	17	193/2	205/2	6.0	0	3/2	3/2	0							20
20	18	205/2	217/2	6.0	0	3/2	3/2	0							21
21	19	217/2	229/2	6.0	0	3/2	3/2	0					line		22
22	20	229/2	241/2	6.0	0	3/2	3/2	0							23
23	21	241/2	253/2	6.0	0	3/2	3/2	0							24
24	22	253/2	265/2	6.0	0	3/2	3/2	0					line		25, 26
25	23		277/2	6.0	0	3/2	3/2	0	1					end	13
26	23	265/2	289/2	6.0	0	3/2	3/2	0	2		1				27
27	24	277/2	301/2	6.0	0	3/2	3/2	0							28
28	25	289/2	313/2	6.0	0	3/2	3/2	0				end		lastMeasure	-1
