mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	0	1.0	3	2/4	1/4	1/4		1			firstMeasure					2
2	1	1	2.0	3	2/4	1/2	0										3
3	2	3	2.0	3	2/4	1/2	0										4
4	3	5	2.0	3	2/4	1/2	0										5
5	4	7	2.0	3	2/4	1/2	0										6
6	5	9	2.0	3	2/4	1/2	0										7
7	6	11	2.0	3	2/4	1/2	0				line						8
8	7	13	2.0	3	2/4	1/2	0										9
9	8	15	2.0	3	2/4	1/2	0										10
10	9	17	2.0	3	2/4	1/2	0										11
11	10	19	2.0	3	2/4	1/2	0										12
12	11	21	2.0	3	2/4	1/2	0										13
13	12	23	2.0	3	2/4	1/2	0										14
14	13	25	2.0	3	2/4	1/2	0				line						15
15	14	27	2.0	3	2/4	1/2	0										16
16	15	29	2.0	3	2/4	1/2	0										17
17	16	31	1.0	3	2/4	1/4	0										18
18	16	32	1.0	3	2/4	1/4	1/4		1			start					19
19	17	33	2.0	3	2/4	1/2	0										20
20	18	35	2.0	3	2/4	1/2	0										21
21	19	37	2.0	3	2/4	1/2	0				line						22
22	20	39	2.0	3	2/4	1/2	0										23
23	21	41	2.0	3	2/4	1/2	0										24
24	22	43	2.0	3	2/4	1/2	0										25
25	23	45	2.0	3	2/4	1/2	0										26
26	24	47	2.0	3	2/4	1/2	0										27
27	25	49	2.0	3	2/4	1/2	0										28
28	26	51	2.0	3	2/4	1/2	0				line						29
29	27	53	2.0	3	2/4	1/2	0										30
30	28	55	2.0	3	2/4	1/2	0										31
31	29	57	2.0	3	2/4	1/2	0										32
32	30	59	2.0	3	2/4	1/2	0										33
33	31	61	2.0	3	2/4	1/2	0										34
34	32	63	2.0	3	2/4	1/2	0				line						35
35	33	65	2.0	3	2/4	1/2	0										36
36	34	67	2.0	3	2/4	1/2	0										37
37	35	69	2.0	3	2/4	1/2	0										38
38	36	71	2.0	3	2/4	1/2	0										39
39	37	73	2.0	3	2/4	1/2	0										40
40	38	75	2.0	3	2/4	1/2	0										41
41	39	77	2.0	3	2/4	1/2	0				page						42
42	40	79	2.0	3	2/4	1/2	0										43
43	41	81	2.0	3	2/4	1/2	0										44
44	42	83	2.0	3	2/4	1/2	0										45
45	43	85	2.0	3	2/4	1/2	0										46
46	44	87	2.0	3	2/4	1/2	0										47
47	45	89	2.0	3	2/4	1/2	0				line						48
48	46	91	2.0	3	2/4	1/2	0										49
49	47	93	2.0	3	2/4	1/2	0										50
50	48	95	2.0	3	2/4	1/2	0										51
51	49	97	2.0	3	2/4	1/2	0										52
52	50	99	2.0	3	2/4	1/2	0				line						53
53	51	101	2.0	3	2/4	1/2	0										54
54	52	103	2.0	3	2/4	1/2	0										55
55	53	105	2.0	3	2/4	1/2	0										56
56	54	107	2.0	3	2/4	1/2	0										57
57	55	109	2.0	3	2/4	1/2	0										58
58	56	111	2.0	3	2/4	1/2	0				line						59
59	57	113	2.0	3	2/4	1/2	0										60
60	58	115	2.0	3	2/4	1/2	0					end	fine				18, -1
