mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	0	2.0	-1	4/4	1/2	1/2		1			firstMeasure					2
2	1	2	4.0	-1	4/4	1	0										3
3	2	6	4.0	-1	4/4	1	0										4
4	3	10	4.0	-1	4/4	1	0										5
5	4	14	4.0	-1	4/4	1	0										6
6	5	18	4.0	-1	4/4	1	0										7
7	6	22	4.0	-1	4/4	1	0				line						8
8	7	26	4.0	-1	4/4	1	0										9
9	8	30	2.0	-1	4/4	1/2	0					end					1, 10
10	8	32	2.0	-1	4/4	1/2	1/2		1			start					11
11	9	34	4.0	-1	4/4	1	0										12
12	10	38	4.0	-1	4/4	1	0										13
13	11	42	4.0	-1	4/4	1	0										14
14	12	46	4.0	-1	4/4	1	0				line						15
15	13	50	4.0	-1	4/4	1	0										16
16	14	54	4.0	-1	4/4	1	0										17
17	15	58	4.0	-1	4/4	1	0										18
18	16	62	4.0	-1	4/4	1	0										19
19	17	66	4.0	-1	4/4	1	0										20
20	18	70	4.0	-1	4/4	1	0				line						21
21	19	74	4.0	-1	4/4	1	0										22
22	20	78	4.0	-1	4/4	1	0										23
23	21	82	4.0	-1	4/4	1	0										24
24	22	86	4.0	-1	4/4	1	0										25
25	23	90	4.0	-1	4/4	1	0										26
26	24	94	4.0	-1	4/4	1	0				line						27
27	25	98	4.0	-1	4/4	1	0										28
28	26	102	4.0	-1	4/4	1	0										29
29	27	106	4.0	-1	4/4	1	0										30
30	28	110	2.0	-1	4/4	1/2	0					end	fine				10, -1
