mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	0	3.0	3	4/4	3/4	1/4		1			firstMeasure					2
2	1	3	4.0	3	4/4	1	0										3
3	2	7	4.0	3	4/4	1	0				line						4
4	3	11	4.0	3	4/4	1	0										5
5	4	15	4.0	3	4/4	1	0										6
6	5	19	4.0	3	4/4	1	0				line						7
7	6	23	4.0	3	4/4	1	0										8
8	7	27	1.0	3	4/4	1/4	0					end					1, 9
9	7	28	3.0	3	4/4	3/4	1/4		1			start					10
10	8	31	4.0	3	4/4	1	0										11
11	8	35	4.0	3	4/4	1	0		1								12
12	9	39	4.0	3	4/4	1	0										13
13	10	43	4.0	3	4/4	1	0										14
14	11	47	4.0	3	4/4	1	0										15
15	12	51	4.0	3	4/4	1	0										16
16	13	55	4.0	3	4/4	1	0										17
17	14	59	4.0	3	4/4	1	0										18
18	15	63	4.0	3	4/4	1	0						segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno & segno				19
19	16	67	4.0	3	4/4	1	0										20
20	17	71	1.0	3	4/4	1/4	0					end					9, -1
