mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	3	6/8	1/8	5/8			1			firstMeasure					2
2	1	3	6/8	3/4	0											3
3	2	3	6/8	3/4	0											4
4	3	3	6/8	3/4	0											5
5	4	3	6/8	3/4	0											6
6	5	3	6/8	3/4	0											7
7	6	3	6/8	3/4	0											8
8	7	3	6/8	3/4	0											9
9	8	3	6/8	3/4	0					line						10
10	9	3	6/8	3/4	0											11
11	10	3	6/8	3/4	0											12
12	11	3	6/8	3/4	0											13
13	12	3	6/8	3/4	0											14
14	13	3	6/8	3/4	0											15
15	14	3	6/8	3/4	0											16
16	15	3	6/8	3/4	0											17
17	16	3	6/8	5/8	0						end					1, 18
18	16	3	6/8	1/8	5/8			1			start					19
19	17	3	6/8	3/4	0											20
20	18	3	6/8	3/4	0											21
21	19	3	6/8	3/4	0											22
22	20	3	6/8	3/4	0											23
23	21	3	6/8	3/4	0											24
24	22	3	6/8	3/4	0											25
25	23	3	6/8	3/4	0											26
26	24	3	6/8	3/4	0											27
27	25	3	6/8	3/4	0											28
28	26	3	6/8	3/4	0											29
29	27	3	6/8	3/4	0											30
30	28	3	6/8	3/4	0											31
31	29	3	6/8	3/4	0											32
32	30	3	6/8	3/4	0											33
33	31	3	6/8	3/4	0											34
34	32	3	6/8	3/4	0											35
35	33	3	6/8	3/4	0											36
36	34	3	6/8	3/4	0											37
37	35	3	6/8	3/4	0											38
38	36	3	6/8	3/4	0											39
39	37	3	6/8	3/4	0											40
40	38	3	6/8	3/4	0											41
41	39	3	6/8	3/4	0											42
42	40	3	6/8	3/4	0											43
43	41	3	6/8	3/4	0											44
44	42	3	6/8	5/8	0						end	fine				18
