mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	-3	4/4	1/2	1/2			1			firstMeasure					2
2	1	-3	4/4	1	0											3
3	2	-3	4/4	1	0											4
4	3	-3	4/4	1	0											5
5	4	-3	4/4	1	0											6
6	5	-3	4/4	1	0					line						7
7	6	-3	4/4	1	0											8
8	7	-3	4/4	1	0											9
9	8	-3	4/4	1	0											10
10	9	-3	4/4	1	0											11
11	10	-3	4/4	1/2	0						end					1, 12
12	10	-3	4/4	1/2	1/2			1			start					13
13	11	-3	4/4	1	0											14
14	12	-3	4/4	1	0					line						15
15	13	-3	4/4	1	0											16
16	14	-3	4/4	1	0											17
17	15	-3	4/4	1	0											18
18	16	-3	4/4	1	0											19
19	17	-3	4/4	1	0											20
20	18	-3	4/4	1	0											21
21	19	-3	4/4	1	0					line						22
22	20	-3	4/4	1	0											23
23	21	-3	4/4	1	0											24
24	22	-3	4/4	1	0											25
25	23	-3	4/4	1	0											26
26	24	-3	4/4	1	0											27
27	25	-3	4/4	1	0											28
28	26	-3	4/4	1	0					line						29
29	27	-3	4/4	1	0											30
30	28	-3	4/4	1	0											31
31	29	-3	4/4	1	0											32
32	30	-3	4/4	1	0											33
33	31	-3	4/4	1	0											34
34	32	-3	4/4	1/2	0						end	fine				12
