mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	0	0.5	0	4/4	1/8	0						firstMeasure	2
2	1	1/2	1/2	3.5	0	4/4	7/8	1/8			1			start	3
3	2	4	4	4.0	0	4/4	1	0							4
4	3	8	8	4.0	0	4/4	1	0					line		5
5	4	12	12	4.0	0	4/4	1	0							6
6	5	16	16	4.0	0	4/4	1	0							7
7	6	20	20	4.0	0	4/4	1	0							8
8	7	24	24	4.0	0	4/4	1	0					line		9
9	8	28	28	4.0	0	4/4	1	0							10
10	9	32	32	0.5	0	4/4	1/8	0						end	2, 11
11	9	65/2	65/2	3.5	0	4/4	7/8	1/8			1			start	12
12	10	36	36	4.0	0	4/4	1	0							13
13	11	40	40	4.0	0	4/4	1	0					line		14
14	12	44	44	4.0	0	4/4	1	0							15
15	13	48	48	4.0	0	4/4	1	0							16
16	14	52	52	4.0	0	4/4	1	0							17
17	15	56	56	4.0	0	4/4	1	0					line		18
18	16	60	60	4.0	0	4/4	1	0							19
19	17	64	64	4.0	0	4/4	1	0							20
20	18	68	68	4.0	0	4/4	1	0					line		21
21	19	72	72	4.0	0	4/4	1	0							22
22	20	76	76	4.0	0	4/4	1	0							23
23	21	80	80	4.0	0	4/4	1	0							24
24	22	84	84	4.0	0	4/4	1	0					line		25
25	23	88	88	4.0	0	4/4	1	0							26, 27
26	23		92	0.5	0	4/4	1/8	0	1		1			end	11
27	23	92	185/2	4.0	0	4/4	1	0	2		1			lastMeasure	-1
