mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	1/8	1/8	4/4	1	1	1/8		1/8	1		2	50	0
1	1	1/4	1/4	4/4	1	1	1/8		1/8	1		1	55	1
1	1	3/8	3/8	4/4	1	1	1/8		1/8	1		2	50	2
1	1	3/8	3/8	4/4	2	1	1/8		1/8	1		4	52	9
1	1	1/2	1/2	4/4	2	1	1/8		1/8	1		1	55	10
1	1	1/2	1/2	4/4	1	1	1/8		1/8	1		5	59	3
1	1	5/8	5/8	4/4	2	1	1/8		1/8	1		2	50	11
1	1	5/8	5/8	4/4	1	1	1/8		1/8	1		1	55	4
1	1	3/4	3/4	4/4	2	1	1/8		1/8	1		5	59	12
1	1	3/4	3/4	4/4	1	1	1/16		1/16	1		2	62	5
1	1	13/16	13/16	4/4	1	1	1/16		1/16	1		4	64	6
1	1	7/8	7/8	4/4	2	1	1/8		1/8	1		1	55	13
1	1	7/8	7/8	4/4	1	1	1/16		1/16	1		2	62	7
1	1	15/16	15/16	4/4	1	1	1/16		1/16	1		0	60	8
2	2	0	0	4/4	1	1	1/8		1/8	1		5	59	14
2	2	0	0	4/4	2	1	1/16		1/16	1		2	62	25
2	2	1/16	1/16	4/4	2	1	1/16		1/16	1		4	64	26
2	2	1/8	1/8	4/4	1	1	1/8		1/8	1		1	55	15
2	2	1/8	1/8	4/4	2	1	1/16		1/16	1		2	62	27
2	2	3/16	3/16	4/4	2	1	1/16		1/16	1		0	60	28
2	2	1/4	1/4	4/4	2	1	1/16		1/16	1		5	59	29
2	2	1/4	1/4	4/4	1	1	1/16		1/16	1		2	62	16
2	2	5/16	5/16	4/4	2	1	1/16		1/16	1		0	60	30
2	2	5/16	5/16	4/4	1	1	1/16		1/16	1		4	64	17
2	2	3/8	3/8	4/4	2	1	1/16		1/16	1		5	59	31
2	2	3/8	3/8	4/4	1	1	1/16		1/16	1		2	62	18
2	2	7/16	7/16	4/4	2	1	1/16		1/16	1		3	57	32
2	2	7/16	7/16	4/4	1	1	1/16		1/16	1		0	60	19
2	2	1/2	1/2	4/4	2	1	1/16		1/16	1		1	55	33
2	2	1/2	1/2	4/4	1	1	1/8		1/8	1		5	59	20
2	2	9/16	9/16	4/4	2	1	1/16		1/16	1		3	57	34
2	2	5/8	5/8	4/4	2	1	1/16		1/16	1		1	55	35
2	2	5/8	5/8	4/4	1	1	1/8		1/8	1		2	62	21
2	2	11/16	11/16	4/4	2	1	1/16		1/16	1		6	54	36
2	2	3/4	3/4	4/4	2	1	1/8		1/8	1		4	52	37
2	2	3/4	3/4	4/4	1	1	1/8		1/8	1		1	55	22
2	2	7/8	7/8	4/4	2	1	1/8		1/8	1		3	45	38
2	2	7/8	7/8	4/4	1	1	1/16		1/16	1		6	54	23
2	2	15/16	15/16	4/4	1	1	1/16		1/16	1		1	55	24
3	3	0	0	4/4	2	1	1/4		1/4	1		2	50	49
3	3	0	0	4/4	1	1	1/8		1/8	1		6	54	39
3	3	1/8	1/8	4/4	1	1	1/8		1/8	1		3	57	40
3	3	1/4	1/4	4/4	1	1	1/16		1/16	1		2	62	41
3	3	5/16	5/16	4/4	1	1	1/16		1/16	1		4	64	42
3	3	3/8	3/8	4/4	2	1	1/8		1/8	1		2	50	50
3	3	3/8	3/8	4/4	1	1	1/16		1/16	1		0	60	43
3	3	7/16	7/16	4/4	1	1	1/16		1/16	1		2	62	44
3	3	1/2	1/2	4/4	2	1	1/16		1/16	1		1	55	51
3	3	1/2	1/2	4/4	1	1	1/8		1/8	1		5	59	45
3	3	9/16	9/16	4/4	2	1	1/16		1/16	1		3	57	52
3	3	5/8	5/8	4/4	2	1	1/16		1/16	1		6	54	53
3	3	5/8	5/8	4/4	1	1	1/8		1/8	1		5	59	46
3	3	11/16	11/16	4/4	2	1	1/16		1/16	1		1	55	54
3	3	3/4	3/4	4/4	2	1	1/8		1/8	1		4	52	55
3	3	3/4	3/4	4/4	1	1	3/16		1/8	3/2		4	64	47
3	3	7/8	7/8	4/4	2	1	1/8		1/8	1		4	52	56
3	3	15/16	15/16	4/4	1	1	1/16		1/16	1		6	66	48
4	4	0	0	4/4	2	1	1/16		1/16	1		3	57	69
4	4	0	0	4/4	1	1	1/8		1/8	1		7	61	57
4	4	1/16	1/16	4/4	2	1	1/16		1/16	1		5	59	70
4	4	1/8	1/8	4/4	2	1	1/16		1/16	1		1	55	71
4	4	1/8	1/8	4/4	1	1	1/8		1/8	1		3	57	58
4	4	3/16	3/16	4/4	2	1	1/16		1/16	1		3	57	72
4	4	1/4	1/4	4/4	2	1	1/16		1/16	1		6	54	73
4	4	1/4	1/4	4/4	1	1	1/8		1/8	1		2	62	59
4	4	5/16	5/16	4/4	2	1	1/16		1/16	1		1	55	74
4	4	3/8	3/8	4/4	2	1	1/16		1/16	1		6	54	75
4	4	3/8	3/8	4/4	1	1	1/8		1/8	1		3	57	60
4	4	7/16	7/16	4/4	2	1	1/16		1/16	1		4	52	76
4	4	1/2	1/2	4/4	2	1	1/8		1/8	1		2	50	77
4	4	1/2	1/2	4/4	1	1	1/16		1/16	1		6	54	61
4	4	9/16	9/16	4/4	1	1	1/16		1/16	1		1	55	62
4	4	5/8	5/8	4/4	1	1	1/16		1/16	1		6	54	63
4	4	5/8	5/8	4/4	2	1	1/8		1/8	1		3	57	78
4	4	11/16	11/16	4/4	1	1	1/16		1/16	1		4	52	64
4	4	3/4	3/4	4/4	1	1	1/16		1/16	1		2	50	65
4	4	3/4	3/4	4/4	2	1	1/8		1/8	1		2	62	79
4	4	13/16	13/16	4/4	1	1	1/16		1/16	1		4	52	66
4	4	7/8	7/8	4/4	1	1	1/16		1/16	1		6	54	67
4	4	7/8	7/8	4/4	2	1	1/8		1/8	1		3	57	80
4	4	15/16	15/16	4/4	1	1	1/16		1/16	1		1	55	68
5	5	0	0	4/4	2	1	1/16		1/16	1		6	54	93
5	5	0	0	4/4	1	1	1/8		1/8	1		3	57	81
5	5	1/16	1/16	4/4	2	1	1/16		1/16	1		1	55	94
