mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	1.0		0	3/8	6/8	1	1	1/4		1/4	1		1	79	G5	5	0
1	0	1	0.5		1/4	5/8	6/8	1	1	1/8		1/8	1		-1	77	F5	5	1
2	1	3/2	0.5		0	0	6/8	1	1	1/8		1/8	1		-3	75	Eb5	5	2
2	1	2	0.5		1/8	1/8	6/8	1	1	1/8		1/8	1		2	74	D5	5	3
2	1	5/2	0.5		1/4	1/4	6/8	1	1	1/8		1/8	1		0	72	C5	5	4
2	1	3	1.0		3/8	3/8	6/8	1	1	1/4		1/4	1		1	79	G5	5	5
2	1	4	0.5		5/8	5/8	6/8	1	1	1/8		1/8	1		1	67	G4	4	6
3	2	9/2	1.0		0	0	6/8	1	1	1/4		1/4	1		0	72	C5	5	7
3	2	11/2	0.5		1/4	1/4	6/8	1	1	1/8		1/8	1		0	60	C4	4	8
3	2	6	1.0		3/8	3/8	6/8	2	1	1/4		1/4	1		1	55	G3	3	12
3	2	6	0.5		3/8	3/8	6/8	1	1	1/8		1/8	1		1	67	G4	4	9
3	2	13/2	0.5		1/2	1/2	6/8	1	1	1/8		1/8	1		3	69	A4	4	10
3	2	7	0.5		5/8	5/8	6/8	2	1	1/8		1/8	1		-1	53	F3	3	13
3	2	7	0.5		5/8	5/8	6/8	1	1	1/8		1/8	1		5	71	B4	4	11
4	3	15/2	0.5		0	0	6/8	2	1	1/8		1/8	1		-3	51	Eb3	3	20
4	3	15/2	0.5		0	0	6/8	1	1	1/8		1/8	1		0	72	C5	5	14
4	3	8	0.5		1/8	1/8	6/8	2	1	1/8		1/8	1		2	50	D3	3	21
4	3	8	0.5		1/8	1/8	6/8	1	1	1/8		1/8	1		5	71	B4	4	15
4	3	17/2	0.5		1/4	1/4	6/8	2	1	1/8		1/8	1		0	48	C3	3	22
4	3	17/2	0.5		1/4	1/4	6/8	1	1	1/8		1/8	1		0	72	C5	5	16
4	3	9	1.0		3/8	3/8	6/8	2	1	1/4		1/4	1		1	55	G3	3	23
4	3	9	0.75		3/8	3/8	6/8	1	1	3/16		1/8	3/2		2	74	D5	5	17
4	3	39/4	0.25		9/16	9/16	6/8	1	1	1/16		1/16	1		0	72	C5	5	18
4	3	10	0.5		5/8	5/8	6/8	2	1	1/8		1/8	1		1	43	G2	2	24
4	3	10	0.5		5/8	5/8	6/8	1	1	1/8		1/8	1		2	74	D5	5	19
5	4	21/2	0.0		0	0	6/8	1	1	0	appoggiatura	1/8	1		2	74	D5	5	25
5	4	21/2	1.0		0	0	6/8	2	1	1/4		1/4	1		0	48	C3	3	31
5	4	21/2	1.0		0	0	6/8	1	1	1/4		1/4	1		-3	75	Eb5	5	26
5	4	23/2	0.0		1/4	1/4	6/8	1	1	0	appoggiatura	1/8	1		2	74	D5	5	27
5	4	23/2	0.5		1/4	1/4	6/8	2	1	1/8		1/8	1		0	36	C2	2	32
5	4	23/2	0.5		1/4	1/4	6/8	1	1	1/8		1/8	1		0	72	C5	5	28
5	4	12	1.0		3/8	3/8	6/8	2	1	1/4		1/4	1		0	60	C4	4	33
5	4	51/4	0.25		9/16	9/16	6/8	1	1	1/16		1/16	1		-3	75	Eb5	5	29
5	4	13	0.5		5/8	5/8	6/8	2	1	1/8		1/8	1		2	62	D4	4	34
5	4	13	0.5		5/8	5/8	6/8	1	1	1/8		1/8	1		-1	77	F5	5	30
6	5	27/2	0.0		0	0	6/8	1	1	0	appoggiatura	1/8	1		-1	77	F5	5	35
6	5	27/2	1.0		0	0	6/8	2	1	1/4		1/4	1		-3	63	Eb4	4	42
6	5	27/2	0.75		0	0	6/8	1	1	3/16		1/8	3/2		1	79	G5	5	36
6	5	57/4	0.25		3/16	3/16	6/8	1	1	1/16		1/16	1		-4	80	Ab5	5	37
