mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	3.0		0	0	3/4	2	1	3/4	1/2	3/2		1	43	G2	2	6
1	1	0	0.5		0	0	3/4	1	1	1/8	1/8	1		1	67	G4	4	0
1	1	1/2	0.5		1/8	1/8	3/4	1	1	1/8	1/8	1		6	66	F#4	4	1
1	1	1	0.5		1/4	1/4	3/4	1	1	1/8	1/8	1		1	67	G4	4	2
1	1	3/2	0.5		3/8	3/8	3/4	1	1	1/8	1/8	1		3	69	A4	4	3
1	1	2	0.5		1/2	1/2	3/4	1	1	1/8	1/8	1		5	71	B4	4	4
1	1	5/2	0.5		5/8	5/8	3/4	1	1	1/8	1/8	1		1	67	G4	4	5
2	2	3	0.5		0	0	3/4	2	1	1/8	1/8	1		1	55	G3	3	9
2	2	3	2.0		0	0	3/4	1	1	1/2	1/2	1		2	74	D5	5	7
2	2	7/2	0.5		1/8	1/8	3/4	2	1	1/8	1/8	1		6	54	F#3	3	10
2	2	4	0.5		1/4	1/4	3/4	2	1	1/8	1/8	1		1	55	G3	3	11
2	2	9/2	0.5		3/8	3/8	3/4	2	1	1/8	1/8	1		3	57	A3	3	12
2	2	5	0.5		1/2	1/2	3/4	2	1	1/8	1/8	1		5	59	B3	3	13
2	2	5	1.0		1/2	1/2	3/4	1	1	1/4	1/4	1		1	79	G5	5	8
2	2	11/2	0.5		5/8	5/8	3/4	2	1	1/8	1/8	1		1	55	G3	3	14
3	3	6	0.5		0	0	3/4	2	1	1/8	1/8	1		2	62	D4	4	19
3	3	6	1.5		0	0	3/4	1	1	3/8	1/4	3/2		6	78	F#5	5	15
3	3	13/2	0.5		1/8	1/8	3/4	2	1	1/8	1/8	1		4	64	E4	4	20
3	3	7	0.5		1/4	1/4	3/4	2	1	1/8	1/8	1		2	62	D4	4	21
3	3	15/2	0.5		3/8	3/8	3/4	2	1	1/8	1/8	1		0	60	C4	4	22
3	3	15/2	0.25		3/8	3/8	3/4	1	1	1/16	1/16	1		4	76	E5	5	16
3	3	31/4	0.25		7/16	7/16	3/4	1	1	1/16	1/16	1		6	78	F#5	5	17
3	3	8	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		5	59	B3	3	23
3	3	8	1.0		1/2	1/2	3/4	1	1	1/4	1/4	1		1	79	G5	5	18
4	4	9	1.0		0	0	3/4	2	1	1/4	1/4	1		0	60	C4	4	29
4	4	9	1.0		0	0	3/4	1	1	1/4	1/4	1		4	76	E5	5	24
4	4	10	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		5	59	B3	3	30
4	4	10	0.5		1/4	1/4	3/4	1	1	1/8	1/8	1		-1	77	F5	5	25
4	4	21/2	0.5		3/8	3/8	3/4	1	1	1/8	1/8	1		4	76	E5	5	26
4	4	11	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	31
4	4	11	0.5		1/2	1/2	3/4	1	1	1/8	1/8	1		2	74	D5	5	27
4	4	23/2	0.5		5/8	5/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	28
5	5	12	2.0		0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	35
5	5	12	1.5		0	0	3/4	1	1	3/8	1/4	3/2		5	71	B4	4	32
5	5	27/2	0.5		3/8	3/8	3/4	1	1	1/8	1/8	1		3	69	A4	4	33
5	5	14	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		1	43	G2	2	36
5	5	14	1.0		1/2	1/2	3/4	1	1	1/4	1/4	1		1	67	G4	4	34
6	6	15	2.0		0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	43
6	6	15	0.5		0	0	3/4	1	1	1/8	1/8	1		2	74	D5	5	37
