mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.5		0	11/8	3/2	2	1	1/8		1/8	1		3	57	A3	3	1
1	0	0	0	0.5		0	11/8	3/2	1	1	1/8		1/8	1		0	72	C5	5	0
2	1	1/2	1/2	0.0		0	0	3/2	1	2	0	appoggiatura	1/8	1		8	68	G#4	4	10
2	1	1/2	1/2	1.5		0	0	3/2	2	1	3/8		1/4	3/2		3	57	A3	3	13
2	1	1/2	1/2	1.0		0	0	3/2	1	3	1/4		1/4	1		4	64	E4	4	12
2	1	1/2	1/2	1.0		0	0	3/2	1	2	1/4		1/4	1		3	69	A4	4	11
2	1	1/2	1/2	1.5		0	0	3/2	1	1	3/8		1/4	3/2		0	72	C5	5	2
2	1	2	2	0.5		3/8	3/8	3/2	2	1	1/8		1/8	1		1	55	G3	3	14
2	1	2	2	0.5		3/8	3/8	3/2	1	1	1/8		1/8	1		5	71	B4	4	3
2	1	5/2	5/2	1.0		1/2	1/2	3/2	2	1	1/4		1/4	1		-1	53	F3	3	15
2	1	5/2	5/2	0.5		1/2	1/2	3/2	1	1	1/8		1/8	1		3	69	A4	4	4
2	1	3	3	0.5		5/8	5/8	3/2	1	1	1/8		1/8	1		8	68	G#4	4	5
2	1	7/2	7/2	1.0		3/4	3/4	3/2	2	1	1/4		1/4	1		4	52	E3	3	16
2	1	7/2	7/2	0.5		3/4	3/4	3/2	1	1	1/8		1/8	1		3	69	A4	4	6
2	1	4	4	0.5		7/8	7/8	3/2	1	1	1/8		1/8	1		5	71	B4	4	7
2	1	9/2	9/2	1.5		1	1	3/2	2	1	3/8		1/4	3/2		2	50	D3	3	17
2	1	9/2	9/2	1.5		1	1	3/2	1	1	3/8		1/4	3/2		5	71	B4	4	8
2	1	6	6	0.25		11/8	11/8	3/2	2	1	1/16		1/16	1		0	48	C3	3	18
2	1	6	6	0.5		11/8	11/8	3/2	1	1	1/8		1/8	1		3	69	A4	4	9
2	1	25/4	25/4	0.25		23/16	23/16	3/2	2	1	1/16		1/16	1		2	50	D3	3	19
3	2	13/2	13/2	0.5		0	0	3/2	2	1	1/8		1/8	1		4	52	E3	3	30
3	2	13/2	13/2	1.5		0	0	3/2	1	1	3/8		1/4	3/2		8	68	G#4	4	20
3	2	7	7	0.5		1/8	1/8	3/2	2	1	1/8		1/8	1		-1	53	F3	3	31
3	2	15/2	15/2	0.5		1/4	1/4	3/2	2	1	1/8		1/8	1		4	52	E3	3	32
3	2	8	8	0.5		3/8	3/8	3/2	2	1	1/8		1/8	1		2	50	D3	3	33
3	2	8	8	0.5		3/8	3/8	3/2	1	1	1/8		1/8	1		5	71	B4	4	21
3	2	17/2	17/2	1.0		1/2	1/2	3/2	2	1	1/4		1/4	1		0	48	C3	3	34
3	2	17/2	17/2	1.0		1/2	1/2	3/2	1	2	1/4		1/4	1		0	72	C5	5	26
3	2	17/2	17/2	1.0		1/2	1/2	3/2	1	1	1/4		1/4	1		4	76	E5	5	22
3	2	19/2	19/2	1.0		3/4	3/4	3/2	2	1	1/4		1/4	1		2	50	D3	3	35
3	2	19/2	19/2	1.0		3/4	3/4	3/2	1	2	1/4		1/4	1		5	71	B4	4	27
3	2	19/2	19/2	1.0		3/4	3/4	3/2	1	1	1/4		1/4	1		2	74	D5	5	23
3	2	21/2	21/2	1.0		1	1	3/2	2	1	1/4		1/4	1		4	52	E3	3	36
3	2	21/2	21/2	1.0		1	1	3/2	1	2	1/4		1/4	1		3	69	A4	4	28
3	2	21/2	21/2	1.5		1	1	3/2	1	1	3/8		1/4	3/2		0	72	C5	5	24
3	2	23/2	23/2	1.0		5/4	5/4	3/2	2	1	1/4		1/4	1		4	40	E2	2	37
3	2	23/2	23/2	1.0		5/4	5/4	3/2	1	2	1/4		1/4	1		8	68	G#4	4	29
3	2	12	12	0.5		11/8	11/8	3/2	1	1	1/8		1/8	1		5	71	B4	4	25
4	3	25/2	25/2	0.0		0	0	3/2	1	1	0	appoggiatura	1/8	1		5	71	B4	4	38
4	3	25/2	25/2	2.0		0	0	3/2	2	1	1/2		1/2	1		3	45	A2	2	49
4	3	25/2	25/2	2.0		0	0	3/2	1	2	1/2		1/2	1		3	69	A4	4	48
4	3	25/2	25/2	2.0		0	0	3/2	1	1	1/2		1/2	1		0	72	C5	5	39
4	3	29/2	29/2	0.0		1/2	1/2	3/2	1	1	0	appoggiatura	1/8	1		5	71	B4	4	40
