mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	1.0		0	1/2	2/2	2	1	1/4		1/4	1		1	55	G3	3	4
1	0	0	0.5		0	1/2	2/2	1	1	1/8		1/8	1		2	74	D5	5	0
1	0	1/2	0.5		1/8	5/8	2/2	1	1	1/8		1/8	1		-3	75	Eb5	5	1
1	0	1	1.0		1/4	3/4	2/2	2	1	1/4		1/4	1		6	54	F#3	3	5
1	0	1	0.5		1/4	3/4	2/2	1	1	1/8		1/8	1		2	74	D5	5	2
1	0	3/2	0.5		3/8	7/8	2/2	1	1	1/8		1/8	1		0	72	C5	5	3
2	1	2	0.5		0	0	2/2	2	1	1/8		1/8	1		1	55	G3	3	14
2	1	2	0.5		0	0	2/2	1	1	1/8		1/8	1		-2	70	Bb4	4	6
2	1	5/2	0.5		1/8	1/8	2/2	2	1	1/8		1/8	1		-1	53	F3	3	15
2	1	5/2	0.5		1/8	1/8	2/2	1	1	1/8		1/8	1		3	69	A4	4	7
2	1	3	0.5		1/4	1/4	2/2	2	1	1/8		1/8	1		-3	51	Eb3	3	16
2	1	3	0.5		1/4	1/4	2/2	1	1	1/8		1/8	1		1	67	G4	4	8
2	1	7/2	0.5		3/8	3/8	2/2	2	1	1/8		1/8	1		2	50	D3	3	17
2	1	7/2	0.5		3/8	3/8	2/2	1	1	1/8		1/8	1		3	69	A4	4	9
2	1	4	1.0		1/2	1/2	2/2	2	1	1/4		1/4	1		0	48	C3	3	18
2	1	4	0.5		1/2	1/2	2/2	1	1	1/8		1/8	1		-2	70	Bb4	4	10
2	1	9/2	0.5		5/8	5/8	2/2	1	1	1/8		1/8	1		3	69	A4	4	11
2	1	5	0.5		3/4	3/4	2/2	2	1	1/8		1/8	1		2	50	D3	3	19
2	1	5	0.5		3/4	3/4	2/2	1	1	1/8		1/8	1		1	67	G4	4	12
2	1	11/2	0.5		7/8	7/8	2/2	2	1	1/8		1/8	1		0	48	C3	3	20
2	1	11/2	0.5		7/8	7/8	2/2	1	1	1/8		1/8	1		6	66	F#4	4	13
3	2	6	0.0		0	0	2/2	1	1	0	appoggiatura	1/8	1		6	66	F#4	4	21
3	2	6	0.5		0	0	2/2	2	1	1/8		1/8	1		-2	46	Bb2	2	28
3	2	6	1.0		0	0	2/2	1	1	1/4		1/4	1		1	67	G4	4	22
3	2	13/2	0.5		1/8	1/8	2/2	2	1	1/8		1/8	1		0	48	C3	3	29
3	2	7	0.5		1/4	1/4	2/2	2	1	1/8		1/8	1		-2	46	Bb2	2	30
3	2	7	1.0		1/4	1/4	2/2	1	1	1/4		1/4	1		2	62	D4	4	23
3	2	15/2	0.5		3/8	3/8	2/2	2	1	1/8		1/8	1		3	45	A2	2	31
3	2	8	1.0		1/2	1/2	2/2	2	1	1/4		1/4	1		1	43	G2	2	32
3	2	8	0.5		1/2	1/2	2/2	1	1	1/8		1/8	1		1	67	G4	4	24
3	2	17/2	0.5		5/8	5/8	2/2	1	1	1/8		1/8	1		3	69	A4	4	25
3	2	9	1.0		3/4	3/4	2/2	2	1	1/4		1/4	1		1	55	G3	3	33
3	2	9	0.5		3/4	3/4	2/2	1	1	1/8		1/8	1		-2	70	Bb4	4	26
3	2	19/2	0.5		7/8	7/8	2/2	1	1	1/8		1/8	1		0	72	C5	5	27
4	3	10	1.0		0	0	2/2	2	1	1/4		1/4	1		6	54	F#3	3	42
4	3	10	0.5		0	0	2/2	1	1	1/8		1/8	1		3	69	A4	4	34
4	3	21/2	0.5		1/8	1/8	2/2	1	1	1/8		1/8	1		-2	70	Bb4	4	35
4	3	11	1.0		1/4	1/4	2/2	2	1	1/4		1/4	1		2	50	D3	3	43
4	3	11	0.5		1/4	1/4	2/2	1	1	1/8		1/8	1		0	72	C5	5	36
4	3	23/2	0.5		3/8	3/8	2/2	1	1	1/8		1/8	1		2	74	D5	5	37
4	3	12	1.0		1/2	1/2	2/2	2	1	1/4		1/4	1		1	55	G3	3	44
4	3	12	0.5		1/2	1/2	2/2	1	1	1/8		1/8	1		0	72	C5	5	38
4	3	25/2	0.5		5/8	5/8	2/2	1	1	1/8		1/8	1		-2	70	Bb4	4	39
4	3	13	1.0		3/4	3/4	2/2	2	1	1/4		1/4	1		1	43	G2	2	45
4	3	13	0.5		3/4	3/4	2/2	1	1	1/8		1/8	1		3	69	A4	4	40
4	3	27/2	0.5		7/8	7/8	2/2	1	1	1/8		1/8	1		1	67	G4	4	41
5	4		0.5	1	0	0	2/2	2	1	1/8		1/8	1		2	50	D3	3	47
5	4		2.0	1	0	0	2/2	1	1	1/2		1/2	1		6	66	F#4	4	46
5	4		2.0	1	0	0	2/2	1	1	1/2		1/2	1		3	69	A4	4	46
5	4		0.5	1	1/8	1/8	2/2	2	1	1/8		1/8	1		4	52	E3	3	48
5	4		0.5	1	1/4	1/4	2/2	2	1	1/8		1/8	1		6	54	F#3	3	49
5	4		0.5	1	3/8	3/8	2/2	2	1	1/8		1/8	1		2	50	D3	3	50
6	4	14	0.5	2	0	0	2/2	2	1	1/8		1/8	1		2	50	D3	3	52
6	4	14	2.0	2	0	0	2/2	1	1	1/2		1/2	1		6	66	F#4	4	51
6	4	14	2.0	2	0	0	2/2	1	1	1/2		1/2	1		3	69	A4	4	51
6	4	29/2	0.5	2	1/8	1/8	2/2	2	1	1/8		1/8	1		0	48	C3	3	53
6	4	15	0.5	2	1/4	1/4	2/2	2	1	1/8		1/8	1		2	50	D3	3	54
6	4	31/2	0.5	2	3/8	3/8	2/2	2	1	1/8		1/8	1		4	52	E3	3	55
7	4	16	1.0		0	1/2	2/2	2	1	1/4		1/4	1		6	54	F#3	3	60
7	4	16	0.5		0	1/2	2/2	1	1	1/8		1/8	1		2	74	D5	5	56
7	4	33/2	0.5		1/8	5/8	2/2	1	1	1/8		1/8	1		-3	75	Eb5	5	57
7	4	17	1.0		1/4	3/4	2/2	2	1	1/4		1/4	1		2	50	D3	3	61
7	4	17	0.5		1/4	3/4	2/2	1	1	1/8		1/8	1		2	74	D5	5	58
7	4	35/2	0.5		3/8	7/8	2/2	1	1	1/8		1/8	1		3	69	A4	4	59
8	5	18	1.0		0	0	2/2	2	1	1/4		1/4	1		1	55	G3	3	70
8	5	18	0.5		0	0	2/2	1	1	1/8		1/8	1		5	71	B4	4	62
8	5	37/2	0.5		1/8	1/8	2/2	1	1	1/8		1/8	1		0	72	C5	5	63
8	5	19	1.0		1/4	1/4	2/2	2	1	1/4		1/4	1		-1	53	F3	3	71
8	5	19	0.5		1/4	1/4	2/2	1	1	1/8		1/8	1		2	74	D5	5	64
8	5	39/2	0.5		3/8	3/8	2/2	1	1	1/8		1/8	1		1	67	G4	4	65
8	5	20	1.0		1/2	1/2	2/2	2	1	1/4		1/4	1		-3	51	Eb3	3	72
8	5	20	0.5		1/2	1/2	2/2	1	1	1/8		1/8	1		-3	75	Eb5	5	66
8	5	41/2	0.5		5/8	5/8	2/2	1	1	1/8		1/8	1		-1	77	F5	5	67
8	5	21	1.0		3/4	3/4	2/2	2	1	1/4		1/4	1		0	48	C3	3	73
8	5	21	0.5		3/4	3/4	2/2	1	1	1/8		1/8	1		-3	75	Eb5	5	68
8	5	43/2	0.5		7/8	7/8	2/2	1	1	1/8		1/8	1		1	67	G4	4	69
9	6	22	1.0		0	0	2/2	2	1	1/4		1/4	1		-1	53	F3	3	82
9	6	22	0.5		0	0	2/2	1	1	1/8		1/8	1		3	69	A4	4	74
9	6	45/2	0.5		1/8	1/8	2/2	1	1	1/8		1/8	1		-2	70	Bb4	4	75
9	6	23	1.0		1/4	1/4	2/2	2	1	1/4		1/4	1		-3	51	Eb3	3	83
9	6	23	0.5		1/4	1/4	2/2	1	1	1/8		1/8	1		0	72	C5	5	76
9	6	47/2	0.5		3/8	3/8	2/2	1	1	1/8		1/8	1		-1	65	F4	4	77
9	6	24	1.0		1/2	1/2	2/2	2	1	1/4		1/4	1		2	50	D3	3	84
9	6	24	0.5		1/2	1/2	2/2	1	1	1/8		1/8	1		-1	77	F5	5	78
9	6	49/2	0.5		5/8	5/8	2/2	1	1	1/8		1/8	1		1	79	G5	5	79
9	6	25	1.0		3/4	3/4	2/2	2	1	1/4		1/4	1		2	38	D2	2	85
9	6	25	0.5		3/4	3/4	2/2	1	1	1/8		1/8	1		-1	77	F5	5	80
9	6	51/2	0.5		7/8	7/8	2/2	1	1	1/8		1/8	1		3	69	A4	4	81
10	7	26	1.0		0	0	2/2	2	1	1/4		1/4	1		1	43	G2	2	94
10	7	26	0.5		0	0	2/2	1	1	1/8		1/8	1		-2	70	Bb4	4	86
10	7	53/2	0.5		1/8	1/8	2/2	1	1	1/8		1/8	1		0	72	C5	5	87
10	7	27	1.0		1/4	1/4	2/2	2	1	1/4		1/4	1		-3	39	Eb2	2	95
10	7	27	0.5		1/4	1/4	2/2	1	1	1/8		1/8	1		2	74	D5	5	88
10	7	55/2	0.5		3/8	3/8	2/2	1	1	1/8		1/8	1		-3	75	Eb5	5	89
10	7	28	1.0		1/2	1/2	2/2	2	1	1/4		1/4	1		-1	41	F2	2	96
10	7	28	0.5		1/2	1/2	2/2	1	1	1/8		1/8	1		2	74	D5	5	90
10	7	57/2	0.5		5/8	5/8	2/2	1	1	1/8		1/8	1		0	72	C5	5	91
10	7	29	1.0		3/4	3/4	2/2	2	1	1/4		1/4	1		-1	53	F3	3	97
10	7	29	0.5		3/4	3/4	2/2	1	1	1/8		1/8	1		-2	70	Bb4	4	92
10	7	59/2	0.5		7/8	7/8	2/2	1	1	1/8		1/8	1		3	69	A4	4	93
11	8	30	1.5		0	0	2/2	2	1	3/8		1/4	3/2		-2	46	Bb2	2	106
11	8	30	0.5		0	0	2/2	1	1	1/8		1/8	1		-2	70	Bb4	4	98
11	8	61/2	0.5		1/8	1/8	2/2	1	1	1/8		1/8	1		0	72	C5	5	99
11	8	31	0.5		1/4	1/4	2/2	1	1	1/8		1/8	1		2	74	D5	5	100
11	8	63/2	0.5		3/8	3/8	2/2	2	1	1/8		1/8	1		0	48	C3	3	107
11	8	63/2	0.5		3/8	3/8	2/2	1	1	1/8		1/8	1		0	72	C5	5	101
11	8	32	0.5		1/2	1/2	2/2	2	1	1/8		1/8	1		2	50	D3	3	108
11	8	32	0.5		1/2	1/2	2/2	1	1	1/8		1/8	1		-2	70	Bb4	4	102
11	8	65/2	0.5		5/8	5/8	2/2	2	1	1/8		1/8	1		0	48	C3	3	109
11	8	65/2	0.5		5/8	5/8	2/2	1	1	1/8		1/8	1		3	69	A4	4	103
11	8	33	0.5		3/4	3/4	2/2	2	1	1/8		1/8	1		5	47	B2	2	110
11	8	33	0.5		3/4	3/4	2/2	1	1	1/8		1/8	1		1	67	G4	4	104
11	8	67/2	0.5		7/8	7/8	2/2	2	1	1/8		1/8	1		1	43	G2	2	111
11	8	67/2	0.5		7/8	7/8	2/2	1	1	1/8		1/8	1		-1	65	F4	4	105
12	9	34	1.0		0	0	2/2	2	1	1/4		1/4	1		0	48	C3	3	118
12	9	34	0.5		0	0	2/2	1	1	1/8		1/8	1		-1	65	F4	4	112
12	9	69/2	0.5		1/8	1/8	2/2	1	1	1/8		1/8	1		-3	63	Eb4	4	113
