mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	3/4	2	2	1/4		1/4	1		2	62	14
1	1	0	0	3/4	2	1	1/8		1/8	1		6	66	7
1	1	0	0	3/4	1	1	1/8		1/8	1		3	81	0
1	1	1/8	1/8	3/4	2	1	1/8		1/8	1		4	64	8
1	1	1/8	1/8	3/4	1	1	1/8		1/8	1		1	79	1
1	1	1/4	1/4	3/4	2	1	1/8		1/8	1		2	62	9
1	1	1/4	1/4	3/4	1	1	1/8		1/8	1		6	78	2
1	1	3/8	3/8	3/4	2	1	1/8		1/8	1		4	64	10
1	1	3/8	3/8	3/4	1	1	1/8		1/8	1		1	79	3
1	1	1/2	1/2	3/4	2	1	3/16		1/8	3/2		4	64	11
1	1	1/2	1/2	3/4	1	1	3/16		1/8	3/2		1	79	4
1	1	11/16	11/16	3/4	2	1	1/32		1/32	1		2	62	12
1	1	11/16	11/16	3/4	1	1	1/32		1/32	1		6	78	5
1	1	23/32	23/32	3/4	2	1	1/32		1/32	1		4	64	13
1	1	23/32	23/32	3/4	1	1	1/32		1/32	1		1	79	6
2	2	0	0	3/4	1	1	0	appoggiatura	1/8	1		1	79	15
2	2	0	0	3/4	2	2	1/4		1/4	1		2	62	22
2	2	0	0	3/4	2	1	1/8		1/8	1		6	66	17
2	2	0	0	3/4	1	1	1/2		1/2	1		3	81	16
2	2	1/8	1/8	3/4	2	1	1/8		1/8	1		1	67	18
2	2	1/4	1/4	3/4	2	1	1/8		1/8	1		6	66	19
2	2	3/8	3/8	3/4	2	1	1/8		1/8	1		4	64	20
2	2	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62	21
3	3	0	0	3/4	2	1	1/8		1/8	1		2	50	26
3	3	0	0	3/4	1	1	1/4		1/4	1		3	69	23
3	3	1/8	1/8	3/4	2	1	1/8		1/8	1		7	49	27
3	3	1/4	1/4	3/4	2	1	1/4		1/4	1		5	47	28
3	3	1/4	1/4	3/4	1	1	3/8		1/4	3/2		2	74	24
3	3	1/2	1/2	3/4	2	1	1/4		1/4	1		1	43	29
3	3	5/8	5/8	3/4	1	1	1/8		1/8	1		4	76	25
4	4	0	0	3/4	2	1	1/2		1/2	1		3	45	33
4	4	0	0	3/4	1	1	1/2		1/2	1		7	73	30
4	4	1/2	1/2	3/4	1	1	0	appoggiatura	1/8	1		5	71	31
4	4	1/2	1/2	3/4	1	1	1/4		1/4	1		3	69	32
5	5	0	0	3/4	2	2	1/4		1/4	1		2	62	48
5	5	0	0	3/4	2	1	1/8		1/8	1		6	66	41
5	5	0	0	3/4	1	1	1/8		1/8	1		3	81	34
5	5	1/8	1/8	3/4	2	1	1/8		1/8	1		4	64	42
5	5	1/8	1/8	3/4	1	1	1/8		1/8	1		1	79	35
5	5	1/4	1/4	3/4	2	1	1/8		1/8	1		2	62	43
5	5	1/4	1/4	3/4	1	1	1/8		1/8	1		6	78	36
5	5	3/8	3/8	3/4	2	1	1/8		1/8	1		4	64	44
5	5	3/8	3/8	3/4	1	1	1/8		1/8	1		1	79	37
5	5	1/2	1/2	3/4	2	1	3/16		1/8	3/2		4	64	45
5	5	1/2	1/2	3/4	1	1	3/16		1/8	3/2		1	79	38
5	5	11/16	11/16	3/4	2	1	1/32		1/32	1		2	62	46
5	5	11/16	11/16	3/4	1	1	1/32		1/32	1		6	78	39
5	5	23/32	23/32	3/4	2	1	1/32		1/32	1		4	64	47
5	5	23/32	23/32	3/4	1	1	1/32		1/32	1		1	79	40
6	6	0	0	3/4	1	1	0	appoggiatura	1/8	1		1	79	49
6	6	0	0	3/4	2	2	1/4		1/4	1		2	62	56
6	6	0	0	3/4	2	1	1/8		1/8	1		6	66	51
6	6	0	0	3/4	1	1	1/2		1/2	1		3	81	50
6	6	1/8	1/8	3/4	2	1	1/8		1/8	1		1	67	52
6	6	1/4	1/4	3/4	2	1	1/8		1/8	1		6	66	53
6	6	3/8	3/8	3/4	2	1	1/8		1/8	1		4	64	54
6	6	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62	55
7	7	0	0	3/4	2	1	1/8		1/8	1		2	50	60
7	7	0	0	3/4	1	1	1/4		1/4	1		3	69	57
7	7	1/8	1/8	3/4	2	1	1/8		1/8	1		7	49	61
7	7	1/4	1/4	3/4	2	1	1/4		1/4	1		5	47	62
