mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
2	1	1/2	1/2	0.5		0	1/8	4/4	1	1	1/8		1/8	1		3	69	A4	4	0
2	1	1	1	0.5		1/8	1/4	4/4	1	1	1/8		1/8	1		2	62	D4	4	1
2	1	3/2	3/2	0.5		1/4	3/8	4/4	2	1	1/8		1/8	1		2	50	D3	3	7
2	1	3/2	3/2	0.5		1/4	3/8	4/4	1	1	1/8		1/8	1		3	69	A4	4	2
2	1	2	2	1.0		3/8	1/2	4/4	2	1	1/4		1/4	1		1	43	G2	2	8
2	1	2	2	0.5		3/8	1/2	4/4	1	1	1/8		1/8	1		-2	70	Bb4	4	3
2	1	5/2	5/2	0.5		1/2	5/8	4/4	1	1	1/8		1/8	1		1	67	G4	4	4
2	1	3	3	0.5		5/8	3/4	4/4	1	1	1/8		1/8	1		4	64	E4	4	5
2	1	7/2	7/2	0.5		3/4	7/8	4/4	2	1	1/8		1/8	1		0	48	C3	3	9
2	1	7/2	7/2	0.5		3/4	7/8	4/4	1	1	1/8		1/8	1		0	72	C5	5	6
3	2	4	4	0.5		0	0	4/4	2	1	1/8		1/8	1		-1	41	F2	2	18
3	2	4	4	0.5		0	0	4/4	1	1	1/8		1/8	1		3	69	A4	4	10
3	2	9/2	9/2	0.25		1/8	1/8	4/4	2	1	1/16		1/16	1		-1	53	F3	3	19
3	2	9/2	9/2	0.5		1/8	1/8	4/4	1	1	1/8		1/8	1		-1	65	F4	4	11
3	2	19/4	19/4	0.25		3/16	3/16	4/4	2	1	1/16		1/16	1		1	55	G3	3	20
3	2	5	5	0.5		1/4	1/4	4/4	2	1	1/8		1/8	1		3	57	A3	3	21
3	2	11/2	11/2	0.5		3/8	3/8	4/4	2	1	1/8		1/8	1		-1	53	F3	3	22
3	2	11/2	11/2	0.25		3/8	3/8	4/4	1	1	1/16		1/16	1		2	74	D5	5	12
