mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
1	0	0	1/8	3/8	2	1	1/8		1/8	1		3	57	2
1	0	0	1/8	3/8	1	1	1/8		1/8	1		4	76	0
1	0	1/8	1/4	3/8	2	1	1/8		1/8	1		8	56	3
1	0	1/8	1/4	3/8	1	1	1/8		1/8	1		5	71	1
2	1	0	0	3/8	1	1	0	appoggiatura	1/8	1		5	71	4
2	1	0	0	3/8	2	1	1/8		1/8	1		3	57	10
2	1	0	0	3/8	1	1	1/8		1/8	1		0	72	5
2	1	1/8	1/8	3/8	2	1	1/8		1/8	1		3	45	11
2	1	1/8	1/8	3/8	1	1	1/16		1/16	1		4	76	6
2	1	3/16	3/16	3/8	1	1	1/16		1/16	1		2	74	7
2	1	1/4	1/4	3/8	2	1	1/8		1/8	1		4	52	12
2	1	1/4	1/4	3/8	1	1	1/16		1/16	1		0	72	8
2	1	5/16	5/16	3/8	1	1	1/16		1/16	1		5	71	9
3	2	0	0	3/8	2	1	1/8		1/8	1		-1	53	16
3	2	0	0	3/8	1	1	1/8		1/8	1		3	69	13
3	2	1/8	1/8	3/8	2	1	1/8		1/8	1		4	52	17
3	2	1/8	1/8	3/8	1	1	1/8		1/8	1		4	76	14
3	2	1/4	1/4	3/8	2	1	1/8		1/8	1		2	50	18
3	2	1/4	1/4	3/8	1	1	1/8		1/8	1		-1	77	15
4	3	0	0	3/8	2	1	1/8		1/8	1		0	48	23
4	3	0	0	3/8	1	1	1/16		1/16	1		4	76	19
4	3	1/16	1/16	3/8	1	1	1/16		1/16	1		2	74	20
4	3	1/8	1/8	3/8	2	1	1/8		1/8	1		1	55	24
4	3	1/8	1/8	3/8	1	1	3/16		1/8	3/2		2	74	21
4	3	1/4	1/4	3/8	2	1	1/8		1/8	1		1	43	25
4	3	5/16	5/16	3/8	1	1	1/16		1/16	1		0	72	22
5	4	0	0	3/8	2	1	1/16		1/16	1		0	48	30
5	4	0	0	3/8	1	1	1/8		1/8	1		4	64	26
5	4	0	0	3/8	1	1	1/8		1/8	1		1	67	26
5	4	0	0	3/8	1	1	1/8		1/8	1		0	72	26
5	4	1/16	1/16	3/8	2	1	1/16		1/16	1		2	50	31
5	4	1/8	1/8	3/8	2	1	1/16		1/16	1		7	49	32
5	4	1/8	1/8	3/8	1	1	1/8		1/8	1		1	79	27
5	4	3/16	3/16	3/8	2	1	1/16		1/16	1		5	47	33
5	4	1/4	1/4	3/8	1	1	0	appoggiatura	1/8	1		-1	77	28
5	4	1/4	1/4	3/8	2	1	1/16		1/16	1		7	49	34
5	4	1/4	1/4	3/8	1	1	1/8		1/8	1		4	76	29
5	4	5/16	5/16	3/8	2	1	1/16		1/16	1		3	45	35
6	5	0	0	3/8	1	1	0	appoggiatura	1/8	1		4	76	36
6	5	0	0	3/8	2	1	1/16		1/16	1		2	50	42
6	5	0	0	3/8	1	1	1/8		1/8	1		-1	77	37
6	5	1/16	1/16	3/8	2	1	1/16		1/16	1		0	48	43
6	5	1/8	1/8	3/8	1	1	0	appoggiatura	1/8	1		4	76	38
6	5	1/8	1/8	3/8	2	1	1/16		1/16	1		5	47	44
6	5	1/8	1/8	3/8	1	1	1/8		1/8	1		2	74	39
6	5	3/16	3/16	3/8	2	1	1/16		1/16	1		0	48	45
6	5	1/4	1/4	3/8	1	1	0	appoggiatura	1/8	1		0	72	40
6	5	1/4	1/4	3/8	2	1	1/16		1/16	1		2	50	46
6	5	1/4	1/4	3/8	1	1	1/8		1/8	1		5	71	41
6	5	5/16	5/16	3/8	2	1	1/16		1/16	1		5	47	47
7	6	0	0	3/8	2	1	1/16		1/16	1		4	52	51
7	6	0	0	3/8	1	1	1/8		1/8	1		8	68	48
7	6	1/16	1/16	3/8	2	1	1/16		1/16	1		2	50	52
7	6	1/8	1/8	3/8	2	1	1/8		1/8	1		0	48	53
7	6	1/8	1/8	3/8	1	1	1/8		1/8	1		3	69	49
7	6	1/4	1/4	3/8	2	1	1/8		1/8	1		5	47	54
7	6	1/4	1/4	3/8	1	1	1/8		1/8	1		5	71	50
8	7	0	0	3/8	2	1	1/8		1/8	1		3	45	58
8	7	0	0	3/8	1	1	1/8		1/8	1		0	72	55
8	7	1/8	1/8	3/8	2	1	1/8		1/8	1		4	52	59
8	7	1/8	1/8	3/8	1	1	3/16		1/8	3/2		5	71	56
8	7	1/4	1/4	3/8	2	1	1/8		1/8	1		4	40	60
8	7	5/16	5/16	3/8	1	1	1/16		1/16	1		3	69	57
9	8	0	0	3/8	2	1	1/8		1/8	1		3	45	62
9	8	0	0	3/8	1	1	1/8		1/8	1		0	60	61
9	8	0	0	3/8	1	1	1/8		1/8	1		4	64	61
9	8	0	0	3/8	1	1	1/8		1/8	1		3	69	61
10	8	0	1/8	3/8	2	1	1/16		1/16	1		3	57	65
10	8	0	1/8	3/8	1	1	1/8		1/8	1		3	81	63
10	8	1/16	3/16	3/8	2	1	1/16		1/16	1		5	59	66
10	8	1/8	1/4	3/8	2	1	1/16		1/16	1		7	61	67
10	8	1/8	1/4	3/8	1	1	1/8		1/8	1		4	76	64
10	8	3/16	5/16	3/8	2	1	1/16		1/16	1		3	57	68
11	8	0	0	3/8	1	1	0	appoggiatura	1/8	1		4	76	69
11	8	0	0	3/8	2	1	1/16		1/16	1		2	62	74
11	8	0	0	3/8	1	1	1/8		1/8	1		-1	77	70
11	8	1/16	1/16	3/8	2	1	1/16		1/16	1		0	60	75
11	8	1/8	1/8	3/8	1	1	0	appoggiatura	1/8	1		4	76	71
11	8	1/8	1/8	3/8	2	1	1/16		1/16	1		5	59	76
11	8	1/8	1/8	3/8	1	1	1/8		1/8	1		2	74	72
11	8	3/16	3/16	3/8	2	1	1/16		1/16	1		3	57	77
11	8	1/4	1/4	3/8	2	1	1/16		1/16	1		5	59	78
11	8	1/4	1/4	3/8	1	1	1/8		1/8	1		1	79	73
11	8	5/16	5/16	3/8	2	1	1/16		1/16	1		1	55	79
12	9	0	0	3/8	2	1	1/16		1/16	1		0	60	83
12	9	0	0	3/8	1	1	3/16		1/8	3/2		4	76	80
12	9	1/16	1/16	3/8	2	1	1/16		1/16	1		2	62	84
12	9	1/8	1/8	3/8	2	1	1/16		1/16	1		0	60	85
12	9	3/16	3/16	3/8	2	1	1/16		1/16	1		5	59	86
12	9	3/16	3/16	3/8	1	1	1/16		1/16	1		4	76	81
12	9	1/4	1/4	3/8	2	1	1/8		1/8	1		3	57	87
12	9	1/4	1/4	3/8	1	1	1/8		1/8	1		6	78	82
13	10	0	0	3/8	2	1	1/8		1/8	1		1	55	91
13	10	0	0	3/8	1	1	1/8		1/8	1		1	79	88
13	10	1/8	1/8	3/8	2	1	1/8		1/8	1		2	62	92
13	10	1/8	1/8	3/8	1	1	3/16		1/8	3/2		6	78	89
13	10	1/4	1/4	3/8	2	1	1/8		1/8	1		2	50	93
13	10	5/16	5/16	3/8	1	1	1/16		1/16	1		1	79	90
14	11	0	0	3/8	2	1	1/16		1/16	1		1	55	98
14	11	0	0	3/8	1	2	1/8		1/8	1		5	71	95
14	11	0	0	3/8	1	1	1/8		1/8	1		2	74	94
14	11	0	0	3/8	1	1	1/8		1/8	1		1	79	94
14	11	1/16	1/16	3/8	2	1	1/16		1/16	1		3	57	99
14	11	1/8	1/8	3/8	2	1	1/16		1/16	1		1	55	100
14	11	1/8	1/8	3/8	1	2	1/8		1/8	1		5	71	96
14	11	3/16	3/16	3/8	2	1	1/16		1/16	1		6	54	101
14	11	1/4	1/4	3/8	2	1	1/16		1/16	1		1	55	102
14	11	1/4	1/4	3/8	1	2	1/8		1/8	1		4	76	97
14	11	5/16	5/16	3/8	2	1	1/16		1/16	1		4	52	103
15	12	0	0	3/8	2	1	1/16		1/16	1		3	57	107
15	12	0	0	3/8	1	1	1/8		1/8	1		7	73	104
15	12	1/16	1/16	3/8	2	1	1/16		1/16	1		5	59	108
15	12	1/8	1/8	3/8	2	1	1/16		1/16	1		3	57	109
15	12	1/8	1/8	3/8	1	1	3/16		1/8	3/2		6	78	105
15	12	3/16	3/16	3/8	2	1	1/16		1/16	1		1	55	110
15	12	1/4	1/4	3/8	2	1	1/16		1/16	1		3	57	111
15	12	5/16	5/16	3/8	2	1	1/16		1/16	1		6	54	112
15	12	5/16	5/16	3/8	1	1	1/16		1/16	1		1	79	106
16	13	0	0	3/8	2	1	1/16		1/16	1		5	59	116
16	13	0	0	3/8	1	1	1/8		1/8	1		9	75	113
16	13	1/16	1/16	3/8	2	1	1/16		1/16	1		3	57	117
16	13	1/8	1/8	3/8	2	1	1/16		1/16	1		1	55	118
16	13	1/8	1/8	3/8	1	1	1/8		1/8	1		5	71	114
16	13	3/16	3/16	3/8	2	1	1/16		1/16	1		6	54	119
16	13	1/4	1/4	3/8	2	1	1/8		1/8	1		4	52	120
