mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
16	15	87/2	1.5	0	0	6/8	1	1	i|PAC}	a	v		i	i					PAC	}	m	1	1	0, -3, 1		0	0
17	15	45	1.5	0	3/8	6/8	1	1	III.I{	a	III		I	I						{	M	1	0	0, 4, 1		0	0
18	16	93/2	0.5	0	0	6/8	1	1	V	a	III		V	V							M	1	0	1, 5, 2		1	1
18	16	47	0.5	1/8	1/8	6/8	1	1	I6	a	III		I6	I		6					M	1	0	4, 1, 0		0	4
18	16	95/2	0.5	1/4	1/4	6/8	1	1	I	a	III		I	I							M	1	0	0, 4, 1		0	0
18	16	48	0.5	3/8	3/8	6/8	1	1	V	a	III		V	V							M	1	0	1, 5, 2		1	1
18	16	97/2	0.5	1/2	1/2	6/8	1	1	I6	a	III		I6	I		6					M	1	0	4, 1, 0		0	4
18	16	49	0.5	5/8	5/8	6/8	1	1	I	a	III		I	I							M	1	0	0, 4, 1		0	0
19	17	99/2	1.25	0	0	6/8	1	1	V	a	III		V	V							M	1	0	1, 5, 2		1	1
19	17	203/4	0.25	5/16	5/16	6/8	1	1	iv.V43	a	iv		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
19	17	51	1.0	3/8	3/8	6/8	1	1	i	a	iv		i	i							m	1	1	0, -3, 1		0	0
19	17	52	0.5	5/8	5/8	6/8	1	1	i64	a	iv		i64	i		64					m	1	1	1, 0, -3		0	1
20	18	105/2	0.5	0	0	6/8	1	1	i6	a	iv		i6	i		6					m	1	1	-3, 1, 0		0	-3
20	18	53	0.5	1/8	1/8	6/8	1	1	V	a	iv		V	V							M	1	1	1, 5, 2		1	1
20	18	107/2	0.5	1/4	1/4	6/8	1	1	V65	a	iv		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
20	18	54	0.5	3/8	3/8	6/8	1	1	i	a	iv		i	i							m	1	1	0, -3, 1		0	0
20	18	109/2	0.5	1/2	1/2	6/8	1	1	V	a	iv		V	V							M	1	1	1, 5, 2		1	1
20	18	55	0.5	5/8	5/8	6/8	1	1	V65	a	iv		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
21	19	111/2	1.0	0	0	6/8	1	1	i	a	iv		i	i							m	1	1	0, -3, 1		0	0
21	19	113/2	0.5	1/4	1/4	6/8	1	1	i6	a	iv		i6	i		6					m	1	1	-3, 1, 0		0	-3
21	19	57	0.5	3/8	3/8	6/8	1	1	ii%65	a	iv		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
21	19	115/2	0.5	1/2	1/2	6/8	1	1	V(4)	a	iv		V(4)	V			4				M	1	1	1, 0, 2		1	1
21	19	58	0.5	5/8	5/8	6/8	1	1	V	a	iv		V	V							M	1	1	1, 5, 2		1	1
22	20	117/2	0.5	0	0	6/8	1	1	i	a	iv		i	i							m	1	1	0, -3, 1		0	0
22	20	59	0.5	1/8	1/8	6/8	1	1	i.VI	a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
22	20	119/2	0.5	1/4	1/4	6/8	1	1	ii%65	a	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
22	20	60	1.5	3/8	3/8	6/8	1	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
23	21	123/2	1.5	0	0	6/8	1	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
23	21	63	1.5	3/8	3/8	6/8	1	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
24	22	129/2	1.5	0	0	6/8	1	1	v6	a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
24	22	66	0.5	3/8	3/8	6/8	1	1	ii%43	a	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
