mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	5/8	4/4	1	1	G.I	G	I		I	I							M	0	0	0, 4, 1		0	0
2	1	1/4	1/4	4/4	1	1	IVM7(9)	G	I		IVM7(9)	IV	M	7	9				MM7	0	0	-1, 3, 0, 4	1	-1	-1
2	1	1/2	1/2	4/4	1	1	ii43	G	I		ii43	ii		43					mm7	0	0	3, 0, 2, -1		2	3
2	1	3/4	3/4	4/4	1	1	ii65	G	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
3	2	0	0	4/4	1	1	V\\	G	I		V	V						\\	M	0	0	1, 5, 2		1	1
3	2	1/2	1/2	4/4	1	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	3	0	0	4/4	1	1	ii65	G	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
4	3	1/2	1/2	4/4	1	1	V	G	I		V	V							M	0	0	1, 5, 2		1	1
4	3	3/4	3/4	4/4	1	1	V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	4	0	0	4/4	1	1	I\\	G	I		I	I						\\	M	0	0	0, 4, 1		0	0
5	4	1/2	1/2	4/4	1	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
5	4	3/4	3/4	4/4	1	1	vi.i6	G	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
6	5	0	0	4/4	1	1	ii%7	G	vi		ii%7	ii	%	7					%7	0	1	2, -1, -4, 0		2	2
6	5	1/2	1/2	4/4	1	1	V	G	vi		V	V							M	0	1	1, 5, 2		1	1
7	6	0	0	4/4	1	1	i\\	G	vi		i	i						\\	m	0	1	0, -3, 1		0	0
8	7	0	0	4/4	1	1	iv.V2	G	iv		V2	V		2					Mm7	0	1	-1, 1, 5, 2		1	-1
8	7	1/2	1/2	4/4	1	1	i6	G	iv		i6	i		6					m	0	1	-3, 1, 0		0	-3
8	7	3/4	3/4	4/4	1	1	V43	G	iv		V43	V		43					Mm7	0	1	2, -1, 1, 5		1	2
9	8	0	0	4/4	1	1	i6	G	iv		i6	i		6					m	0	1	-3, 1, 0		0	-3
9	8	1/2	1/2	4/4	1	1	ii%65	G	iv		ii%65	ii	%	65					%7	0	1	-1, -4, 0, 2		2	-1
10	9	0	0	4/4	1	1	V	G	iv		V	V							M	0	1	1, 5, 2		1	1
10	9	1/2	1/2	4/4	1	1	V65	G	iv		V65	V		65					Mm7	0	1	5, 2, -1, 1		1	5
10	9	3/4	3/4	4/4	1	1	V7	G	iv		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
11	10	0	0	4/4	1	1	I\\	G	iv		I	I						\\	M	0	1	0, 4, 1		0	0
12	11	0	0	4/4	1	1	IV.V2	G	IV		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
13	12	0	0	4/4	1	1	I6	G	IV		I6	I		6					M	0	0	4, 1, 0		0	4
14	13	0	0	4/4	1	1	IV	G	IV		IV	IV							M	0	0	-1, 3, 0		-1	-1
14	13	1/2	1/2	4/4	1	1	IV6	G	IV		IV6	IV		6					M	0	0	3, 0, -1		-1	3
15	14	0	0	4/4	1	1	ii	G	IV		ii	ii							m	0	0	2, -1, 3		2	2
15	14	1/2	1/2	4/4	1	1	ii7	G	IV		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
16	15	0	0	4/4	1	1	V	G	IV		V	V							M	0	0	1, 5, 2		1	1
16	15	1/2	1/2	4/4	1	1	I6	G	IV		I6	I		6					M	0	0	4, 1, 0		0	4
17	16	0	0	4/4	1	1	V43	G	IV		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
17	16	1/4	1/4	4/4	1	1	I	G	IV		I	I							M	0	0	0, 4, 1		0	0
17	16	1/2	1/2	4/4	1	1	V	G	IV		V	V							M	0	0	1, 5, 2		1	1
19	17	0	0	3/4	1	1	I	G	IV		I	I							M	0	0	0, 4, 1		0	0
20	18	1/4	1/4	3/4	1	1	@none	G	IV		@none	@none							m	0	0				
23	21	0	0	3/4	1	1	I.V	G	I		V	V							M	0	0	1, 5, 2		1	1
24	22	0	0	3/4	1	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
25	23	0	0	3/4	1	1	IVM7	G	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
25	23	1/4	1/4	3/4	1	1	ii6	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
26	24	0	0	3/4	1	1	iii7	G	I		iii7	iii		7					mm7	0	0	4, 1, 5, 2		4	4
26	24	1/4	1/4	3/4	1	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
27	25	0	0	3/4	1	1	V(4)	G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
27	25	1/4	1/4	3/4	1	1	V	G	I		V	V							M	0	0	1, 5, 2		1	1
28	26	0	0	3/4	1	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
29	27	0	0	3/4	1	1	VIM7	G	I		VIM7	VI	M	7					MM7	0	0	3, 7, 4, 8		3	3
29	27	1/4	1/4	3/4	1	1	ii6	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
30	28	0	0	3/4	1	1	iii7	G	I		iii7	iii		7					mm7	0	0	4, 1, 5, 2		4	4
30	28	1/4	1/4	3/4	1	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
