mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	3/4	1	1		G.I	G	I		I	I							M	0	0	0, 4, 1		0	0
1	1	1	1.0	1/4	1/4	3/4	1	1		IV64	G	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
1	1	2	1.0	1/2	1/2	3/4	1	1		V6	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
2	2	3	2.0	0	0	3/4	1	1		vi	G	I		vi	vi							m	0	0	3, 0, 4		3	3
2	2	5	0.5	1/2	1/2	3/4	1	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	2	11/2	0.5	5/8	5/8	3/4	1	1		IM65	G	I		IM65	I	M	65					MM7	0	0	4, 1, 5, 0		0	4
3	3	6	1.0	0	0	3/4	1	1		ii65	G	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
3	3	7	1.0	1/4	1/4	3/4	1	1		V(4)	G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
3	3	8	1.0	1/2	1/2	3/4	1	1		V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	9	3.0	0	0	3/4	1	1		I\\	G	I		I	I						\\	M	0	0	0, 4, 1		0	0
5	5	12	1.0	0	0	3/4	1	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
5	5	13	1.0	1/4	1/4	3/4	1	1		I64	G	I		I64	I		64					M	0	0	1, 0, 4		0	1
5	5	14	1.0	1/2	1/2	3/4	1	1		V6	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
6	6	15	1.0	0	0	3/4	1	1		vi	G	I		vi	vi							m	0	0	3, 0, 4		3	3
6	6	16	1.0	1/4	1/4	3/4	1	1		IV	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
6	6	17	1.0	1/2	1/2	3/4	1	1		v.ii%43	G	v		ii%43	ii	%	43					%7	0	1	-4, 0, 2, -1		2	-4
7	7	18	0.5	0	0	3/4	1	1		V	G	v		V	V							M	0	1	1, 5, 2		1	1
7	7	37/2	0.5	1/8	1/8	3/4	1	1		IV7	G	v		IV7	IV		7					Mm7	0	1	-1, 3, 0, -3		-1	-1
7	7	19	1.0	1/4	1/4	3/4	1	1		V(4)	G	v		V(4)	V			4				M	0	1	1, 0, 2		1	1
7	7	20	1.0	1/2	1/2	3/4	1	1		V	G	v		V	V							M	0	1	1, 5, 2		1	1
8	8			0	0	3/4	1	1	1	I\\	G	v		I	I						\\	M	0	1	0, 4, 1		0	0
9	8	21	3.0	0	0	3/4	1	1	2	I	G	v		I	I							M	0	1	0, 4, 1		0	0
