mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0.5	0	1/8	6/8	1	1		.G.I	G	I		I	I							M	0	0	0, 4, 1		0	0
1	0	1/2	0.5	1/8	1/4	6/8	1	1		V43	G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
1	0	1	0.5	1/4	3/8	6/8	1	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
1	0	3/2	0.5	3/8	1/2	6/8	1	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
1	0	2	0.5	1/2	5/8	6/8	1	1		IV	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
2	1	5/2	0.5	0	0	6/8	1	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	1	3	0.5	1/8	1/8	6/8	1	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
2	1	7/2	0.5	1/4	1/4	6/8	1	1		IV	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
2	1	4	0.5	3/8	3/8	6/8	1	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	1	9/2	1.0	1/2	1/2	6/8	1	1		V43	G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
3	2	11/2	1.0	0	0	6/8	1	1		I\\	G	I		I	I						\\	M	0	0	0, 4, 1		0	0
3	2	13/2	0.5	1/4	1/4	6/8	1	1		V43	G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
3	2	7	0.5	3/8	3/8	6/8	1	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	2	15/2	0.5	1/2	1/2	6/8	1	1		IV6	G	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
3	2	8	0.5	5/8	5/8	6/8	1	1		V65	G	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
4	3	17/2	0.5	0	0	6/8	1	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
4	3	9	0.5	1/8	1/8	6/8	1	1		ii65	G	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
4	3	19/2	0.5	1/4	1/4	6/8	1	1		V	G	I		V	V							M	0	0	1, 5, 2		1	1
4	3	10	0.5	3/8	3/8	6/8	1	1		ii43	G	I		ii43	ii		43					mm7	0	0	3, 0, 2, -1		2	3
4	3	21/2	1.0	1/2	1/2	6/8	1	1		ii65	G	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
5	4	23/2	1.0	0	0	6/8	1	1		V\\	G	I		V	V						\\	M	0	0	1, 5, 2		1	1
5	4	25/2	0.5	1/4	1/4	6/8	1	1		V65	G	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
5	4	13	1.5	3/8	3/8	6/8	1	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
6	5	29/2	1.0	0	0	6/8	1	1		V.V	G	V		V	V							M	0	0	1, 5, 2		1	1
6	5	31/2	0.5	1/4	1/4	6/8	1	1		V65	G	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
6	5	16	0.5	3/8	3/8	6/8	1	1		I	G	V		I	I							M	0	0	0, 4, 1		0	0
6	5	33/2	0.5	1/2	1/2	6/8	1	1		V65	G	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
6	5	17	0.5	5/8	5/8	6/8	1	1		I	G	V		I	I							M	0	0	0, 4, 1		0	0
7	6	35/2	1.0	0	0	6/8	1	1		V	G	V		V	V							M	0	0	1, 5, 2		1	1
7	6	37/2	0.5	1/4	1/4	6/8	1	1		IV6	G	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
7	6	19	1.0	3/8	3/8	6/8	1	1		V65	G	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
