mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	17.0	0	0	4/4	1	1		A.I[I		A	I	I	I	I							M	0	0	0, 4, 1		0	0
5	5	17	1.0	1/4	1/4	4/4	1	1		viio6		A	I	I	viio6	vii	o	6					o	0	0	2, -1, 5		5	2
5	5	18	3.0	1/2	1/2	4/4	1	1		I		A	I	I	I	I							M	0	0	0, 4, 1		0	0
6	6	21	1.0	1/4	1/4	4/4	1	1		viio6		A	I	I	viio6	vii	o	6					o	0	0	2, -1, 5		5	2
6	6	22	2.0	1/2	1/2	4/4	1	1		I		A	I	I	I	I							M	0	0	0, 4, 1		0	0
7	7	24	2.0	0	0	4/4	1	1		I]		A	I	I	I	I							M	0	0	0, 4, 1		0	0
7	7	26	1.0	1/2	1/2	4/4	1	1		vi7		A	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
7	7	27	1.0	3/4	3/4	4/4	1	1		ii6		A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
8	8			0	0	4/4	1	1	1	V\\		A	I		V	V						\\	M	0	0	1, 5, 2		1	1
8	8			1/4	1/4	4/4	1	1	1	I6		A	I		I6	I		6					M	0	0	4, 1, 0		0	4
8	8			1/2	1/2	4/4	1	1	1	I		A	I		I	I							M	0	0	0, 4, 1		0	0
9	9	28	2.0	0	0	4/4	1	1	2	V\\		A	I		V	V						\\	M	0	0	1, 5, 2		1	1
9	9	30	2.0	1/2	1/2	4/4	1	1	2	V7		A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	10	32	1.0	0	0	4/4	1	1		V[V		A	I	V	V	V							M	0	0	1, 5, 2		1	1
10	10	33	1.0	1/4	1/4	4/4	1	1		I		A	I	V	I	I							M	0	0	0, 4, 1		0	0
10	10	34	1.0	1/2	1/2	4/4	1	1		V7		A	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	10	35	1.0	3/4	3/4	4/4	1	1		I		A	I	V	I	I							M	0	0	0, 4, 1		0	0
11	11	36	1.0	0	0	4/4	1	1		V7		A	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	11	37	1.0	1/4	1/4	4/4	1	1		I		A	I	V	I	I							M	0	0	0, 4, 1		0	0
11	11	38	1.0	1/2	1/2	4/4	1	1		V7		A	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	11	39	1.0	3/4	3/4	4/4	1	1		I		A	I	V	I	I							M	0	0	0, 4, 1		0	0
12	12	40	5.0	0	0	4/4	1	1		V		A	I	V	V	V							M	0	0	1, 5, 2		1	1
13	13	45	1.0	1/4	1/4	4/4	1	1		I		A	I	V	I	I							M	0	0	0, 4, 1		0	0
13	13	46	1.0	1/2	1/2	4/4	1	1		V		A	I	V	V	V							M	0	0	1, 5, 2		1	1
13	13	47	1.0	3/4	3/4	4/4	1	1		I		A	I	V	I	I							M	0	0	0, 4, 1		0	0
14	14	48	2.0	0	0	4/4	1	1		V		A	I	V	V	V							M	0	0	1, 5, 2		1	1
14	14	50	1.0	1/2	1/2	4/4	1	1		I(4)		A	I	V	I(4)	I			4				M	0	0	0, -1, 1		0	0
14	14	51	1.0	3/4	3/4	4/4	1	1		I		A	I	V	I	I							M	0	0	0, 4, 1		0	0
15	15	52	2.0	0	0	4/4	1	1		V		A	I	V	V	V							M	0	0	1, 5, 2		1	1
15	15	54	2.0	1/2	1/2	4/4	1	1		I]		A	I	V	I	I							M	0	0	0, 4, 1		0	0
16	16	56	5.0	0	0	4/4	1	1		I[I\\		A	I	I	I	I						\\	M	0	0	0, 4, 1		0	0
17	17	61	1.0	1/4	1/4	4/4	1	1		viio6		A	I	I	viio6	vii	o	6					o	0	0	2, -1, 5		5	2
17	17	62	1.0	1/2	1/2	4/4	1	1		I		A	I	I	I	I							M	0	0	0, 4, 1		0	0
17	17	63	1.0	3/4	3/4	4/4	1	1		viio6		A	I	I	viio6	vii	o	6					o	0	0	2, -1, 5		5	2
18	18	64	1.0	0	0	4/4	1	1		I		A	I	I	I	I							M	0	0	0, 4, 1		0	0
18	18	65	1.0	1/4	1/4	4/4	1	1		V7/IV		A	I	I	V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
18	18	66	3.0	1/2	1/2	4/4	1	1		IV		A	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
19	19	69	2.0	1/4	1/4	4/4	1	1		I		A	I	I	I	I							M	0	0	0, 4, 1		0	0
19	19	71	1.0	3/4	3/4	4/4	1	1		viio6		A	I	I	viio6	vii	o	6					o	0	0	2, -1, 5		5	2
20	20	72	1.0	0	0	4/4	1	1		I]		A	I	I	I	I							M	0	0	0, 4, 1		0	0
20	20	73	1.0	1/4	1/4	4/4	1	1		ii6		A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
20	20	74	1.0	1/2	1/2	4/4	1	1		V(64)		A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
20	20	75	1.0	3/4	3/4	4/4	1	1		V		A	I		V	V							M	0	0	1, 5, 2		1	1
21	21			0	0	4/4	1	1	1	I\\		A	I		I	I						\\	M	0	0	0, 4, 1		0	0
22	21	76	1.0	0	0	4/4	1	1	2	I\\		A	I		I	I						\\	M	0	0	0, 4, 1		0	0
23	21	77	3.5	0	1/8	4/4	1	1		@none	i	A	I		@none	@none							m	0	0				
24	22	161/2	3.0	0	0	4/4	1	1		i.i[i		A	i	i	i	i							m	0	1	0, -3, 1		0	0
24	22	167/2	1.0	3/4	3/4	4/4	1	1		V		A	i	i	V	V							M	0	1	1, 5, 2		1	1
25	23	169/2	5.0	0	0	4/4	1	1		i]		A	i	i	i	i							m	0	1	0, -3, 1		0	0
26	24	179/2	1.0	1/4	1/4	4/4	1	1		IV		A	i		IV	IV							M	0	1	-1, 3, 0		-1	-1
26	24	181/2	1.0	1/2	1/2	4/4	1	1		viio6		A	i		viio6	vii	o	6					o	0	1	-5, -8, -2		-2	-5
