mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/8	6/8	1	1	c.i	c	i		i	i							m	1	1	0, -3, 1		0	0
2	1	3/8	3/8	6/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
3	2	0	0	6/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
3	2	3/8	3/8	6/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
3	2	5/8	5/8	6/8	1	1	V2	c	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
4	3	0	0	6/8	1	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	3	1/4	1/4	6/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
4	3	3/8	3/8	6/8	1	1	V(4)	c	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
4	3	5/8	5/8	6/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
5	4	0	0	6/8	1	1	i\\	c	i		i	i						\\	m	1	1	0, -3, 1		0	0
5	4	5/8	5/8	6/8	1	1	III.V6	c	III		V6	V		6					M	1	0	5, 2, 1		1	5
6	5	0	0	6/8	1	1	I	c	III		I	I							M	1	0	0, 4, 1		0	0
6	5	1/4	1/4	6/8	1	1	I6	c	III		I6	I		6					M	1	0	4, 1, 0		0	4
6	5	3/8	3/8	6/8	1	1	ii65	c	III		ii65	ii		65					mm7	1	0	-1, 3, 0, 2		2	-1
6	5	1/2	1/2	6/8	1	1	ii7	c	III		ii7	ii		7					mm7	1	0	2, -1, 3, 0		2	2
6	5	5/8	5/8	6/8	1	1	V	c	III		V	V							M	1	0	1, 5, 2		1	1
7	6	0	0	6/8	1	1	I\\	c	III		I	I						\\	M	1	0	0, 4, 1		0	0
7	6	3/8	3/8	6/8	1	1	V	c	III		V	V							M	1	0	1, 5, 2		1	1
8	7	0	0	6/8	1	1	ii	c	III		ii	ii							m	1	0	2, -1, 3		2	2
8	7	3/8	3/8	6/8	1	1	IV	c	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
9	8	0	0	6/8	1	1	vi6	c	III		vi6	vi		6					m	1	0	0, 4, 3		3	0
9	8	3/8	3/8	6/8	1	1	V/vi	c	III		V/vi	V				vi			M	1	0	4, 8, 5		4	4
10	9	0	0	6/8	1	1	v.i6	c	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
10	9	1/4	1/4	6/8	1	1	i	c	v		i	i							m	1	1	0, -3, 1		0	0
