mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	2/2	1	1	a.@none	a	i		@none	@none							m	1	1				
2	1	0	0	2/2	1	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
2	1	1/4	1/4	2/2	1	1	V43	a	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
2	1	1/2	1/2	2/2	1	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	1	3/4	3/4	2/2	1	1	ii%65	a	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
3	2	0	0	2/2	1	1	V	a	i		V	V							M	1	1	1, 5, 2		1	1
3	2	1/4	1/4	2/2	1	1	i\\	a	i		i	i						\\	m	1	1	0, -3, 1		0	0
3	2	3/4	3/4	2/2	1	1	viio6/VII	a	i		viio6/VII	vii	o	6		VII			o	1	1	0, -3, 3		3	0
4	3	0	0	2/2	1	1	VII	a	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
4	3	1/4	1/4	2/2	1	1	v6	a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
4	3	1/2	1/2	2/2	1	1	VIM7	a	i		VIM7	VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
4	3	3/4	3/4	2/2	1	1	iv6	a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
5	4	0	0	2/2	1	1	v7	a	i		v7	v		7					mm7	1	1	1, -2, 2, -1		1	1
5	4	1/4	1/4	2/2	1	1	III6	a	i		III6	III		6					M	1	1	1, -2, -3		-3	1
5	4	1/2	1/2	2/2	1	1	ii7	a	i		ii7	ii		7					mm7	1	1	2, -1, 3, 0		2	2
5	4	7/8	7/8	2/2	1	1	iio6	a	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
6	5	0	0	2/2	1	1	III.I	a	III		I	I							M	1	0	0, 4, 1		0	0
6	5	1/4	1/4	2/2	1	1	ii65	a	III		ii65	ii		65					mm7	1	0	-1, 3, 0, 2		2	-1
6	5	1/2	1/2	2/2	1	1	V	a	III		V	V							M	1	0	1, 5, 2		1	1
7	6	0	0	2/2	1	1	I\\	a	III		I	I						\\	M	1	0	0, 4, 1		0	0
7	6	1/2	1/2	2/2	1	1	iv/IV	a	III		iv/IV	iv				IV			m	1	0	-2, -5, -1		-2	-2
7	6	3/4	3/4	2/2	1	1	V2	a	III		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
8	7	0	0	2/2	1	1	ii6	a	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
8	7	1/2	1/2	2/2	1	1	V43	a	III		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
9	8	0	0	2/2	1	1	i\\	a	III		i	i						\\	m	1	0	0, -3, 1		0	0
9	8	1/2	1/2	2/2	1	1	iv65	a	III		iv65	iv		65					mm7	1	0	-4, 0, -3, -1		-1	-4
9	8	3/4	3/4	2/2	1	1	ii%65	a	III		ii%65	ii	%	65					%7	1	0	-1, -4, 0, 2		2	-1
10	9	0	0	2/2	1	1	i	a	III		i	i							m	1	0	0, -3, 1		0	0
10	9	1/4	1/4	2/2	1	1	i2	a	III		i2	i		2					mm7	1	0	-2, 0, -3, 1		0	-2
10	9	1/2	1/2	2/2	1	1	ii%43	a	III		ii%43	ii	%	43					%7	1	0	-4, 0, 2, -1		2	-4
