mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	3/4	1	1		G.I{	G	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	1	1	1.0	1/4	1/4	3/4	1	1		IV64	G	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
1	1	2	2	1.0	1/2	1/2	3/4	1	1		V6	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
2	2	3	3	2.0	0	0	3/4	1	1		vi	G	I		vi	vi							m	0	0	3, 0, 4		3	3
2	2	5	5	0.5	1/2	1/2	3/4	1	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	2	11/2	11/2	0.5	5/8	5/8	3/4	1	1		IM65	G	I		IM65	I	M	65					MM7	0	0	4, 1, 5, 0		0	4
3	3	6	6	1.0	0	0	3/4	1	1		ii65	G	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
3	3	7	7	1.0	1/4	1/4	3/4	1	1		V(4)	G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
3	3	8	8	1.0	1/2	1/2	3/4	1	1		V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	9	9	3.0	0	0	3/4	1	1		I|IAC}	G	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0
5	5	12	12	1.0	0	0	3/4	1	1		I{	G	I		I	I						{	M	0	0	0, 4, 1		0	0
5	5	13	13	1.0	1/4	1/4	3/4	1	1		IV64	G	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
5	5	14	14	1.0	1/2	1/2	3/4	1	1		V6	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
6	6	15	15	1.0	0	0	3/4	1	1		vi	G	I		vi	vi							m	0	0	3, 0, 4		3	3
6	6	16	16	1.0	1/4	1/4	3/4	1	1		IV	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
6	6	17	17	1.0	1/2	1/2	3/4	1	1		v.ii%43	G	v		ii%43	ii	%	43					%7	0	1	-4, 0, 2, -1		2	-4
7	7	18	18	0.5	0	0	3/4	1	1		V	G	v		V	V							M	0	1	1, 5, 2		1	1
7	7	37/2	37/2	0.5	1/8	1/8	3/4	1	1		IV7	G	v		IV7	IV		7					Mm7	0	1	-1, 3, 0, -3		-1	-1
7	7	19	19	1.0	1/4	1/4	3/4	1	1		V(4)	G	v		V(4)	V			4				M	0	1	1, 0, 2		1	1
7	7	20	20	1.0	1/2	1/2	3/4	1	1		V	G	v		V	V							M	0	1	1, 5, 2		1	1
8	8		21		0	0	3/4	1	1	1	I|PAC}	G	v		I	I					PAC	}	M	0	1	0, 4, 1		0	0
9	8	21	24	3.0	0	0	3/4	1	1	2	I|PAC}	G	v		I	I					PAC	}	M	0	1	0, 4, 1		0	0
10	9	24	27	1.0	0	0	3/4	1	1		I.V{	G	I		V	V						{	M	0	0	1, 5, 2		1	1
10	9	25	28	1.0	1/4	1/4	3/4	1	1		IV64	G	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
10	9	26	29	1.0	1/2	1/2	3/4	1	1		V2	G	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
11	10	27	30	2.0	0	0	3/4	1	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
11	10	29	32	1.0	1/2	1/2	3/4	1	1		IM7	G	I		IM7	I	M	7					MM7	0	0	0, 4, 1, 5		0	0
12	11	30	33	1.0	0	0	3/4	1	1		IV	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
12	11	31	34	1.0	1/4	1/4	3/4	1	1		vi.ii%65	G	vi		ii%65	ii	%	65					%7	0	1	-1, -4, 0, 2		2	-1
12	11	32	35	1.0	1/2	1/2	3/4	1	1		ii%7	G	vi		ii%7	ii	%	7					%7	0	1	2, -1, -4, 0		2	2
13	12	33	36	3.0	0	0	3/4	1	1		V|HC.CON}	G	vi		V	V					HC.CON	}	M	0	1	1, 5, 2		1	1
14	13	36	39	1.0	0	0	3/4	1	1		V6/iv{	G	vi		V6/iv	V		6		iv		{	M	0	1	4, 1, 0		0	4
14	13	37	40	1.0	1/4	1/4	3/4	1	1		IV	G	vi		IV	IV							M	0	1	-1, 3, 0		-1	-1
14	13	38	41	1.0	1/2	1/2	3/4	1	1		ii	G	vi		ii	ii							m	0	1	2, -1, 3		2	2
15	14	39	42	1.0	0	0	3/4	1	1		V	G	vi		V	V							M	0	1	1, 5, 2		1	1
15	14	40	43	1.0	1/4	1/4	3/4	1	1		i	G	vi		i	i							m	0	1	0, -3, 1		0	0
15	14	41	44	1.0	1/2	1/2	3/4	1	1		V65	G	vi		V65	V		65					Mm7	0	1	5, 2, -1, 1		1	5
16	15	42	45	1.0	0	0	3/4	1	1		i	G	vi		i	i							m	0	1	0, -3, 1		0	0
16	15	43	46	1.5	1/4	1/4	3/4	1	1		V(4)	G	vi		V(4)	V			4				M	0	1	1, 0, 2		1	1
16	15	89/2	95/2	0.5	5/8	5/8	3/4	1	1		V	G	vi		V	V							M	0	1	1, 5, 2		1	1
17	16	45	48	3.0	0	0	3/4	1	1		VI|DC}	G	vi		VI	VI					DC	}	M	0	1	-4, 0, -3		-4	-4
18	17	48	51	1.0	0	0	3/4	1	1		I.IV{	G	I		IV	IV						{	M	0	0	-1, 3, 0		-1	-1
18	17	49	52	1.0	1/4	1/4	3/4	1	1		V2	G	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
18	17	50	53	1.0	1/2	1/2	3/4	1	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
19	18	51	54	1.0	0	0	3/4	1	1		ii7	G	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
19	18	52	55	1.0	1/4	1/4	3/4	1	1		V43	G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
19	18	53	56	1.0	1/2	1/2	3/4	1	1		IV64	G	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
20	19	54	57	1.0	0	0	3/4	1	1		V65	G	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
20	19	55	58	1.0	1/4	1/4	3/4	1	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
20	19	56	59	1.0	1/2	1/2	3/4	1	1		IV6	G	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
21	20	57	60	2.0	0	0	3/4	1	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
21	20	59	62	1.0	1/2	1/2	3/4	1	1		V|HC}	G	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
22	21	60	63	1.0	0	0	3/4	1	1		I{	G	I		I	I						{	M	0	0	0, 4, 1		0	0
22	21	61	64	1.0	1/4	1/4	3/4	1	1		V43	G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
22	21	62	65	1.0	1/2	1/2	3/4	1	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
23	22	63	66	1.0	0	0	3/4	1	1		ii65	G	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
23	22	64	67	1.0	1/4	1/4	3/4	1	1		V	G	I		V	V							M	0	0	1, 5, 2		1	1
23	22	65	68	1.0	1/2	1/2	3/4	1	1		IV6	G	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
24	23	66	69	0.5	0	0	3/4	1	1		V65	G	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
24	23	133/2	139/2	0.5	1/8	1/8	3/4	1	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
24	23	67	70	1.0	1/4	1/4	3/4	1	1		V(4)	G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
24	23	68	71	1.0	1/2	1/2	3/4	1	1		V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
