mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	1.0	0	1/4	3/8	1	1		G.I{	G	I		I	I						{	M	0	0	0, 4, 1		0	0
2	1	1	1	0.5	1/8	1/8	3/8	1	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	1	3/2	3/2	0.5	1/4	1/4	3/8	1	1		V	G	I		V	V							M	0	0	1, 5, 2		1	1
3	2	2	2	1.5	0	0	3/8	1	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
4	3	7/2	7/2	1.5	0	0	3/8	1	1		V65	G	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
5	4	5	5	1.5	0	0	3/8	1	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
6	5	13/2	13/2	1.0	0	0	3/8	1	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
6	5	15/2	15/2	0.5	1/4	1/4	3/8	1	1		IM65	G	I		IM65	I	M	65					MM7	0	0	4, 1, 5, 0		0	4
7	6	8	8	1.0	0	0	3/8	1	1		IV	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
7	6	9	9	0.5	1/4	1/4	3/8	1	1		ii7	G	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
8	7	19/2	19/2	1.0	0	0	3/8	1	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
8	7	21/2	21/2	0.5	1/4	1/4	3/8	1	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
9	8	11	11	1.0	0	0	3/8	1	1		V|HC.SIM}	G	I		V	V					HC.SIM	}	M	0	0	1, 5, 2		1	1
10	8	12	12	0.5	0	1/4	3/8	1	1		V.I{	G	V		I	I						{	M	0	0	0, 4, 1		0	0
11	9	25/2	25/2	1.5	0	0	3/8	1	1		V65	G	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
12	10	14	14	1.5	0	0	3/8	1	1		I	G	V		I	I							M	0	0	0, 4, 1		0	0
13	11	31/2	31/2	1.5	0	0	3/8	1	1		V65	G	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
14	12	17	17	1.0	0	0	3/8	1	1		I	G	V		I	I							M	0	0	0, 4, 1		0	0
14	12	18	18	0.5	1/4	1/4	3/8	1	1		I6	G	V		I6	I		6					M	0	0	4, 1, 0		0	4
15	13	37/2	37/2	0.5	0	0	3/8	1	1		ii65	G	V		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
15	13	19	19	0.5	1/8	1/8	3/8	1	1		I64	G	V		I64	I		64					M	0	0	1, 0, 4		0	1
15	13	39/2	39/2	0.5	1/4	1/4	3/8	1	1		ii43	G	V		ii43	ii		43					mm7	0	0	3, 0, 2, -1		2	3
16	14	20	20	1.0	0	0	3/8	1	1		V	G	V		V	V							M	0	0	1, 5, 2		1	1
16	14	21	21	0.5	1/4	1/4	3/8	1	1		I6	G	V		I6	I		6					M	0	0	4, 1, 0		0	4
17	15	43/2	43/2	0.5	0	0	3/8	1	1		V(64)	G	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
17	15	22	22	1.0	1/8	1/8	3/8	1	1		V	G	V		V	V							M	0	0	1, 5, 2		1	1
18	16	23	23	1.5	0	0	3/8	1	1		I|PAC}	G	V		I	I					PAC	}	M	0	0	0, 4, 1		0	0
18	16	24	24	0.0	1/4	1/4	3/8	1	1		{	G	V									{		0	0				
19	17	49/2	49/2	1.0	0	0	3/8	1	1		I.I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
19	17	51/2	51/2	0.5	1/4	1/4	3/8	1	1		IM7	G	I		IM7	I	M	7					MM7	0	0	0, 4, 1, 5		0	0
20	18	26	26	1.0	0	0	3/8	1	1		IV	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
20	18	27	27	0.5	1/4	1/4	3/8	1	1		ii7	G	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
21	19	55/2	55/2	1.0	0	0	3/8	1	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
21	19	57/2	57/2	0.5	1/4	1/4	3/8	1	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
22	20	29	29	1.5	0	0	3/8	1	1		ii	G	I		ii	ii							m	0	0	2, -1, 3		2	2
23	21	61/2	61/2	1.0	0	0	3/8	1	1		V65	G	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
23	21	63/2	63/2	0.5	1/4	1/4	3/8	1	1		V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
24	22	32	32	1.0	0	0	3/8	1	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
24	22	33	33	0.5	1/4	1/4	3/8	1	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
25	23	67/2	67/2	1.0	0	0	3/8	1	1		ii65	G	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
25	23	69/2	69/2	0.5	1/4	1/4	3/8	1	1		ii43	G	I		ii43	ii		43					mm7	0	0	3, 0, 2, -1		2	3
26	24	35	35	1.5	0	0	3/8	1	1		V|HC.TEN}	G	I		V	V					HC.TEN	}	M	0	0	1, 5, 2		1	1
26	24	36	36	0.0	1/4	1/4	3/8	1	1		{	G	I									{		0	0				
27	25	73/2	73/2	1.5	0	0	3/8	1	1		V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
28	26	38	38	1.5	0	0	3/8	1	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
29	27	79/2	79/2	1.0	0	0	3/8	1	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
29	27	81/2	81/2	0.5	1/4	1/4	3/8	1	1		IM65	G	I		IM65	I	M	65					MM7	0	0	4, 1, 5, 0		0	4
30	28	41	41	1.0	0	0	3/8	1	1		IV	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
30	28	42	42	0.5	1/4	1/4	3/8	1	1		ii7	G	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
31	29	85/2	85/2	0.5	0	0	3/8	1	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
31	29	43	43	0.5	1/8	1/8	3/8	1	1		V43	G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
31	29	87/2	87/2	0.5	1/4	1/4	3/8	1	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
32	30	44	44	0.5	0	0	3/8	1	1		V	G	I		V	V							M	0	0	1, 5, 2		1	1
32	30	89/2	89/2	0.5	1/8	1/8	3/8	1	1		ii43	G	I		ii43	ii		43					mm7	0	0	3, 0, 2, -1		2	3
32	30	45	45	0.5	1/4	1/4	3/8	1	1		ii65	G	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
33	31	91/2	91/2	0.5	0	0	3/8	1	1		V(64)	G	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
33	31	46	46	0.5	1/8	1/8	3/8	1	1		V	G	I		V	V							M	0	0	1, 5, 2		1	1
33	31	93/2	93/2	0.5	1/4	1/4	3/8	1	1		V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
34	32		47		0	0	3/8	1	1	1	I|PAC}	G	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
35	32	47	48	1.5	0	0	3/8	1	1	2	I|PAC}	G	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
35	32	48	49	0.0	1/4	1/4	3/8	1	1	2	{	G	I									{		0	0				
36	33	97/2	99/2	1.0	0	0	3/8	1	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
36	33	99/2	101/2	0.5	1/4	1/4	3/8	1	1		IM7	G	I		IM7	I	M	7					MM7	0	0	0, 4, 1, 5		0	0
37	34	50	51	1.0	0	0	3/8	1	1		IV	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
37	34	51	52	0.5	1/4	1/4	3/8	1	1		ii7	G	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
38	35	103/2	105/2	0.5	0	0	3/8	1	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
38	35	52	53	0.5	1/8	1/8	3/8	1	1		V43	G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
38	35	105/2	107/2	0.5	1/4	1/4	3/8	1	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
39	36	53	54	0.5	0	0	3/8	1	1		V	G	I		V	V							M	0	0	1, 5, 2		1	1
39	36	107/2	109/2	0.5	1/8	1/8	3/8	1	1		ii43	G	I		ii43	ii		43					mm7	0	0	3, 0, 2, -1		2	3
39	36	54	55	0.5	1/4	1/4	3/8	1	1		ii65	G	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
40	37	109/2	111/2	0.5	0	0	3/8	1	1		V(64)	G	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
40	37	55	56	0.5	1/8	1/8	3/8	1	1		V	G	I		V	V							M	0	0	1, 5, 2		1	1
