mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	5.0	0	0	3/4	1	1		G.I{	G	I		I	I						{	M	0	0	0, 4, 1		0	0
2	2	5	1.0	1/2	1/2	3/4	1	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	6	2.0	0	0	3/4	1	1		V	G	I		V	V							M	0	0	1, 5, 2		1	1
3	3	8	1.0	1/2	1/2	3/4	1	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	4	9	1.0	0	0	3/4	1	1		IV	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	4	10	1.0	1/4	1/4	3/4	1	1		I65	G	I		I65	I		65					Mm7	0	0	4, 1, -2, 0		0	4
4	4	11	1.0	1/2	1/2	3/4	1	1		V43	G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
5	5	12	6.0	0	0	3/4	1	1		I|IAC	G	I		I	I					IAC		M	0	0	0, 4, 1		0	0
5	5	14	0.0	1/2	1/2	3/4	1	1		}	G	I									}		0	0				
6	6	15	0.0	0	0	3/4	1	1		{	G	I									{		0	0				
7	7	18	3.0	0	0	3/4	1	1		vi	G	I		vi	vi							m	0	0	3, 0, 4		3	3
8	8	21	3.0	0	0	3/4	1	1		V.V	G	V		V	V							M	0	0	1, 5, 2		1	1
9	9	24	1.0	0	0	3/4	1	1		I6	G	V		I6	I		6					M	0	0	4, 1, 0		0	4
9	9	25	1.0	1/4	1/4	3/4	1	1		I	G	V		I	I							M	0	0	0, 4, 1		0	0
9	9	26	1.0	1/2	1/2	3/4	1	1		IV	G	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
10	10	27	1.0	0	0	3/4	1	1		ii7	G	V		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
10	10	28	1.0	1/4	1/4	3/4	1	1		V	G	V		V	V							M	0	0	1, 5, 2		1	1
10	10	29	1.0	1/2	1/2	3/4	1	1		V7	G	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	11			0	0	3/4	1	1	1	I|PAC}	G	V		I	I					PAC	}	M	0	0	0, 4, 1		0	0
12	11	30	3.0	0	0	3/4	1	1	2	I|PAC	G	V		I	I					PAC		M	0	0	0, 4, 1		0	0
13	12	33	6.0	0	0	3/4	1	1		I.V{	G	I		V	V						{	M	0	0	1, 5, 2		1	1
15	14	39	2.0	0	0	3/4	1	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
15	14	41	1.0	1/2	1/2	3/4	1	1		V65	G	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
16	15	42	2.0	0	0	3/4	1	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
16	15	44	1.0	1/2	1/2	3/4	1	1		vi	G	I		vi	vi							m	0	0	3, 0, 4		3	3
17	16	45	2.0	0	0	3/4	1	1		IV	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
17	16	47	1.0	1/2	1/2	3/4	1	1		vi.ii%65	G	vi		ii%65	ii	%	65					%7	0	1	-1, -4, 0, 2		2	-1
18	17	48	2.0	0	0	3/4	1	1		V	G	vi		V	V							M	0	1	1, 5, 2		1	1
18	17	50	2.0	1/2	1/2	3/4	1	1		i	G	vi		i	i							m	0	1	0, -3, 1		0	0
18	17	52	1.0	1	1	3/4	1	1		V	G	vi		V	V							M	0	1	1, 5, 2		1	1
18	17	53	1.0	5/4	5/4	3/4	1	1		V7	G	vi		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
19	18	54	3.0	0	0	3/4	1	1		i|PAC	G	vi		i	i					PAC		m	0	1	0, -3, 1		0	0
20	19	57	3.0	0	0	3/4	1	1		IV	G	vi		IV	IV							M	0	1	-1, 3, 0		-1	-1
20	19	59	0.0	1/2	1/2	3/4	1	1		}	G	vi									}		0	1				
