mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
2	1	0	0	6/4	1	1	E.I	E	I		I	I							M	0	0	0, 4, 1		0	0
2	1	1/2	1/2	6/4	1	1	I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	1	3/4	3/4	6/4	1	1	IV	E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
2	1	1	1	6/4	1	1	V43	E	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
2	1	5/4	5/4	6/4	1	1	I	E	I		I	I							M	0	0	0, 4, 1		0	0
3	2	0	0	6/4	1	1	V	E	I		V	V							M	0	0	1, 5, 2		1	1
3	2	1/2	1/2	6/4	1	1	I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	2	3/4	3/4	6/4	1	1	IV	E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
3	2	1	1	6/4	1	1	V65	E	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
3	2	5/4	5/4	6/4	1	1	V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	3	0	0	6/4	1	1	I\\	E	I		I	I						\\	M	0	0	0, 4, 1		0	0
4	3	5/4	5/4	6/4	1	1	vi6	E	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
5	4	0	0	6/4	1	1	vii7	E	I		vii7	vii		7					mm7	0	0	5, 2, 6, 3		5	5
5	4	1/2	1/2	6/4	1	1	V6	E	I		V6	V		6					M	0	0	5, 2, 1		1	5
5	4	3/4	3/4	6/4	1	1	vi7	E	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
5	4	5/4	5/4	6/4	1	1	V43/V	E	I		V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
6	5	0	0	6/4	1	1	V\\	E	I		V	V						\\	M	0	0	1, 5, 2		1	1
6	5	3/4	3/4	6/4	1	1	I	E	I		I	I							M	0	0	0, 4, 1		0	0
6	5	1	1	6/4	1	1	V.ii6	E	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
6	5	5/4	5/4	6/4	1	1	ii	E	V		ii	ii							m	0	0	2, -1, 3		2	2
7	6	0	0	6/4	1	1	V	E	V		V	V							M	0	0	1, 5, 2		1	1
7	6	1/2	1/2	6/4	1	1	V65	E	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
7	6	3/4	3/4	6/4	1	1	V7	E	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	6	1	1	6/4	1	1	I	E	V		I	I							M	0	0	0, 4, 1		0	0
8	7	0	0	6/4	1	1	V\\	E	V		V	V						\\	M	0	0	1, 5, 2		1	1
8	7	3/4	3/4	6/4	1	1	ii43	E	V		ii43	ii		43					mm7	0	0	3, 0, 2, -1		2	3
8	7	5/4	5/4	6/4	1	1	ii65	E	V		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
9	8	0	0	6/4	1	1	V2	E	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
9	8	1/4	1/4	6/4	1	1	V43	E	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
9	8	1/2	1/2	6/4	1	1	I6	E	V		I6	I		6					M	0	0	4, 1, 0		0	4
9	8	7/8	7/8	6/4	1	1	I	E	V		I	I							M	0	0	0, 4, 1		0	0
9	8	1	1	6/4	1	1	V	E	V		V	V							M	0	0	1, 5, 2		1	1
9	8	5/4	5/4	6/4	1	1	V7	E	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	9	0	0	6/4	1	1	I\\	E	V		I	I						\\	M	0	0	0, 4, 1		0	0
12	10	0	0	6/4	1	1	I.V	E	I		V	V							M	0	0	1, 5, 2		1	1
12	10	1/2	1/2	6/4	1	1	V2	E	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
12	10	3/4	3/4	6/4	1	1	I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
12	10	1	1	6/4	1	1	ii65	E	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
12	10	5/4	5/4	6/4	1	1	ii7	E	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
12	10	11/8	11/8	6/4	1	1	V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	11	0	0	6/4	1	1	I	E	I		I	I							M	0	0	0, 4, 1		0	0
13	11	3/4	3/4	6/4	1	1	IV.V	E	IV		V	V							M	0	0	1, 5, 2		1	1
