mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	5.0	0	0	3/4	1	1		g.i{	g	i		i	i						{	m	1	1	0, -3, 1		0	0
2	2	5	5	1.0	1/2	1/2	3/4	1	1		ii%43	g	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
3	3	6	6	1.0	0	0	3/4	1	1		i64	g	i		i64	i		64					m	1	1	1, 0, -3		0	1
3	3	7	7	1.0	1/4	1/4	3/4	1	1		ii%43	g	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
3	3	8	8	1.0	1/2	1/2	3/4	1	1		i64	g	i		i64	i		64					m	1	1	1, 0, -3		0	1
4	4	9	9	1.0	0	0	3/4	1	1		#viio64	g	i		#viio64	#vii	o	64					o	1	1	-1, 5, 2		5	-1
4	4	10	10	1.0	1/4	1/4	3/4	1	1		i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	4	11	11	1.0	1/2	1/2	3/4	1	1		#viio43	g	i		#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
5	5	12	12	1.0	0	0	3/4	1	1		i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
5	5	13	13	1.0	1/4	1/4	3/4	1	1		V43	g	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
5	5	14	14	1.0	1/2	1/2	3/4	1	1		i	g	i		i	i							m	1	1	0, -3, 1		0	0
6	6	15	15	1.0	0	0	3/4	1	1		V65	g	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
6	6	16	16	1.0	1/4	1/4	3/4	1	1		V	g	i		V	V							M	1	1	1, 5, 2		1	1
6	6	17	17	1.0	1/2	1/2	3/4	1	1		i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
7	7	18	18	1.0	0	0	3/4	1	1		V65	g	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
7	7	19	19	1.0	1/4	1/4	3/4	1	1		i	g	i		i	i							m	1	1	0, -3, 1		0	0
