mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	2.5	0	11/8	3/2	1	1		a.i{	a	i		i	i						{	m	1	1	0, -3, 1		0	0
2	1	5/2	5/2	1.0	1/2	1/2	3/2	1	1		VI	a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
2	1	7/2	7/2	1.0	3/4	3/4	3/2	1	1		VIM2	a	i		VIM2	VI	M	2					MM7	1	1	1, -4, 0, -3		-4	1
2	1	9/2	9/2	2.0	1	1	3/2	1	1		ii%65	a	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
3	2	13/2	13/2	2.0	0	0	3/2	1	1		V	a	i		V	V							M	1	1	1, 5, 2		1	1
3	2	17/2	17/2	1.0	1/2	1/2	3/2	1	1		i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	2	19/2	19/2	1.0	3/4	3/4	3/2	1	1		ii%65	a	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
3	2	21/2	21/2	1.5	1	1	3/2	1	1		V(64)	a	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
3	2	12	12	0.5	11/8	11/8	3/2	1	1		V	a	i		V	V							M	1	1	1, 5, 2		1	1
4	3	25/2	25/2	4.0	0	0	3/2	1	1		i|IAC}	a	i		i	i					IAC	}	m	1	1	0, -3, 1		0	0
4	3	31/2	31/2	0.0	3/4	3/4	3/2	1	1		{	a	i									{		1	1				
4	3	33/2	33/2	2.0	1	1	3/2	1	1		III	a	i		III	III							M	1	1	-3, 1, -2		-3	-3
5	4	37/2	37/2	2.0	0	0	3/2	1	1		VII	a	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
5	4	41/2	41/2	1.0	1/2	1/2	3/2	1	1		VII6	a	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
5	4	43/2	43/2	1.0	3/4	3/4	3/2	1	1		V65/iv	a	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
5	4	45/2	45/2	2.0	1	1	3/2	1	1		iv	a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
6	5	49/2	49/2	2.0	0	0	3/2	1	1		i	a	i		i	i							m	1	1	0, -3, 1		0	0
6	5	53/2	53/2	1.0	1/2	1/2	3/2	1	1		V43/VII	a	i		V43/VII	V		43		VII			Mm7	1	1	0, -3, -1, 3		-1	0
6	5	55/2	55/2	1.0	3/4	3/4	3/2	1	1		v6	a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
6	5	57/2	57/2	1.0	1	1	3/2	1	1		VIM7	a	i		VIM7	VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
6	5	59/2	59/2	1.0	5/4	5/4	3/2	1	1		iv6	a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
7	6	61/2	61/2	2.5	0	0	3/2	1	1		V|HC.PHR}	a	i		V	V					HC.PHR	}	M	1	1	1, 5, 2		1	1
7	6	33	33	0.5	5/8	5/8	3/2	1	1		v.V6{	a	v		V6	V		6				{	M	1	1	5, 2, 1		1	5
7	6	67/2	67/2	1.0	3/4	3/4	3/2	1	1		i	a	v		i	i							m	1	1	0, -3, 1		0	0
7	6	69/2	69/2	2.0	1	1	3/2	1	1		i6	a	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
8	7	73/2	73/2	2.0	0	0	3/2	1	1		#viio6	a	v		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
8	7	77/2	77/2	1.0	1/2	1/2	3/2	1	1		V65	a	v		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
8	7	79/2	79/2	1.5	3/4	3/4	3/2	1	1		V7	a	v		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
8	7	41	41	0.5	9/8	9/8	3/2	1	1		i	a	v		i	i							m	1	1	0, -3, 1		0	0
8	7	83/2	83/2	1.0	5/4	5/4	3/2	1	1		ii%65	a	v		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
9	8	85/2	85/2	2.0	0	0	3/2	1	1		V|HC.CON}	a	v		V	V					HC.CON	}	M	1	1	1, 5, 2		1	1
9	8	89/2	89/2	2.0	1/2	1/2	3/2	1	1		v{	a	v		v	v						{	m	1	1	1, -2, 2		1	1
9	8	93/2	93/2	2.0	1	1	3/2	1	1		V7/iv	a	v		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
10	9	97/2	97/2	1.0	0	0	3/2	1	1		IV	a	v		IV	IV							M	1	1	-1, 3, 0		-1	-1
10	9	99/2	99/2	1.0	1/4	1/4	3/2	1	1		V43	a	v		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
10	9	101/2	101/2	1.0	1/2	1/2	3/2	1	1		i6	a	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
10	9	103/2	103/2	1.0	3/4	3/4	3/2	1	1		ii%65	a	v		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
10	9	105/2	105/2	2.0	1	1	3/2	1	1		V	a	v		V	V							M	1	1	1, 5, 2		1	1
11	10		109/2		0	0	3/2	1	1	1	I|PAC}	a	v		I	I					PAC	}	M	1	1	0, 4, 1		0	0
11	10		60		11/8	11/8	3/2	1	1	1	i.i{	a	i		i	i						{	m	1	1	0, -3, 1		0	0
12	10	109/2	121/2	6.0	0	0	3/2	1	1	2	I|PAC}	a	v		I	I					PAC	}	M	1	1	0, 4, 1		0	0
12	10	60	66	0.0	11/8	11/8	3/2	1	1	2	{	a	v									{		1	1				
13	11	121/2	133/2	2.0	0	0	3/2	1	1		i.V	a	i		V	V							M	1	1	1, 5, 2		1	1
13	11	125/2	137/2	1.0	1/2	1/2	3/2	1	1		V2	a	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
