mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
29	29	84	84	3.0	0	0	3/4	1	1	V65	d	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
30	30	87	87	3.0	0	0	3/4	1	1	I	d	i		I	I							M	1	1	0, 4, 1		0	0
31	31	90	90	1.0	0	0	3/4	1	1	IV6	d	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
31	31	91	91	1.0	1/4	1/4	3/4	1	1	V65	d	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
31	31	92	92	0.5	1/2	1/2	3/4	1	1	i(4)	d	i		i(4)	i			4				m	1	1	0, -1, 1		0	0
31	31	185/2	185/2	0.5	5/8	5/8	3/4	1	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
32	32	93	93	1.0	0	0	3/4	1	1	V|HC.SIM}	d	i		V	V					HC.SIM	}	M	1	1	1, 5, 2		1	1
32	32	94	94	2.0	1/4	1/4	3/4	1	1	i{	d	i		i	i						{	m	1	1	0, -3, 1		0	0
33	33	96	96	3.0	0	0	3/4	1	1	V	d	i		V	V							M	1	1	1, 5, 2		1	1
34	34	99	99	3.0	0	0	3/4	1	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
35	35	102	102	1.0	0	0	3/4	1	1	V	d	i		V	V							M	1	1	1, 5, 2		1	1
35	35	103	103	1.0	1/4	1/4	3/4	1	1	#vi%7	d	i		#vi%7	#vi	%	7					%7	1	1	3, 0, -3, 1		3	3
35	35	104	104	1.0	1/2	1/2	3/4	1	1	V65	d	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
36	36	105	105	2.0	0	0	3/4	1	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
36	36	107	107	1.0	1/2	1/2	3/4	1	1	V	d	i		V	V							M	1	1	1, 5, 2		1	1
37	37	108	108	1.0	0	0	3/4	1	1	iv6	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
37	37	109	109	1.0	1/4	1/4	3/4	1	1	iio6	d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
37	37	110	110	1.0	1/2	1/2	3/4	1	1	V43	d	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
38	38	111	111	2.0	0	0	3/4	1	1	V65	d	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
38	38	113	113	1.0	1/2	1/2	3/4	1	1	i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
39	39	114	114	1.0	0	0	3/4	1	1	ii%65	d	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
39	39	115	115	1.0	1/4	1/4	3/4	1	1	V	d	i		V	V							M	1	1	1, 5, 2		1	1
39	39	116	116	1.0	1/2	1/2	3/4	1	1	V7	d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
40	40	117	117	3.0	0	0	3/4	1	1	i|PAC}	d	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
