mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	4.5	0	3/8	2/4	1	1	E.I{	E	I		I	I						{	M	0	0	0, 4, 1		0	0
4	3	9/2	5.5	0	0	2/4	1	1	V	E	I		V	V							M	0	0	1, 5, 2		1	1
5	4	15/2	0.0	1/4	1/4	2/4	1	1	}	E	I									}		0	0				
5	4	8	0.0	3/8	3/8	2/4	1	1	{	E	I									{		0	0				
6	5	10	0.5	3/8	3/8	2/4	1	1	V/V	E	I		V/V	V				V			M	0	0	2, 6, 3		2	2
7	6	21/2	2.0	0	0	2/4	1	1	V6/V	E	I		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
8	7	25/2	1.5	0	0	2/4	1	1	V65/V	E	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
8	7	14	0.5	3/8	3/8	2/4	1	1	V/V	E	I		V/V	V				V			M	0	0	2, 6, 3		2	2
9	8	29/2	2.0	0	0	2/4	1	1	V2	E	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
10	9	33/2	3.0	0	0	2/4	1	1	I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
11	9	39/2	0.5	1/4	1/4	2/4	1	1	I	E	I		I	I							M	0	0	0, 4, 1		0	0
11	9	20	0.5	3/8	3/8	2/4	1	1	I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
12	10	41/2	1.5	0	0	2/4	1	1	V	E	I		V	V							M	0	0	1, 5, 2		1	1
12	10	22	0.5	3/8	3/8	2/4	1	1	V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	11	45/2	2.0	0	0	2/4	1	1	I	E	I		I	I							M	0	0	0, 4, 1		0	0
13	11	47/2	0.0	1/4	1/4	2/4	1	1	}	E	I									}		0	0				
13	11	24	0.0	3/8	3/8	2/4	1	1	{	E	I									{		0	0				
14	12	49/2	0.5	0	0	2/4	1	1	V.ii65	E	V		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
14	12	25	0.5	1/8	1/8	2/4	1	1	ii7	E	V		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
14	12	51/2	1.0	1/4	1/4	2/4	1	1	V	E	V		V	V							M	0	0	1, 5, 2		1	1
15	13	53/2	6.0	0	0	2/4	1	1	I|PAC}	E	V		I	I					PAC	}	M	0	0	0, 4, 1		0	0
16	13	28	0.0	0	3/8	2/4	1	1	{	E	V									{		0	0				
19	16	65/2	7.5	0	0	2/4	1	1	ii.i	E	ii		i	i							m	0	1	0, -3, 1		0	0
22	19	40	0.5	3/8	3/8	2/4	1	1	V	E	ii		V	V							M	0	1	1, 5, 2		1	1
23	20	81/2	0.5	0	0	2/4	1	1	i	E	ii		i	i							m	0	1	0, -3, 1		0	0
23	20	41	0.5	1/8	1/8	2/4	1	1	ii%65	E	ii		ii%65	ii	%	65					%7	0	1	-1, -4, 0, 2		2	-1
23	20	83/2	1.0	1/4	1/4	2/4	1	1	V	E	ii		V	V							M	0	1	1, 5, 2		1	1
24	21	85/2	6.0	0	0	2/4	1	1	i|PAC}	E	ii		i	i					PAC	}	m	0	1	0, -3, 1		0	0
24	21	44	0.0	3/8	3/8	2/4	1	1	{	E	ii									{		0	1				
27	24	97/2	3.0	0	0	2/4	1	1	I.V2	E	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
28	25	103/2	1.0	1/4	1/4	2/4	1	1	I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
29	26	105/2	0.5	0	0	2/4	1	1	V65	E	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
29	26	53	0.5	1/8	1/8	2/4	1	1	I	E	I		I	I							M	0	0	0, 4, 1		0	0
29	26	107/2	0.5	1/4	1/4	2/4	1	1	V65	E	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
29	26	54	0.5	3/8	3/8	2/4	1	1	V43/V	E	I		V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
30	27	109/2	2.0	0	0	2/4	1	1	V	E	I		V	V							M	0	0	1, 5, 2		1	1
31	28	113/2	1.5	0	0	2/4	1	1	I|PAC}	E	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
31	28	58	0.5	3/8	3/8	2/4	1	1	I6{	E	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
32	29	117/2	2.0	0	0	2/4	1	1	IV.ii(4)	E	IV		ii(4)	ii			4				m	0	0	2, 1, 3		2	2
33	30	121/2	1.5	0	0	2/4	1	1	ii	E	IV		ii	ii							m	0	0	2, -1, 3		2	2
33	30	62	0.5	3/8	3/8	2/4	1	1	IV6	E	IV		IV6	IV		6					M	0	0	3, 0, -1		-1	3
34	31	125/2	1.0	0	0	2/4	1	1	I(4)	E	IV		I(4)	I			4				M	0	0	0, -1, 1		0	0
34	31	127/2	1.0	1/4	1/4	2/4	1	1	I	E	IV		I	I							M	0	0	0, 4, 1		0	0
35	32	129/2	2.0	0	0	2/4	1	1	V.V6	E	V		V6	V		6					M	0	0	5, 2, 1		1	5
36	33	133/2	2.0	0	0	2/4	1	1	ii(4)	E	V		ii(4)	ii			4				m	0	0	2, 1, 3		2	2
37	34	137/2	1.5	0	0	2/4	1	1	ii	E	V		ii	ii							m	0	0	2, -1, 3		2	2
37	34	70	0.5	3/8	3/8	2/4	1	1	IV6	E	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
38	35	141/2	1.0	0	0	2/4	1	1	I(4)	E	V		I(4)	I			4				M	0	0	0, -1, 1		0	0
38	35	143/2	1.0	1/4	1/4	2/4	1	1	I	E	V		I	I							M	0	0	0, 4, 1		0	0
39	36	145/2	2.0	0	0	2/4	1	1	I.I	E	I		I	I							M	0	0	0, 4, 1		0	0
40	37	149/2	1.0	0	0	2/4	1	1	V	E	I		V	V							M	0	0	1, 5, 2		1	1
40	37	151/2	1.0	1/4	1/4	2/4	1	1	I	E	I		I	I							M	0	0	0, 4, 1		0	0
41	38	153/2	1.0	0	0	2/4	1	1	V	E	I		V	V							M	0	0	1, 5, 2		1	1
41	38	155/2	1.0	1/4	1/4	2/4	1	1	I	E	I		I	I							M	0	0	0, 4, 1		0	0
42	39	157/2	0.5	0	0	2/4	1	1	V	E	I		V	V							M	0	0	1, 5, 2		1	1
42	39	79	0.5	1/8	1/8	2/4	1	1	I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
42	39	159/2	0.5	1/4	1/4	2/4	1	1	IVM7(9)	E	I		IVM7(9)	IV	M	7	9				MM7	0	0	-1, 3, 0, 4	1	-1	-1
42	39	80	0.5	3/8	3/8	2/4	1	1	V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
43	40	161/2	0.5	0	0	2/4	1	1	vi	E	I		vi	vi							m	0	0	3, 0, 4		3	3
43	40	81	0.5	1/8	1/8	2/4	1	1	ii65	E	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
43	40	163/2	1.0	1/4	1/4	2/4	1	1	V	E	I		V	V							M	0	0	1, 5, 2		1	1
44	41	165/2	1.5	0	0	2/4	1	1	I|PAC}	E	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
