mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	2/2	1	1	g.i	g	i		i	i							m	1	1	0, -3, 1		0	0
1	0	1/4	3/4	2/2	1	1	V65	g	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
2	1	0	0	2/2	1	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
2	1	1/4	1/4	2/2	1	1	VI	g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
2	1	1/2	1/2	2/2	1	1	ii65	g	i		ii65	ii		65					mm7	1	1	-1, 3, 0, 2		2	-1
2	1	3/4	3/4	2/2	1	1	V	g	i		V	V							M	1	1	1, 5, 2		1	1
3	2	0	0	2/2	1	1	i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	2	1/2	1/2	2/2	1	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
4	3	0	0	2/2	1	1	V65	g	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
4	3	1/4	1/4	2/2	1	1	V7	g	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	3	1/2	1/2	2/2	1	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
6	4	0	0	2/2	1	1	V\\	g	i		V	V						\\	M	1	1	1, 5, 2		1	1
7	4	0	1/2	2/2	1	1	V65	g	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
7	4	1/4	3/4	2/2	1	1	V	g	i		V	V							M	1	1	1, 5, 2		1	1
8	5	0	0	2/2	1	1	I	g	i		I	I							M	1	1	0, 4, 1		0	0
8	5	1/4	1/4	2/2	1	1	V2/iv	g	i		V2/iv	V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
8	5	1/2	1/2	2/2	1	1	iv6	g	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
8	5	3/4	3/4	2/2	1	1	iv	g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
9	6	0	0	2/2	1	1	III.V	g	III		V	V							M	1	0	1, 5, 2		1	1
9	6	1/4	1/4	2/2	1	1	V2	g	III		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
9	6	1/2	1/2	2/2	1	1	I6	g	III		I6	I		6					M	1	0	4, 1, 0		0	4
10	7	0	0	2/2	1	1	vi	g	III		vi	vi							m	1	0	3, 0, 4		3	3
10	7	1/4	1/4	2/2	1	1	ii65	g	III		ii65	ii		65					mm7	1	0	-1, 3, 0, 2		2	-1
10	7	1/2	1/2	2/2	1	1	V(4)	g	III		V(4)	V			4				M	1	0	1, 0, 2		1	1
10	7	3/4	3/4	2/2	1	1	V	g	III		V	V							M	1	0	1, 5, 2		1	1
11	8	0	0	2/2	1	1	I\\	g	III		I	I						\\	M	1	0	0, 4, 1		0	0
11	8	1/2	1/2	2/2	1	1	I6	g	III		I6	I		6					M	1	0	4, 1, 0		0	4
11	8	3/4	3/4	2/2	1	1	V7/iv	g	III		V7/iv	V		7		iv			Mm7	1	0	0, 4, 1, -2		0	0
12	9	0	0	2/2	1	1	iv(4)	g	III		iv(4)	iv			4				m	1	0	-1, 5, 0		-1	-1
12	9	1/8	1/8	2/2	1	1	iv	g	III		iv	iv							m	1	0	-1, -4, 0		-1	-1
12	9	1/4	1/4	2/2	1	1	i.i64	g	i		i64	i		64					m	1	1	1, 0, -3		0	1
12	9	1/2	1/2	2/2	1	1	ii%43	g	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
12	9	3/4	3/4	2/2	1	1	ii%65	g	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
13	10	0	0	2/2	1	1	V	g	i		V	V							M	1	1	1, 5, 2		1	1
13	10	1/2	1/2	2/2	1	1	V43	g	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
13	10	3/4	3/4	2/2	1	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
14	11	0	0	2/2	1	1	V\\	g	i		V	V						\\	M	1	1	1, 5, 2		1	1
14	11	1/2	1/2	2/2	1	1	V43	g	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
14	11	3/4	3/4	2/2	1	1	V/iv	g	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
15	12	0	0	2/2	1	1	iv6	g	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
15	12	1/2	1/2	2/2	1	1	iv	g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
15	12	3/4	3/4	2/2	1	1	V43	g	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
15	12	7/8	7/8	2/2	1	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
16	13	0	0	2/2	1	1	V65	g	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
16	13	1/8	1/8	2/2	1	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
16	13	1/4	1/4	2/2	1	1	V	g	i		V	V							M	1	1	1, 5, 2		1	1
16	13	3/8	3/8	2/2	1	1	iv7	g	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
16	13	1/2	1/2	2/2	1	1	V(64)	g	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
16	13	3/4	3/4	2/2	1	1	V	g	i		V	V							M	1	1	1, 5, 2		1	1
18	14	0	0	2/2	1	1	i\\	g	i		i	i						\\	m	1	1	0, -3, 1		0	0
