mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	5.0	0	1/8	2/4	1	1		d.V{	d	i		V	V						{	M	1	1	1, 5, 2		1	1
3	2	5	0.5	3/8	3/8	2/4	1	1		V43	d	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
4	3	11/2	0.5	0	0	2/4	1	1		i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	3	6	1.0	1/8	1/8	2/4	1	1		V	d	i		V	V							M	1	1	1, 5, 2		1	1
4	3	7	0.5	3/8	3/8	2/4	1	1		V65	d	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
5	4	15/2	1.5	0	0	2/4	1	1		i	d	i		i	i							m	1	1	0, -3, 1		0	0
5	4	9	0.5	3/8	3/8	2/4	1	1		III.I6	d	III		I6	I		6					M	1	0	4, 1, 0		0	4
6	5	19/2	2.0	0	0	2/4	1	1		IV	d	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
7	6	23/2	1.5	0	0	2/4	1	1		I	d	III		I	I							M	1	0	0, 4, 1		0	0
7	6	13	0.5	3/8	3/8	2/4	1	1		iii6	d	III		iii6	iii		6					m	1	0	1, 5, 4		4	1
8	7	27/2	1.5	0	0	2/4	1	1		vi	d	III		vi	vi							m	1	0	3, 0, 4		3	3
8	7	15	0.5	3/8	3/8	2/4	1	1		I6	d	III		I6	I		6					M	1	0	4, 1, 0		0	4
9	8	31/2	2.0	0	0	2/4	1	1		IV	d	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
10	9	35/2	0.5	0	0	2/4	1	1		V65	d	III		V65	V		65					Mm7	1	0	5, 2, -1, 1		1	5
10	9	18	0.5	1/8	1/8	2/4	1	1		I	d	III		I	I							M	1	0	0, 4, 1		0	0
10	9	37/2	0.75	1/4	1/4	2/4	1	1		V	d	III		V	V							M	1	0	1, 5, 2		1	1
10	9	77/4	0.25	7/16	7/16	2/4	1	1		V7	d	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
11	10	39/2	1.5	0	0	2/4	1	1		I|PAC}	d	III		I	I					PAC	}	M	1	0	0, 4, 1		0	0
11	10	20	0.0	1/8	1/8	2/4	1	1		{	d	III									{		1	0				
11	10	21	0.5	3/8	3/8	2/4	1	1		iv.IV6	d	iv		IV6	IV		6					M	1	1	3, 0, -1		-1	3
12	11	43/2	1.0	0	0	2/4	1	1		V7	d	iv		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
12	11	45/2	1.0	1/4	1/4	2/4	1	1		V65	d	iv		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
13	12	47/2	1.5	0	0	2/4	1	1		i	d	iv		i	i							m	1	1	0, -3, 1		0	0
13	12	25	0.5	3/8	3/8	2/4	1	1		v.iv6	d	v		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
14	13	51/2	2.0	0	0	2/4	1	1		V7	d	v		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
15	14	55/2	0.5	0	0	2/4	1	1		i	d	v		i	i							m	1	1	0, -3, 1		0	0
15	14	28	1.5	1/8	1/8	2/4	1	1		iv	d	v		iv	iv							m	1	1	-1, -4, 0		-1	-1
16	15	59/2	0.5	0	0	2/4	1	1		VII7	d	v		VII7	VII		7					Mm7	1	1	-2, 2, -1, -4		-2	-2
16	15	30	1.5	1/8	1/8	2/4	1	1		III	d	v		III	III							M	1	1	-3, 1, -2		-3	-3
17	16	63/2	0.5	0	0	2/4	1	1		VIM7	d	v		VIM7	VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
17	16	32	1.5	1/8	1/8	2/4	1	1		iio	d	v		iio	ii	o						o	1	1	2, -1, -4		2	2
18	17	67/2	1.0	0	0	2/4	1	1		V7	d	v		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
18	17	69/2	0.75	1/4	1/4	2/4	1	1		V65	d	v		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
18	17	141/4	0.25	7/16	7/16	2/4	1	1		i	d	v		i	i							m	1	1	0, -3, 1		0	0
19	18	71/2	0.5	0	0	2/4	1	1		V|HC.SIM}	d	v		V	V					HC.SIM	}	M	1	1	1, 5, 2		1	1
19	18	36	1.5	1/8	1/8	2/4	1	1		i{	d	v		i	i						{	m	1	1	0, -3, 1		0	0
20	19	75/2	0.5	0	0	2/4	1	1		IV7	d	v		IV7	IV		7					Mm7	1	1	-1, 3, 0, -3		-1	-1
20	19	38	0.5	1/8	1/8	2/4	1	1		V6	d	v		V6	V		6					M	1	1	5, 2, 1		1	5
20	19	77/2	0.5	1/4	1/4	2/4	1	1		V65	d	v		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
