mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/8	4/4	1	1	e.i	e	i		i	i							m	1	1	0, -3, 1		0	0
1	0	1/8	1/2	4/4	1	1	i6	e	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
1	0	3/8	3/4	4/4	1	1	V65	e	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
1	0	1/2	7/8	4/4	1	1	V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
2	1	0	0	4/4	1	1	i	e	i		i	i							m	1	1	0, -3, 1		0	0
2	1	1/4	1/4	4/4	1	1	VI6	e	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
2	1	1/2	1/2	4/4	1	1	V65/III	e	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
2	1	3/4	3/4	4/4	1	1	V7/III	e	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
3	2	0	0	4/4	1	1	III	e	i		III	III							M	1	1	-3, 1, -2		-3	-3
3	2	1/4	1/4	4/4	1	1	i	e	i		i	i							m	1	1	0, -3, 1		0	0
3	2	1/2	1/2	4/4	1	1	IV	e	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
3	2	3/4	3/4	4/4	1	1	ii	e	i		ii	ii							m	1	1	2, -1, 3		2	2
4	3	0	0	4/4	1	1	V	e	i		V	V							M	1	1	1, 5, 2		1	1
4	3	1/8	1/8	4/4	1	1	V2	e	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
4	3	1/4	1/4	4/4	1	1	i6	e	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	3	3/8	3/8	4/4	1	1	V43	e	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
4	3	1/2	1/2	4/4	1	1	i	e	i		i	i							m	1	1	0, -3, 1		0	0
4	3	3/4	3/4	4/4	1	1	V/VII	e	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
5	4	0	0	4/4	1	1	VII	e	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
5	4	1/8	1/8	4/4	1	1	v6	e	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
5	4	1/4	1/4	4/4	1	1	v.ii%65/v	e	v		ii%65/v	ii	%	65		v			%7	1	1	0, -3, 1, 3		3	0
5	4	3/8	3/8	4/4	1	1	III+6	e	v		III+6	III	+	6					+	1	1	1, 5, -3		-3	1
5	4	1/2	1/2	4/4	1	1	VI	e	v		VI	VI							M	1	1	-4, 0, -3		-4	-4
5	4	5/8	5/8	4/4	1	1	ii%65	e	v		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
5	4	3/4	3/4	4/4	1	1	V	e	v		V	V							M	1	1	1, 5, 2		1	1
6	5	0	0	4/4	1	1	I\\	e	v		I	I						\\	M	1	1	0, 4, 1		0	0
7	5	0	3/8	4/4	1	1	III.I	e	III		I	I							M	1	0	0, 4, 1		0	0
7	5	1/8	1/2	4/4	1	1	I6	e	III		I6	I		6					M	1	0	4, 1, 0		0	4
7	5	3/8	3/4	4/4	1	1	V43	e	III		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
7	5	1/2	7/8	4/4	1	1	I	e	III		I	I							M	1	0	0, 4, 1		0	0
8	6	0	0	4/4	1	1	V6	e	III		V6	V		6					M	1	0	5, 2, 1		1	5
8	6	3/8	3/8	4/4	1	1	iii65	e	III		iii65	iii		65					mm7	1	0	1, 5, 2, 4		4	1
8	6	1/2	1/2	4/4	1	1	vi	e	III		vi	vi							m	1	0	3, 0, 4		3	3
8	6	3/4	3/4	4/4	1	1	ii65	e	III		ii65	ii		65					mm7	1	0	-1, 3, 0, 2		2	-1
8	6	7/8	7/8	4/4	1	1	ii	e	III		ii	ii							m	1	0	2, -1, 3		2	2
9	7	0	0	4/4	1	1	V\\	e	III		V	V						\\	M	1	0	1, 5, 2		1	1
9	7	1/4	1/4	4/4	1	1	I6	e	III		I6	I		6					M	1	0	4, 1, 0		0	4
9	7	3/8	3/8	4/4	1	1	V7/IV	e	III		V7/IV	V		7		IV			Mm7	1	0	0, 4, 1, -2		0	0
9	7	1/2	1/2	4/4	1	1	IV	e	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
9	7	3/4	3/4	4/4	1	1	ii7	e	III		ii7	ii		7					mm7	1	0	2, -1, 3, 0		2	2
10	8	0	0	4/4	1	1	V7	e	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
10	8	1/8	1/8	4/4	1	1	IV6	e	III		IV6	IV		6					M	1	0	3, 0, -1		-1	3
10	8	1/4	1/4	4/4	1	1	V65	e	III		V65	V		65					Mm7	1	0	5, 2, -1, 1		1	5
10	8	3/8	3/8	4/4	1	1	I	e	III		I	I							M	1	0	0, 4, 1		0	0
10	8	1/2	1/2	4/4	1	1	ii65	e	III		ii65	ii		65					mm7	1	0	-1, 3, 0, 2		2	-1
10	8	5/8	5/8	4/4	1	1	I	e	III		I	I							M	1	0	0, 4, 1		0	0
10	8	3/4	3/4	4/4	1	1	V	e	III		V	V							M	1	0	1, 5, 2		1	1
11	9	0	0	4/4	1	1	I\\	e	III		I	I						\\	M	1	0	0, 4, 1		0	0
11	9	1/4	1/4	4/4	1	1	i.i	e	i		i	i							m	1	1	0, -3, 1		0	0
11	9	1/2	1/2	4/4	1	1	III6	e	i		III6	III		6					M	1	1	1, -2, -3		-3	1
11	9	3/4	3/4	4/4	1	1	VII(4)	e	i		VII(4)	VII			4				M	1	1	-2, -3, -1		-2	-2
12	10	0	0	4/4	1	1	ii6	e	i		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
12	10	1/4	1/4	4/4	1	1	ii%43	e	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
12	10	1/2	1/2	4/4	1	1	i6	e	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
12	10	3/4	3/4	4/4	1	1	V(4)	e	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
13	11	0	0	4/4	1	1	V	e	i		V	V							M	1	1	1, 5, 2		1	1
13	11	1/8	1/8	4/4	1	1	V2	e	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
13	11	1/4	1/4	4/4	1	1	i6	e	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
13	11	1/2	1/2	4/4	1	1	V65	e	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
13	11	5/8	5/8	4/4	1	1	V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
13	11	3/4	3/4	4/4	1	1	i	e	i		i	i							m	1	1	0, -3, 1		0	0
14	12	0	0	4/4	1	1	V\\	e	i		V	V						\\	M	1	1	1, 5, 2		1	1
14	12	1/8	1/8	4/4	1	1	V2	e	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
14	12	1/4	1/4	4/4	1	1	i6	e	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
