path	filename	extension	md5	label_count	KeySig	TimeSig	composer	copyright	movementTitle	musescore	composed_start	composed_end	annotator	reviewer
MS3/c01n01_prelude.mscx	c01n01_prelude	.mscx	fb9c3fc5cafd6c95a8134b21ab5a7a9f	93	1	4/4	François Couperin	© Les Éditions Outremontaises, 2006	Concert Royal no 1: Prélude	3.4.2	1722	1722	Eva-Maria Hamberger	Johannes Menke
MS3/c01n02_allemande.mscx	c01n02_allemande	.mscx	96e6306007c54c017a3cdbcc58fbda6e	77	1	4/4	François Couperin	© Les Éditions Outremontaises, 2006	Concert Royal no 1: Allemande	3.4.2	1722	1722	Eva-Maria Hamberger	Johannes Menke
MS3/c01n03_sarabande.mscx	c01n03_sarabande	.mscx	b5025d17a65a191106431bf179ebc672	68	-2	4/4	François Couperin	© Les Éditions Outremontaises, 2006	Concert Royal no 1: Sarabande	3.4.2	1722	1722	Eva-Maria Hamberger	Johannes Menke
MS3/c01n04_gavotte.mscx	c01n04_gavotte	.mscx	b5cb9159178cac92a451633599abc369	52	-2	2/2	François Couperin	© Les Éditions Outremontaises, 2006	Concert Royal no 1: Gavotte	3.4.2	1722	1722	Eva-Maria Hamberger	Johannes Menke
MS3/c01n05_gigue.mscx	c01n05_gigue	.mscx	a0c8df6160bd2434611abeabeeaf8077	134	1	6/8	François Couperin	© Les Éditions Outremontaises, 2006	Concert Royal no 1: Gigue	3.4.2	1722	1722	Eva-Maria Hamberger	Johannes Menke
MS3/c01n06_menuet_en_trio.mscx	c01n06_menuet_en_trio	.mscx	dc4dc456458b4044a0f3adbe3a20ee39	48	-2	3/4	François Couperin	© Les Éditions Outremontaises, 2006	Concert Royal no 1: Menuet	3.4.2	1722	1722	Eva-Maria Hamberger	Johannes Menke
MS3/c02n01_prelude.mscx	c02n01_prelude	.mscx	64fbd0c986c97427ce63c76e2b4f7295	88	2	3/4	François Couperin	© Les Éditions Outremontaises, 2006	Concert Royal no 2: Prélude	3.4.2	1722	1722	Eva-Maria Hamberger	Johannes Menke
MS3/c02n02_allemande_fuguee.mscx	c02n02_allemande_fuguee	.mscx	e3024b084160b371422459291654b444	124	2	4/4	François Couperin	© Les Éditions Outremontaises, 2006	Concert Royal no 2: Allemande	3.4.2	1722	1722	Eva-Maria Hamberger	Johannes Menke
MS3/c02n03_air_tendre.mscx	c02n03_air_tendre	.mscx	a8b15e41c9f135e363087abb8333d148	83	-1	2/2	François Couperin	© Les Éditions Outremontaises, 2006	Concert Royal no 2: Air tendre	3.4.2	1722	1722	Eva-Maria Hamberger	Johannes Menke
MS3/c02n04_air_contrefugue.mscx	c02n04_air_contrefugue	.mscx	e0f2fa39f7ad19eccb83ce20b881d103	154	-1	2/4	François Couperin	© Les Éditions Outremontaises, 2006	Concert Royal no 2: Air contrefugué	3.4.2	1722	1722	Eva-Maria Hamberger	Johannes Menke
