mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0.0		0	1/8	Tempo	4/4	1	1	0								 = 108	108					
1	0	0	0.25		0	1/8	Chord	4/4	1	1	1/16			1/16	1	0									
1	0	1/4	0.25		1/16	3/16	Chord	4/4	1	1	1/16			1/16	1	1									
1	0	1/2	0.5		1/8	1/4	Chord	4/4	1	1	1/8			1/8	1	2									
1	0	1	0.5		1/4	3/8	Chord	4/4	1	1	1/8			1/8	1	3									
1	0	3/2	0.5		3/8	1/2	Chord	4/4	1	1	1/8			1/8	1	4									
1	0	2	1.0		1/2	5/8	Chord	4/4	1	1	1/4			1/4	1	5									0
1	0	3	0.25		3/4	7/8	Chord	4/4	1	1	1/16			1/16	1	6	ornamentShortTrill								
1	0	13/4	0.25		13/16	15/16	Chord	4/4	1	1	1/16			1/16	1	7									
2	1	7/2	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	8									
2	1	4	1.0		1/8	1/8	Chord	4/4	1	1	1/4			1/4	1	9									1
2	1	5	0.25		3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	10	ornamentShortTrill								
2	1	21/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	11									
2	1	11/2	0.5		1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	12									
2	1	6	0.25		5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	13									
2	1	25/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	14									
2	1	13/2	0.5		3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	15									
2	1	7	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	16									
3	2	15/2	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	17	ornamentShortTrill								
3	2	8	1.0		1/8	1/8	Chord	4/4	1	1	1/4			1/4	1	18									
3	2	9	0.5		3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	19									
3	2	19/2	0.5		1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	20	ornamentShortTrill								
3	2	10	0.25		5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	21									
3	2	41/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	22									
3	2	21/2	0.5		3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	23									2
3	2	11	0.25		7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	24	ornamentShortTrill								
3	2	45/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	25									
3	2	8	0.0		1/8	1/8	FiguredBass	4/4	2	1	0										1/8	6	4_		
3	2	8	0.25		1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	26									
3	2	33/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	27									
3	2	17/2	0.0		1/4	1/4	FiguredBass	4/4	2	1	0										1/8	6			
3	2	17/2	0.5		1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	28									
3	2	9	0.0		3/8	3/8	FiguredBass	4/4	2	1	0										1/8	6	4	3	
3	2	9	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	29									
3	2	19/2	0.5		1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	30									
3	2	10	1.0		5/8	5/8	Chord	4/4	2	1	1/4			1/4	1	31									3
3	2	11	0.0		7/8	7/8	FiguredBass	4/4	2	1	0										1/16	6			
3	2	11	0.25		7/8	7/8	Chord	4/4	2	1	1/16			1/16	1	32	ornamentShortTrill								
3	2	45/4	0.0		15/16	15/16	FiguredBass	4/4	2	1	0										1/16	#6			
3	2	45/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	33									
4	3	23/2	0.25		0	0	Chord	4/4	1	1	1/16			1/16	1	34									
4	3	47/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	35									
4	3	12	0.25		1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	36									
4	3	49/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	37									
4	3	25/2	0.5		1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	38									4
4	3	13	0.25		3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	39	ornamentShortTrill								
4	3	53/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	40									
4	3	27/2	0.5		1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	41									
4	3	14	0.5		5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	42									
4	3	29/2	0.5		3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	43									
4	3	15	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	44	ornamentTurn								
4	3	23/2	0.5		0	0	Chord	4/4	2	1	1/8			1/8	1	45									
4	3	12	1.0		1/8	1/8	Chord	4/4	2	1	1/4			1/4	1	46									5
4	3	13	0.0		3/8	3/8	FiguredBass	4/4	2	1	0										1/16	6			
4	3	13	0.25		3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	47	ornamentShortTrill								
4	3	53/4	0.0		7/16	7/16	FiguredBass	4/4	2	1	0										1/16	#6			
4	3	53/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	48									
4	3	27/2	0.5		1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	49									6
4	3	14	0.25		5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	50									
4	3	57/4	0.0		11/16	11/16	FiguredBass	4/4	2	1	0										1/16	6			
4	3	57/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	51									
4	3	29/2	0.0		3/4	3/4	FiguredBass	4/4	2	1	0										1/8	7			
4	3	29/2	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	52									
4	3	15	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	53									
5	4	31/2	0.0		0	0	StaffText	4/4	1	1	0							)							
5	4	31/2	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	54									
5	4	16	0.25		1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	55									
5	4	65/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	56									
5	4	33/2	0.5		1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	57									7
5	4	17	0.25		3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	58	ornamentShortTrill								
5	4	69/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	59									
5	4	35/2	0.5		1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	60									
5	4	18	0.25		5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	61									
5	4	73/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	62									
5	4	37/2	0.5		3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	63									
5	4	19	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	64									
5	4	31/2	0.0		0	0	FiguredBass	4/4	2	1	0										1/4	6_			
5	4	31/2	0.5		0	0	Chord	4/4	2	1	1/8			1/8	1	65	ornamentShortTrill								
5	4	16	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	66									
5	4	17	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	67									
5	4	35/2	0.0		1/2	1/2	FiguredBass	4/4	2	1	0										1/4	6_			
5	4	35/2	0.5		1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	68									
5	4	18	0.5		5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	69									
5	4	37/2	0.0		3/4	3/4	FiguredBass	4/4	2	1	0										1/8	5/			
5	4	37/2	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	70									
5	4	19	0.0		7/8	7/8	FiguredBass	4/4	2	1	0										1/8	7			
5	4	19	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	71									
6	5	39/2	0.0		0	0	StaffText	4/4	1	1	0							)							
6	5	39/2	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	72	ornamentShortTrill								
6	5	20	0.25		1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	73									
6	5	81/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	74									
6	5	41/2	0.5		1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	75									8
6	5	21	0.25		3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	76	ornamentShortTrill								
6	5	85/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	77									
6	5	43/2	0.5		1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	78									
6	5	22	0.25		5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	79									
6	5	89/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	80									
6	5	45/2	0.5		3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	81									
6	5	23	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	82									
6	5	39/2	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	83									
6	5	21	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	84									
6	5	43/2	0.0		1/2	1/2	FiguredBass	4/4	2	1	0										1/2	6_			
6	5	43/2	0.5		1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	85									
