mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0	0.0		0	3/16	StaffText	3/8	1	1	0						amoureusement										
1	0	0	0	0.0		0	3/16	Tempo	3/8	1	1	0							𝅘𝅥.=56	84.0	𝅘𝅥.	56.0	0.0					
1	0	0	0	0.25		0	3/16	Chord	3/8	1	1	1/16		1/16	1	0												
1	0	1/4	1/4	0.5		1/16	1/4	Chord	3/8	1	1	1/8		1/8	1	1												
1	0	0	0	0.25		0	3/16	Chord	3/8	2	1	1/16		1/16	1	2												
1	0	1/4	1/4	0.0		1/16	1/4	FiguredBass	3/8	2	1	0												1/8	#6			
1	0	1/4	1/4	0.5		1/16	1/4	Chord	3/8	2	1	1/8		1/8	1	3												
2	1	3/4	3/4	0.5		0	0	Chord	3/8	1	1	1/8		1/8	1	4												0
2	1	5/4	5/4	0.5		1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	5	ornamentShortTrill											
2	1	7/4	7/4	0.5		1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	6												
2	1	3/4	3/4	0.0		0	0	FiguredBass	3/8	2	1	0												1/16	6			
2	1	3/4	3/4	0.25		0	0	Chord	3/8	2	1	1/16		1/16	1	7												
2	1	1	1	0.25		1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	8												
2	1	5/4	5/4	0.0		1/8	1/8	FiguredBass	3/8	2	1	0												1/16	#6			
2	1	5/4	5/4	0.25		1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	9												
2	1	3/2	3/2	0.25		3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	10												
2	1	7/4	7/4	0.25		1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	11												
2	1	2	2	0.25		5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	12												
2	1	3/4	3/4	0.5		0	0	Chord	3/8	2	2	1/8		1/8	1	13												
2	1	5/4	5/4	0.5		1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	14												
2	1	7/4	7/4	0.5		1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	15												
3	2	9/4	9/4	0.75		0	0	Chord	3/8	1	1	3/16		1/8	3/2	16												
3	2	3	3	0.25		3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	17												
3	2	13/4	13/4	0.25		1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	18												
3	2	7/2	7/2	0.25		5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	19												
3	2	9/4	9/4	0.0		0	0	FiguredBass	3/8	2	1	0												1/8	5/			
3	2	9/4	9/4	0.5		0	0	Chord	3/8	2	1	1/8		1/8	1	20												
3	2	11/4	11/4	0.5		1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	21												
3	2	13/4	13/4	0.0		1/4	1/4	FiguredBass	3/8	2	1	0												1/8	7	#3		
3	2	13/4	13/4	0.5		1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	22												
3	2	9/4	9/4	1.0		0	0	Chord	3/8	2	2	1/4		1/4	1	23												
3	2	13/4	13/4	0.5		1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	24												
4	3	15/4	15/4	0.25		0	0	Chord	3/8	1	1	1/16		1/16	1	25												1
4	3	4	4	0.25		1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	26												1
4	3	17/4	17/4	0.75		1/8	1/8	Chord	3/8	1	1	3/16		1/8	3/2	27	ornamentShortTrill											1
4	3	5	5	0.125		5/16	5/16	Chord	3/8	1	1	1/32		1/32	1	28												1
4	3	41/8	41/8	0.125		11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	29												
4	3	15/4	15/4	0.25		0	0	Chord	3/8	2	1	1/16		1/16	1	30												2
4	3	4	4	0.25		1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	31												2
4	3	17/4	17/4	0.0		1/8	1/8	FiguredBass	3/8	2	1	0												1/4	#6_			2
4	3	17/4	17/4	0.75		1/8	1/8	Chord	3/8	2	1	3/16		1/8	3/2	32	ornamentShortTrill											2
4	3	5	5	0.125		5/16	5/16	Chord	3/8	2	1	1/32		1/32	1	33												2
4	3	41/8	41/8	0.125		11/32	11/32	Chord	3/8	2	1	1/32		1/32	1	34												
5	4	21/4	21/4	0.5		0	0	Chord	3/8	1	1	1/8		1/8	1	35												
5	4	23/4	23/4	0.5		1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	36												
5	4	25/4	25/4	0.5		1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	37												
5	4	21/4	21/4	0.0		0	0	FiguredBass	3/8	2	1	0												1/4	6_			
