mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0.0		0	1/4	Tempo	3/8	1	1	0								𝅘𝅥. = 80	120					
1	0	0	0.5		0	1/4	Chord	3/8	1	1	1/8			1/8	1	0									
1	0	0	0.5		0	1/4	Chord	3/8	2	1	1/8			1/8	1	1									
2	1	1/2	1.0		0	0	Chord	3/8	1	1	1/4			1/4	1	2									0
2	1	3/2	0.5		1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	3	ornamentShortTrill								
2	1	1/2	0.0		0	0	FiguredBass	3/8	2	1	0										3/8	_			
2	1	1/2	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	4									
2	1	1	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	5									
2	1	3/2	0.0		1/4	1/4	FiguredBass	3/8	2	1	0										1/8	3			
2	1	3/2	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	6									
3	2	2	0.5		0	0	Chord	3/8	1	1	1/8			1/8	1	7									
3	2	5/2	0.0		1/8	1/8	StaffText	3/8	1	1	0							)							
3	2	5/2	0.5		1/8	1/8	Chord	3/8	1	1	1/8			1/8	1	8									
3	2	3	0.5		1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	9									
3	2	2	0.0		0	0	StaffText	3/8	2	1	0							)							
3	2	2	1.0		0	0	Chord	3/8	2	1	1/4			1/4	1	10									
3	2	3	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	11									
4	3	7/2	1.0		0	0	Chord	3/8	1	1	1/4			1/4	1	12									
4	3	9/2	0.5		1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	13									
4	3	7/2	0.0		0	0	FiguredBass	3/8	2	1	0										3/8	5/_			
4	3	7/2	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	14									
