mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0.0		0	0	Tempo	3/4	1	1	0								 = 120	120					
1	1	0	0.5		0	0	Chord	3/4	1	1	1/8			1/8	1	0									
1	1	1/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	1									
1	1	1	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	2									
1	1	3/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	3									
1	1	2	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	4									
1	1	5/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	5									
1	1	0	0.5		0	0	Chord	3/4	1	2	1/8			1/8	1	6									
1	1	1/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8			1/8	1	7									
1	1	1	0.5		1/4	1/4	Chord	3/4	1	2	1/8			1/8	1	8									
1	1	3/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8			1/8	1	9									
1	1	2	0.5		1/2	1/2	Chord	3/4	1	2	1/8			1/8	1	10									
1	1	5/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8			1/8	1	11									
1	1	0	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	12									
2	2	3	2.0		0	0	Chord	3/4	1	1	1/2			1/2	1	13	ornamentMordent								0
2	2	5	1.0		1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	14	ornamentTurn								
2	2	3	2.0		0	0	Chord	3/4	1	2	1/2			1/2	1	15									1
2	2	5	1.0		1/2	1/2	Chord	3/4	1	2	1/4			1/4	1	16									
2	2	3	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	17									
2	2	7/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	18									
2	2	4	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	19									
2	2	9/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	20									
2	2	5	0.0		1/2	1/2	FiguredBass	3/4	2	1	0										1/4	7	5	4_	
2	2	5	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	21									
2	2	11/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	22									
3	3	6	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	23									2
3	3	7	1.0		1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	24	ornamentShortTrill								
3	3	8	1.0		1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	25									
3	3	6	1.0		0	0	Chord	3/4	1	2	1/4			1/4	1	26									3
3	3	7	1.0		1/4	1/4	Chord	3/4	1	2	1/4			1/4	1	27									
3	3	8	1.0		1/2	1/2	Chord	3/4	1	2	1/4			1/4	1	28									
3	3	6	0.0		0	0	FiguredBass	3/4	2	1	0										1/4	6	4		
3	3	6	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	29									
3	3	7	0.0		1/4	1/4	FiguredBass	3/4	2	1	0										1/4	6	4+	3	
3	3	7	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	30									
3	3	8	0.0		1/2	1/2	FiguredBass	3/4	2	1	0										1/4	6	4		
3	3	8	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	31									
4	4	9	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	32	ornamentShortTrill								
4	4	10	1.0		1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	33									
4	4	11	1.0		1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	34									
4	4	9	1.0		0	0	Chord	3/4	1	2	1/4			1/4	1	35									
4	4	10	1.0		1/4	1/4	Chord	3/4	1	2	1/4			1/4	1	36									
4	4	11	1.0		1/2	1/2	Chord	3/4	1	2	1/4			1/4	1	37									
4	4	9	0.0		0	0	FiguredBass	3/4	2	1	0										1/4	4+			
4	4	9	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	38									
4	4	10	0.0		1/4	1/4	FiguredBass	3/4	2	1	0										1/4	6			
4	4	10	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	39									
4	4	11	0.0		1/2	1/2	FiguredBass	3/4	2	1	0										1/4	6	4+	b3	
4	4	11	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	40									
5	5	12	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	41									4
5	5	13	1.0		1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	42	ornamentShortTrill								
5	5	14	1.0		1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	43									
5	5	12	1.0		0	0	Chord	3/4	1	2	1/4			1/4	1	44									5
5	5	13	1.0		1/4	1/4	Chord	3/4	1	2	1/4			1/4	1	45									
5	5	14	1.0		1/2	1/2	Chord	3/4	1	2	1/4			1/4	1	46									
5	5	12	0.0		0	0	FiguredBass	3/4	2	1	0										1/4	6			
5	5	12	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	47									
5	5	13	0.0		1/4	1/4	FiguredBass	3/4	2	1	0										1/4	#6			
5	5	13	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	48									
5	5	14	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	49									
6	6	15	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	50									
6	6	16	0.0		1/4	1/4	Chord	3/4	1	1	0	appoggiatura		1/8	1	51									
6	6	16	1.0		1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	52									
6	6	17	1.0		1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	53									
6	6	15	1.0		0	0	Chord	3/4	1	2	1/4			1/4	1	54									
6	6	16	0.0		1/4	1/4	Chord	3/4	1	2	0	appoggiatura		1/8	1	55									
6	6	16	1.0		1/4	1/4	Chord	3/4	1	2	1/4			1/4	1	56									
6	6	17	1.0		1/2	1/2	Chord	3/4	1	2	1/4			1/4	1	57									
6	6	15	0.0		0	0	FiguredBass	3/4	2	1	0										1/2	5/_			
6	6	15	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	58									
6	6	31/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	59									
6	6	16	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	60									
6	6	33/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	61									
6	6	17	0.0		1/2	1/2	FiguredBass	3/4	2	1	0										1/4	6_			
6	6	17	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	62									
